question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,59–77 days,['59.0-77.0'],"['59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days', '59–77 days']",0,"The striped skunk is polygamous, and normally breeds once a year, though yearling females who have failed to mate may enter a second estrous cycle a month after the first. The mating season usually occurs between mid-February to mid-April, though it is delayed at higher latitudes. Prior to copulating, the males' testicles swell during the January–February period, with maximum size being attained in March. Males during this period will cover much ground in their search for females, sometimes covering 4 km (2.5 mi) per night. When a male locates a female, he will approach her from the rear and lick her genitals, then bite her on the nape before copulating. A single male may have a harem of several females, which he mates with and defends against other males for a period of about 35 days. Once the mating period has finished, the impregnated females confine themselves to their dens, while the males attempt to rebuild their fat reserves. The gestation period lasts around 59–77 days, with kits being born at about mid-May to early June. Litters generally consist of 2–12 kits, with the average being five or six, though a litter of 18 is known from Pennsylvania. Kits are born blind and sparsely furred, weighing 25–40 grams. The eyes open after around three weeks, and are weaned after 42–56 days. Although their musk is still undeveloped, kits of this age will instinctively assume the defensive stand position when threatened. At this point, the kits may accompany their mother outside the den, becoming independent after 2½ months.",-2.7755575615628914e-16,1.0,-0.0088277924556418,1.0,0.9749289155006408,0.1509113907814026,0.0454368777573108,0.0786204934120178,0.4843936860561371,0.7958816885948181,0.769307553768158,0.1165366172790527,0.0019289568299427,0.0280454996973276,0.0075286021456122,0.5089553594589233,0.111983872950077,0.4249272048473358,0.0573141947388649,0.0617030523717403,0.0150562841445207,0.5198947191238403,0.0908871740102768,0.0333224684000015,0.0015731375897303,0.0044513326138257,0.000885515473783,0.0074722939170897,0.0006745121791027,0.07068371772766113
What is the length of this vehicle in millimetre?,4165,['4020'],"['4120', '4150', '4100', '4150', '4030', '4200', '4180', '4160', '4160', '4230']",0,"A 16-valve version of the third-generation Golf GTI was introduced in 1993. The engine was enlarged to 2.0L, with power now reaching 150 PS (110kW/148hp). While less powered than the VR6, it was still relatively popular with driving enthusiasts in Europe, because it offered similar power without the thirst or tax burden of a 6 cylinder. As with previous versions the Golf Driver acted as the official GTI-look-alike in the United Kingdom. Similar to the continental market Golf GT, it looked sporting but was fitted with a single-point injected 1.8L engine. The Golf Mk3 was also the predecessor of the ""diesel craze"" that swept through Europe in the late 1990s and early 2000s, when Volkswagen introduced the direct-injection system with the 90 PS (66 kW; 89 hp) Golf TDI in 1993. From its launch, all versions of the Golf came with fuel injection, to meet EEC requirements that all new cars sold in member countries from January 1993 must come with fuel injection or a catalytic converter. Non-catalyzed models were also built for those markets where there was no interest in them; power outputs were the same as for the catalyzed models. An all-new 1.4 petrol engine was the entry-level model in the MK2 Golf range. Also offered was a naturally aspirated version of the 1.9 L diesel engine, the SDI, offering 47 kW (64 PS; 63 hp). Airbags were first offered on the Golf in 1992, and from 1996 anti-lock brakes were standard across the range. The Golf Mk3 was also available in ""Ecomatic"" form. It was powered with a diesel engine and a clutch-less manual transmission. The vehicle would freewheel by opening of the clutch as soon as the accelerator is released, and the engine was switched off after a further 1.5 seconds of inactivity, whether by stopping or coasting. Restarting the engine simply required depressing the accelerator pedal. VW had previously pioneered similar technology in the VW Polo ""Formel E"" in the 1980s. There was also a limited production run of around 250 ""CitySTROMer",-8.221921916437786,0.0003354626279025,-0.790315272808075,1.4449802461092448e-07,0.0581495612859725,0.0031281923875212,0.0017335236771032,0.0029318262822926,0.0220848005264997,0.0011095071677118,0.0065434137359261,0.0009812008356675,0.0045278021134436,0.0008073832141235,0.0078276488929986,0.0007238838006742,0.0005155653925612,0.0031920128967612,0.0068972171284258,0.0014670541277155,0.0040383017621934,0.0066762575879693,0.0063194558024406,0.0050839502364397,0.0038085770793259,0.0105722183361649,0.0027157212607562,0.0106589961796998,0.0044785435311496,0.9969185590744019
What is the closest parent taxonomy of this bird?,New World warbler,['Protonotaria'],"['New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler']",0,The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is the only member of the genus Protonotaria.,-4.440892098500626e-16,1.0,-0.079497931513697,0.9988333836632732,0.8953611254692078,0.4070852100849151,0.0396960191428661,0.1204087808728218,0.0395463705062866,0.4952501356601715,0.2327976524829864,0.0050862920470535,0.0033368624281138,0.0136105632409453,0.019467931240797,0.181912824511528,0.0359309166669845,0.0008150160429067,0.0884854346513748,0.0005759062478318,0.1116325110197067,0.0007079886854626,0.106828935444355,0.0009420297574251,0.1236897334456443,0.001018043141812,0.0011754429433494,0.000877964135725,0.0600720830261707,0.48070183396339417
What is the immediately prior item that this organization follows in a series?,British Aircraft Corporation,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation', 'British Aircraft Corporation']",0,"The company has its origins in the Aircraft and Shipbuilding Industries Act 1977, which called for the nationalisation and merger of the British Aircraft Corporation, Hawker Siddeley Aviation, Hawker Siddeley Dynamics and Scottish Aviation. On 29 April 1977, the new entity was formed in the United Kingdom as a statutory corporation. Under the provisions of the British Aerospace Act 1980 on 1 January the statutory corporation was transferred to a limited company, which then re-registered as a public limited company (plc), under the name ""British Aerospace Public Limited Company"", on 2 January 1981. BAe was privatised in two main phases, the first in February 1981, involving 51.6% shares of the company, during which the public sale was 3.5 times subscribed and at the end of the first day's trading, share prices were 14% above the original offer price. The second phase occurred in May 1985, in which 48.4% shares were sold; this sale was 5.4 times subscribed and the first day closing price was 11% above the initial offer price. Despite this privatisation, the British Government maintained a £1 golden share, which allowed it to veto foreign control of the board or company.",-4.440892098500626e-16,0.9047490593213152,-0.0102518715207224,0.777281172269963,0.9920670986175536,0.9718844890594482,0.0632839798927307,0.6157341599464417,0.2293389737606048,0.8542380928993225,0.4452918767929077,0.3520258963108063,0.0043976716697216,0.1594686955213546,0.3913048803806305,0.4881833493709564,0.0776629522442817,0.4808325171470642,0.2634093463420868,0.0335015505552291,0.0437195003032684,0.1224878057837486,0.0674938037991523,0.0652981176972389,0.1646605283021927,0.0336408093571662,0.0288850478827953,0.0169196240603923,0.0447486974298954,0.18016794323921204
What is the country of origin of this food?,United States,['United States of America'],"['United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States']",0,"The Italian sandwich originated in several different Italian American communities in the Northeastern United States from the late 19th to mid-20th centuries. The popularity of this Italian-American cuisine has grown from its origins in Connecticut, Pennsylvania, Delaware, Maryland, New York, New Jersey, Massachusetts, and Rhode Island to most parts of the United States and Canada, and with the advent of chain restaurants, is now available in many parts of the world. Edwin Eames and Howard Robboy identified thirteen different terms for the submarine sandwich in the United States.",-3.3306690738754696e-16,1.0,-0.1059180199833065,0.0009118819655545,0.9415417909622192,0.0309951584786176,0.0715453848242759,0.0401702933013439,0.0209291446954011,0.8416714072227478,0.3518614470958709,0.2305789589881897,0.0034865725319832,0.5555148124694824,0.0624948143959045,0.560252845287323,0.1170931011438369,0.4058104157447815,0.0877741202712059,0.365506112575531,0.0744483917951583,0.627278208732605,0.3900614380836487,0.0011673943372443,0.00111757859122,0.0008524403092451,0.0017556512029841,0.0009630307904444,0.0008120168349705,1.345416784286499
What is the minimum height of this animal in centimetre?,35 cm,['36'],"['35 cm', '35 cm', '35 cm', '35 cm', '35 cm', '35 cm', '35 cm', '35 cm', '35 cm', '35 cm']",0,"The Tibetan Terrier is a powerful, medium-sized dog of square proportions, with a shaggy coat. They vary widely in height and weight, ranging from 14–16 in (35–41 cm) and is 18–30 lb (8–14 kg), with 20–24 lb (9.5–11 kg) preferred for either sex. All weights are acceptable if in proportion to the size. Fully grown, the Tibetan Terrier resembles a miniaturized Bearded Collie. The head is moderate, with a strong muzzle of medium length, and a skull neither rounded nor flat. The eyes are large, dark, and set fairly far apart. The V-shaped drop ears are well-feathered, and should be set high on the sides of the skull. Although the preferred colour for the nose is black, in showdogs, they are also sometimes brown. The body is well-muscled and compact. The length of the back should be equal to the height at the withers, giving the breed its typical square look. The tail is set high, well-feathered, and carried in a curl over the back. One of the more unusual features of the Tibetan Terrier is their broad, flat feet with hair between the toes, which are ideal for climbing mountains, acting as natural snowshoes. The hair of the Tibetan Terrier has a long growth cycle. As a result, their coat grows quite long and pet animals will require occasional trimming. They do not shed like dogs with shorter hair growth cycles, but rather slough hair at a rate similar to that of most humans. The exception is at approximately nine months when puppies slough their entire coat in advance of acquiring their adult coat. The double coat is profuse, with a warm undercoat and a topcoat which has the texture of human hair. It should not be silky or curled, but wavy is acceptable. Long and thick, it is shown natural, but should not be so long as to touch the floor, as is typical in breeds such as the Lhasa Apso or Maltese. A fall of hair covers the face and eyes, but long eyelashes generally prevent hair from getting in the Tibetan Terrier's eyes, and the breed has very good eyesight. All colors ",-1.054711873393899e-15,0.9995690321023392,-0.0004715374329844,0.9999833108387284,0.9842243194580078,0.6549513936042786,0.4399427771568298,0.5999148488044739,0.9054273962974548,0.5507655143737793,0.7195960283279419,0.2802664935588836,0.1260383278131485,0.1580772995948791,0.2158138155937194,0.705058217048645,0.457290381193161,0.2158133089542389,0.3077882528305053,0.0473257713019847,0.6686435341835022,0.4438713788986206,0.0816058963537216,0.1305834054946899,0.0025280732661485,0.0254814755171537,0.0096329236403107,0.0956214591860771,0.0929720625281333,5.288101237965748e-05
Who designed this building?,"Victor Bourgeau (initially), later modified by others.",['Joseph Michaud | Victor Bourgeau'],"[""Victor Bourgeau (initially), later modified by others including Fr. Joseph Michaud's"", 'Victor Bourgeau (initially), then modified by others.', 'Victor Bourgeau (initially), later modified by others.', 'Victor Bourgeau (initially), with later contributions from Fr. Joseph Michaud (who', 'Victor Bourgeau (initially), then modified by others.', 'Victor Bourgeau (initially), later modified by others.', 'Victor Bourgeau (initially), later modified by others.', 'Victor Bourgeau (initially), later modified by others.', ""Victor Bourgeau (initially), later modified by others including Fr. Joseph Michaud's"", ""Victor Bourgeau (initially), later modified by others including Fr. Joseph Michaud's""]",0,"The construction of the cathedral was ordered by Mgr. Ignace Bourget, second bishop of Montreal, to replace the former Saint-Jacques Cathedral which had burned in 1852. His choice to create a scale model of Saint Peter's Basilica in Rome was in response to a rivalry with the Sulpician order who had been the feudal seigneurs of Montreal, and with the Anglican Church, both of which favoured the Neo-Gothic style instead. The site also sparked controversy due to its location in the western part of downtown, in a then predominantly English neighbourhood far from the homes of the French-Canadian church-goers. The first architect, Victor Bourgeau, refused the project after studying St. Peter's, saying that it could not be reproduced on a smaller scale. At the time, the Holy See and the Papal States were threatened by the nationalist troops of Victor Emmanuel II, king of Piedmont, who was attempting to assert control over all Italy. The undeterred bishop Bourget reacted to these events by sending a total of 507 Canadian Zouaves to defend the Papal territories in Italy, whose names are engraved in gold letters on the marble slabs in the cathedral. Their motto is: ""Love God and go your way."" A painting depicting Colonel Athanase de Charette, commander of the Papal Zouaves, was made in 1885 by Lionel Royer. Fr. Joseph Michaud, the chaplain of the Papal Zouave volunteers of Montreal, was sent to Rome to secretly produce a scale model to work from. Work began in 1875 and the new church was consecrated in 1894 as Saint James Cathedral, after Saint James the Great, the patron of the parish the church served. At the time it was the largest church in Quebec. It was made a minor basilica in 1919 by Pope Benedict XV. It was rededicated in 1955 to Mary, Queen of the World, by Pope Pius XII at the request of cardinal Paul-Émile Léger. (The pope had proclaimed this title for Mary in his 1954 encyclical Ad caeli reginam.) Between 1955 and 1960, several restoration works were executed. On ",-0.0040786155217546,0.9999996423721952,-0.2330991276372992,0.9988333836632732,0.981391966342926,0.0033506557811051,0.3596463203430176,0.0307516697794199,0.1231813132762909,0.343690425157547,0.4788872301578522,0.0072748069651424,0.0002366871631238,0.0032419208437204,0.0004149423912167,0.0011544714216142,0.0002659988822415,0.1972534507513046,0.0497685894370079,0.231448233127594,0.1415692418813705,0.5694735646247864,0.0372716672718524,0.0028821399901062,0.0007685685995966,0.0045001013204455,0.0008132887887768,0.0032624185550957,0.0005205170018598,0.25122037529945374
Who is the owner of this building?,The National Trust,['National Trust'],"['The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust', 'The National Trust']",0,"Stonehenge has changed ownership several times since King Henry VIII acquired Amesbury Abbey and its surrounding lands. In 1540 Henry gave the estate to the Earl of Hertford. It subsequently passed to Lord Carleton and then the Marquess of Queensberry. The Antrobus family of Cheshire bought the estate in 1824. During the First World War an aerodrome (Royal Flying Corps ""No. 1 School of Aerial Navigation and Bomb Dropping"") was built on the downs just to the west of the circle and, in the dry valley at Stonehenge Bottom, a main road junction was built, along with several cottages and a cafe. Stonehenge was one of several lots put up for auction in 1915 by Sir Cosmo Gordon Antrobus, soon after he had inherited the estate from his brother. The auction by Knight Frank & Rutley estate agents in Salisbury was held on 21 September 1915 and included ""Lot 15. Stonehenge with about 30 acres, 2 rods, 37 perches [12.44 ha] of adjoining downland."" In 1915, Cecil Chubb bought the site for £6,600 (£562,700 in 2022) and gave it to the nation three years later, with certain conditions attached. Although it has been speculated that he purchased it at the suggestion of – or even as a present for – his wife, in fact he bought it on a whim, as he believed a local man should be the new owner. In the late 1920s a nationwide appeal was launched to save Stonehenge from the encroachment of the modern buildings that had begun to rise around it. By 1928 the land around the monument had been purchased with the appeal donations and given to the National Trust to preserve. The buildings were removed (although the roads were not), and the land returned to agriculture. More recently the land has been part of a grassland reversion scheme, returning the surrounding fields to native chalk grassland.",-3.8857805861880484e-16,1.0,-0.0275488404367933,0.0007101743888425,0.9886476397514344,0.0046939724124968,0.1133278086781501,0.0149935279041528,0.1793171614408493,0.8330029845237732,0.6209315061569214,0.2719914019107818,0.1345972120761871,0.0959747061133384,0.5392042994499207,0.1241659522056579,0.4584821760654449,0.2046308815479278,0.4198072254657745,0.4151719808578491,0.3528232872486114,0.6183887720108032,0.2868669629096985,0.2830835580825805,0.3970531821250915,0.3827252388000488,0.5660440921783447,0.5136777758598328,0.4561802744865417,0.3373364508152008
this organization is a division of which business group?,Boeing,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing']",0,"The corporation's four main divisions are Boeing Commercial Airplanes (BCA), Boeing Defense, Space & Security (BDS), Boeing Global Services, and Boeing Capital. Boeing Commercial Airplanes (BCA) builds commercial aircraft including the 737, 747, 767, 777, 787, along with freighter and business jet variants of most. The division employs nearly 35,000 people, many working at the company's manufacturing facilities in Everett and Renton, Washington (outside of Seattle), and South Carolina. Boeing Defense, Space & Security (BDS) builds military aircraft, satellites, spacecraft, and space launch vehicles. Boeing Global Services provides aftermarket support, such as maintenance and upgrades, to customers who purchase equipment from BCA, BDS, or from other manufacturers. Boeing Capital provides customers financing for the products and services from the company's other divisions.",-9.43689570931383e-16,4.1399377187851675e-08,-0.0263029548686972,0.1821135291210136,0.9881615042686462,0.2697088718414306,0.1097832322120666,0.5712820291519165,0.576782763004303,0.9260647296905518,0.7848407030105591,0.7282465100288391,0.032526858150959,0.610145092010498,0.6710785627365112,0.4701292216777801,0.7797906994819641,0.0788053348660469,0.1127839088439941,0.0510076507925987,0.1946364045143127,0.5424340963363647,0.0157681684941053,0.0340223498642444,0.1796511113643646,0.0289534479379653,0.0153679102659225,0.0026302875485271,0.6125177145004272,0.0001699658896541223
What is the closest parent taxonomy of this animal?,Dicotyles,['Pecari'],"['Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles', 'Dicotyles']",0,"Although somewhat related to true Old World pigs and frequently referred to as a pig, this species and the other peccaries are no longer classified in the pig family, Suidae. Although formerly classified in the genus Pecari, studies in 2020 placed in the genus Dicotyles, based on an unequivocal type-species selection; these studies have been accepted by the American Society of Mammalogists. However, the IUCN still places it in the genus Pecari.",-7.2164496600635185e-16,1.6052280551856114e-09,-0.0682704034791186,0.5631446537543376,0.9425104856491088,0.3108936250209808,0.0042383419349789,0.151545837521553,0.0072887078858911,0.6484447717666626,0.1927641183137893,0.2627229392528534,0.0139000313356518,0.2465484291315078,0.0838210433721542,0.4162448048591614,0.1040851324796676,0.0012709934962913,0.0394742749631404,0.0005581981386058,0.0366077460348606,0.0006732617039233,0.2503757774829864,0.0024436505045741,0.5171616077423096,0.0017146432073786,0.1279336661100387,0.0010206938022747,0.3298666179180145,0.004178319592028856
