question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_eva_clip_base_no_context,llava_infoseek_eva_clip_base_with_context,llava_infoseek_eva_clip_no_p_prime,llava_infoseek_eva_clip_no_p_q_i,llava_infoseek_eva_clip_no_p_q_c,llava_infoseek_eva_clip_no_p_q
How many days does the gestation of this animal take?,12,['59.0-77.0'],[],0,"While this article breaks out mammal communities by habitats, one of the problems you'll encounter in the Dunes community is that the habitats are in flux.  Razed Residential areas are slowly returning to the habitat of the surrounding area, whether that is a wetland hummock, or a savanna.  At Mount Baldy forested areas are becoming open sand.  While the process may take years, an area that once hosted a community of plants and animals may change in your lifetime.",0.05759836360812187,0.015876302495598793,0.006132654380053282,0.0267576165497303,0.0011780086206272244,0.01132773607969284,0.0009745358256623149
What is the length of this vehicle in millimetre?,4200,['4020'],[],0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",0.029992157593369484,0.0053514400497078896,0.009596971794962883,0.05057977885007858,0.008367307484149933,0.059772223234176636,0.0031962499488145113
What is the closest parent taxonomy of this bird?,Warbler,['Protonotaria'],[],0,"Rondeau has a variety of habitats, including sandy beach, dunes, prairie, oak savannah, carolinian forest, woodlands sloughs, a large marsh, and productive shallow bay. The park is recognised as one of Ontario's most important natural areas. Many of the plant species found here are typical of areas further south. Prominent among them is tuliptree, whose leaf forms the basis for the Friends of Rondeau Provincial Park logo. A variety of nationally and provincially threatened or endangered species are found in the park, such as eastern spiny softshell and nodding pogonia. The park is home to the largest population of breeding prothonotary warblers in Canada. Other endangered birds nesting in the park include king rail and Acadian flycatcher. The park is also an important stopover for migrating birds in spring and fall. During the first Atlas of Breeding Birds of Ontario, the Rondeau Area had the highest breeding bird diversity in the province. Overpopulation of white-tailed deer, and their effect on forest vegetation, has been an ongoing concern. Although controversial, culls to control deer numbers are held on a regular basis, in recent years involving members of the Delaware Nation at Moraviantown.",0.3425784111022949,0.0005538906552828848,0.008937683887779713,0.0015230601420626044,0.0017429348081350327,0.0036584315821528435,0.0014581679133698344
What is the immediately prior item that this organization follows in a series?,2017,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],[],0,"On 14 December 2017, the organisers of the Scampton Airshow issued a statement with regard to the 2018 event. The statement read that following the 2017 airshow the organisers required time to reflect on certain issues and to look at how the airshow could be improved. In view of this, the statement continued that there were still areas of the event which required improvement and consequently there would be no running of the Scampton Airshow in 2018. The statement did however conclude that the organisers, following the review, intend to run an improved Scampton Airshow in 2019.",0.09319645911455154,0.0028808796778321266,0.005367336794734001,0.007803378161042929,0.002349667716771364,0.02190696820616722,0.0008887067087925971
What is the country of origin of this food?,England,['United States of America'],[],0,"Jam sandwiches are thought to have originated at around the 19th century in the United Kingdom.  The jam sandwich was an affordable food. One plausible reason for this was that the ingredients that the jam sandwiches were made from cost little to manufacture and due to taxes being lifted on sugar in 1880, it became widely available as a cheap foodstuff. Traditionally, jam sandwiches are just jam and bread, but with the invention of the toaster a variety of open jam sandwich became popular, now known as ""jam on toast"". Today, jam sandwiches are mainly consumed by children and the elderly; Newcastle United Manager Steve Bruce is known to feed the players jam sandwiches at half time when there's no corned beef in the away ground kitchen. One can say ""[a jam sandwich] is one of the greatest simplest pleasures of life"". Shops do not often sell individual jam sandwiches.",0.4748152196407318,0.3104502856731415,0.011540696956217289,0.013212696649134159,0.048465579748153687,0.020975356921553612,0.008511906489729881
What is the minimum height of this animal in centimetre?,23,['36'],[],0,"Though it is a toy dog, Havanese are sturdy and not overly delicate. Most are 10 to 16 lb (4.5 to 7.3 kg) and 8+1⁄2 to 11+1⁄2 in (22 to 29 cm), with the ideal being 9 to 10+1⁄2 in (23 to 27 cm) at the withers. The body, measured from point of shoulder to point of buttocks, is slightly longer than the height at the withers, giving the dog the appearance of being slightly longer than tall. The length of the body results from the long ribcage, not the loins. A unique aspect of the breed is the topline, which rises just slightly from withers to croup, creating a topline that is straight but not level. Renowned for their flashy, lively gait, their strong rear drive and slightly shorter upper arm produce a springy motion rather than a far-reaching one. The angle of the topline does not change while moving at a natural gait. The muzzle is full and tapers slightly at the nose. It does not have the appearance of being short or snipy. Length of skull measured from stop to point of occiput is equal to the length of muzzle. The top of the skull is rather flat and the back skull is rounded. The length from foot to elbow is equal to the length from elbow to withers. The fore chest is pronounced. When in a standing position, the sternum lines up with the elbows, creating a deep chest. Ribs are well-sprung and the abdomen is moderately tucked up. The Havanese has dark brown eyes and almond-shaped lids surrounded by black pigment. The ears, when extended, reach half way to the nose. They arc slightly upward at the base and hang down on the sides of the head without touching the face. The tail is carried arched forward up over the back. While the tail's long plume of hair falls on the body, the tail itself never touches the back.",0.06429780274629593,0.10956073552370071,0.10715215653181076,0.014352921396493912,0.04010038822889328,0.09435024112462997,0.021346259862184525
Who designed this building?,Louis-Philippe Hébert,['Joseph Michaud | Victor Bourgeau'],[],0,A small chapel is dedicated to baptism ceremonies. The marble baptismal font is mounted on a stucco crucifix sculpted by Louis-Philippe Hébert.,0.2511714696884155,0.7814229130744934,0.2408009171485901,0.8159477114677429,0.017337912693619728,0.23947417736053467,0.01628890261054039
Who is the owner of this building?,YAT,['National Trust'],[],0,"The York Archaeological Trust for Excavation and Research Limited (YAT) is an educational charity, established in 1972 in the city of York, England. It carries out archaeological investigations, fieldwork, excavation and research in York, Yorkshire and throughout Britain and beyond. Its staff include specialists in archaeological excavation, historic building analysis and recording, artefact curation, conservation and research, archaeological computing, and illustration and design.",0.048622261732816696,0.015553180128335953,0.004252421669661999,0.003420669585466385,0.0019157533533871174,0.011958927847445011,0.01513106282800436
this organization is a division of which business group?,Sky king,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']",[],0,"The airline began operations in July 1990 as a privately held company to fly for the NBA's Sacramento Kings. Initially, the company provided service for the Kansas City Kings in a single BAC One-Eleven under FAR-125.  In 2002, Sky King received its FAR-121 certificate and 98% of the company's flying was for hockey teams.  A series of events in 2005, including the NHL lockout, the devastation of Hurricane Katrina and the spike in jet fuel prices required Sky King to find an alternate way of running its business.  This resulted in the adoption of the ACMI (Aircraft Crew Maintenance and Insurance) model and a partnership with Gold Transportation was forged. In March 2010, Sky King filed for Chapter 11 bankruptcy protection. Sky King emerged from this Chapter 11 bankruptcy in June 2011.  Following a successful reorganization in June 2010, the airline moved its headquarters from Sacramento, California to Lakeland, Florida.  By moving to Lakeland, Sky King was able to reduce its maintenance costs (by eliminating cross-country ferry flights) and focus on expanding the east coast markets it served.  In October, 2010, Sky King was purchased by Aviation Capital Partners Group and shifted its focus away from private charters and towards providing scheduled services.  At the end of 2010, Sky King had over 270 employees. At the end of August 2012, Sky King returned three aircraft to its owner, AerSale, in Roswell, NM. At the same time, Sky King again filed for Chapter 11 bankruptcy protection and laid off over 20 pilots, 30 flight attendants, and others in operations, maintenance, and the Lakeland office. In December 2013, Sky King furloughed/laid off nearly half of staff across all departments and returned one airplane to the leasing company. As of December 31, 2013, Sky King had two airplanes in its fleet, one of which had been grounded for several months with a bad engine that needed to be replaced.  Also in December, the New Jersey Division of Gaming Enforcement revealed tha",0.032751623541116714,0.0016495175659656525,0.0811011865735054,0.007750390563160181,0.0020110902842134237,0.04110230877995491,0.0016007722588256001
What is the closest parent taxonomy of this animal?,Mammal,['Pecari'],[],0,"In 1980, Flannery discovered an Allosaurid dinosaur fossil on the southern coast of Victoria, the first from the family known from Australia. In 1985, he had a role in the ground-breaking discovery of Cretaceous fossil monotreme Steropodon, the first Mesozoic mammal fossil discovered in Australia. This find extended the Australian mammal fossil record back 80 million years. During the 1980s, Flannery described most of the known Pleistocene megafaunal species in New Guinea as well as the fossil record of the phalangerids, a family of possums. As part of his doctoral studies, he reviewed the evolution of Macropodidae and described 29 new fossil species, including 11 new genera and three new subfamilies.",0.42670366168022156,0.0005432223551906645,0.013163963332772255,0.006121614947915077,0.0019601748790591955,0.0037168709095567465,0.0007229996263049543
