question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1992,['1993'],"['2 years ago', 'Grunge era', '1992', '1992', '2000', '1992', '1992', '1992', '1992', '1992']",0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",-2.3976874379049704,0.9874075327463052,-0.503391280217135,0.8585882397326023,0.7317687273025513,0.1594500541687011,0.2271818220615387,0.3141998946666717,0.8149980902671814,0.7523231506347656,0.7246149778366089,0.0257719326764345,0.0180495996028184,0.0092484792694449,0.2190168052911758,0.1231014132499694,0.0242274533957242,0.3605367839336395,0.3875395357608795,0.008111055009067,0.1661578118801117,0.4785164594650268,0.3408458530902862,0.0088414018973708,0.0030982294119894,0.0249575842171907,0.0009688606951385,0.0510816574096679,0.0133380619809031,0.019561767578125
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Soldiers,['soldiers'],"['Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Men', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-0.0193932384788616,0.9882591651431324,-0.2493173635331914,0.3664452151507752,0.9379621148109436,0.9904746413230896,0.8218085169792175,0.8888589143753052,0.9636857509613036,0.656470775604248,0.8488496541976929,0.2477716654539108,0.3244123458862304,0.1378495991230011,0.7913233637809753,0.15972501039505,0.0906208008527755,0.3213165402412414,0.1887326091527938,0.3321004509925842,0.0606196261942386,0.3273516893386841,0.1117883697152137,0.016368594020605,0.0877007246017456,0.0160804279148578,0.1294832378625869,0.021347826346755,0.082706443965435,0.016326904296875
How many webby awards has this museum won for best science website?,4,['four'],"['2', '4', '1', '4', '6', '6', '4', '6', '4', '4']",0,"Online since 1992, the Exploratorium was one of the first museums to build a site on the World Wide Web. The site serves 13 million visitors each year. It has received six Webby Awards since 1997, including four for Best Science Website and one for Best Education website, and has been an honoree an additional ten times. The Exploratorium's website is an extension of the experiences on the museum's floor and provides a large number of hands-on activities and exhibits for online-only visitors. The Exploratorium also broadcasts live video and/or audio directly from the museum floor (or from satellite feeds in the field, at such locations as Antarctica or the Belize rainforest) onto the Internet from its Webcast Studio. Webcasts provide access to special events, scientists, and other museum resources for audiences on the Web.",-4.927643100804161,0.9754200454028876,-0.5498465670389123,0.7489653936027157,0.2066780179738998,0.0212306790053844,0.0064363763667643,0.0114559158682823,0.0155232734978199,0.003593873931095,0.0379428975284099,0.0046745063737034,0.0152613073587417,0.0044292211532592,0.0415635034441947,0.0104140620678663,0.0311787333339452,0.0120882960036396,0.1142269149422645,0.0155100328847765,0.1449144035577774,0.0372231565415859,0.0852677449584007,0.0055970596149563,0.1282068490982055,0.0177281685173511,0.3259044587612152,0.0320056900382041,0.1870302557945251,0.0012826919555664062
What kind of trains stop at this railway station?,Puyuma,['CRH high-speed trains'],"['Puyuma', 'Puyuma', 'Puyuma', 'Passenger', 'Puyuma', 'Puyuma', 'Passenger', 'Puyuma', 'Subway', 'Commuters']",0,"All classes of trains stop at the station with the exception of 1 daily Puyuma service. Easycard usage for trains along West Coast line, Yilan line, and Pingtung line is also available at this station.",-3.914039317057287,0.9703726817905814,-0.6238263902332013,0.6029871606114292,0.1892851293087005,0.0044596958905458,0.0046832733787596,0.0158206559717655,0.0185538604855537,0.0328709408640861,0.0173882488161325,0.0041787084192037,0.0007780095911584,0.0062635680660605,0.0008701899787411,0.0045898919925093,0.000629958231002,0.0082320291548967,0.0403145551681518,0.1144917607307434,0.0194147713482379,0.4554403424263,0.0393767952919006,0.0204808432608842,0.2205534130334854,0.0263316817581653,0.0017758276080712,0.007989645935595,0.0031023104675114,0.057373046875
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['PREFERRED', 'Preferred', 'Preferred', 'Preferred', 'Yes', 'Yes', 'Favored', 'Preferred', 'Yes', 'Yes']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-0.0156629435417543,0.9911435771928612,-0.5446776275181522,0.8747745679037346,0.7930585145950317,0.7917624711990356,0.8239707350730896,0.8954881429672241,0.56159508228302,0.9516106843948364,0.3328578770160675,0.4890749752521515,0.3377811908721924,0.9161421656608582,0.8782379031181335,0.7193537354469299,0.235410064458847,0.0039985417388379,0.0413715429604053,0.0087433634325861,0.1026250943541526,0.0411922968924045,0.0167918428778648,0.0060240300372242,0.003089927136898,0.0032077194191515,0.0021040476858615,0.0065961829386651,0.0686994045972824,0.1231689453125
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Unknown', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-1.897366596101028,0.9808378294684992,-0.1339466027044788,0.678287802430767,0.9640643000602722,0.9259845614433287,0.916841983795166,0.7922403216362,0.9255110025405884,0.9849069118499756,0.9001951217651367,0.5842928290367126,0.7458122968673706,0.5945547223091125,0.96197909116745,0.6765344738960266,0.3949666023254394,0.0669426470994949,0.4577684700489044,0.0017544558504596,0.2148694843053817,0.4118649363517761,0.256593257188797,0.0035062478855252,0.4216930270195007,0.0037507105153054,0.1022911146283149,0.0082369307056069,0.3941514492034912,0.05718994140625
What part of north africa is this plant native to?,Sahara,['western'],"['Sahara', 'Sahara', 'Western africa', 'Morroco', 'Algeria', 'North', 'Sahara', 'Eastern', 'Sahara', 'Algeria']",0,"This plant is native to North and East Africa, the Arabian Peninsula and the Middle East. It typically grows in salt marshes and semi-arid saline areas of deserts and it can help in the stabilisation of loose soils.",-5.9785573832371295,0.9844213287532722,-1.2671826703454525,0.6317708588902186,0.5260365605354309,0.0112209077924489,0.0610570311546325,0.0517743378877639,0.1712411046028137,0.1085670217871666,0.2108693718910217,0.0041986815631389,0.0092063639312982,0.0055417171679437,0.02779496088624,0.0037327345926314,0.0360063537955284,0.0027946955524384,0.1423333883285522,0.000826732837595,0.2601066529750824,0.0191304013133049,0.1064702421426773,0.015336524695158,0.0221522785723209,0.1100609749555587,0.0106811430305242,0.0319170542061328,0.3847311735153198,0.13037109375
Are there periods of high or low nectar production for this bird?,Low,['low'],"['High', 'High', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-2.472118961779476,0.8697700895110193,-0.6143539030104875,0.5711755955482561,0.384590208530426,0.1686150878667831,0.5559725165367126,0.1494030356407165,0.2894666194915771,0.2332375794649124,0.655699610710144,0.0106606902554631,0.2457428127527237,0.0740362554788589,0.6695572733879089,0.0260232184082269,0.1109206303954124,0.0019757966510951,0.0441116169095039,0.0052183680236339,0.0849059075117111,0.035969752818346,0.0079255290329456,0.0011539683910086,0.1143513098359108,0.0011532930657267,0.0798191279172897,0.0015877971891313,0.0930961072444915,0.11181640625
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Spain', 'Philippine', 'Macau', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-3.162331618098458,0.978237130289766,-0.604451488587074,0.6412499647294284,0.630157470703125,0.3147264122962951,0.4653920531272888,0.2910752892494201,0.4718561768531799,0.2952819764614105,0.7484832406044006,0.1805034279823303,0.0338956676423549,0.2989354133605957,0.5034245848655701,0.8068752884864807,0.0381928607821464,0.7769441604614258,0.0636907741427421,0.4098870754241943,0.0252501685172319,0.6092983484268188,0.6516106724739075,0.4447695314884186,0.3002772033214569,0.5950912237167358,0.0603659451007843,0.0863593220710754,0.267076164484024,0.00390625
What are the common names of this plant?,Cat's head,['vinegarweed and camphor weed'],"['Puncture vine', 'Goats head', 'Bindii', 'Bullhead', 'Calf rope', ""Cat's head"", 'Bullhead', 'Catnip', ""Devil's eye"", 'Goats head']",0,"Like many weedy species, this plant has numerous common names according to the world region, including goat's-head, bindii, bullhead, burra gokharu, bhakhdi, caltrop, small caltrops, cat's-head, devil's eyelashes, devil's-thorn, devil's-weed, puncture vine, and tackweed.",-8.22192191643779,0.9191650725952966,-1.0131957485325014,0.6187954775372864,0.5066236257553101,0.0021720137447118,0.0020175348035991,0.0063615450635552,0.0027485252358019,0.0018069200450554,0.0078414371237158,0.0019948398694396,0.001728001399897,0.0014841625234112,0.0029140550177544,0.002062777755782,0.000746231584344,0.0186252780258655,0.0029068731237202,0.0094681624323129,0.0051141972653567,0.0512799806892871,0.0017334148287773,0.0009716427884995,0.0050206258893013,0.0033961199223995,0.0008501377888023,0.0013538270723074,0.002428148407489,0.0147705078125
