question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_bm25_base_no_context,llava_evqa_bm25_base_with_context,llava_evqa_bm25_no_p_prime,llava_evqa_bm25_no_p_q_i,llava_evqa_bm25_no_p_q_c,llava_evqa_bm25_no_p_q
When did Mudhoney name a song after this pass?,1992,['1993'],[],0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",0.7317687273025513,0.15945005416870117,0.2271818220615387,0.4362550973892212,0.6349384188652039,0.5381279587745667,0.32740169763565063
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Soldiers,['soldiers'],[],1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",0.9379621148109436,0.9904746413230896,0.8218085169792175,0.8713535666465759,0.8431305885314941,0.8408365249633789,0.9006472826004028
How many webby awards has this museum won for best science website?,2,['four'],[],0,"GreatSchools received Outstanding Achievement awards in 2011 and Best In Class awards in 2009 from the Interactive Media Awards. In 2021, GreatSchools received two nominations in the 25th Annual Webby Awards in the Science & Education category for its parenting podcast, Like a Sponge: Best Limited Series Podcast and Best Individual Episode for its season 2, episode 4 title, “Liar, Liar: How to Raise an Honest Child in a Post-truth Society.” In 2021, GreatSchools.org won two ""Awards of Distinction"" in the 27th Annual Communicator Awards for Best Family & Parenting and Best Education website. In 2022, an episode of GreatSchools.org's podcast Like a Sponge, ""Banishing Bias from School,"" was nominated in the 26th Annual Webby Awards for Best Science & Education podcast episode. The podcast series Like a Sponge was also recognized as a Webby Honoree for Best Podcast - Limited-Series & Specials in the Health, Science & Education category.",0.19006331264972687,0.01472403947263956,0.003203695174306631,0.02187340520322323,0.014428718015551567,0.01906321384012699,0.010606576688587666
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],[],0,"Delhi Sarai Rohilla railway station (station code: DEE) is situated about 4 kilometres (2+1⁄2 mi) from old Delhi railway junction in India. It is managed by Delhi Division of Northern Railway zone. Many trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station. More than twenty trains including Duronto and AC trains originate at this station.",0.9430511593818665,0.18328359723091125,0.3288783133029938,0.20434318482875824,0.3872727155685425,0.2599477469921112,0.30397653579711914
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],[],0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",0.7930585145950317,0.7917624711990356,0.8239707350730896,0.7871427536010742,0.6859230995178223,0.7330116629600525,0.8639546036720276
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],[],1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",0.9640643000602722,0.9259845614433289,0.916841983795166,0.9421436786651611,0.8390742540359497,0.8994518518447876,0.8822266459465027
What part of north africa is this plant native to?,South africa,['western'],[],0,"Hypoxis hemerocallidea, the African star grass or African potato, is a medicinal plant in the Hypoxidaceae family. It is native to southern Africa from South Africa as far north as Mozambique and Zimbabwe. This plant is the best known member of this genus.",0.7075899839401245,0.040278851985931396,0.0041840095072984695,0.0036448317114263773,0.16552403569221497,0.03310142084956169,0.01476307213306427
Are there periods of high or low nectar production for this bird?,Low,['low'],[],1,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",0.384590208530426,0.16861508786678314,0.5559725165367126,0.25940650701522827,0.33585265278816223,0.7644389867782593,0.647205114364624
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],[],1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",0.630157470703125,0.31472641229629517,0.4653920531272888,0.5487541556358337,0.8098430037498474,0.6680363416671753,0.5928475856781006
What are the common names of this plant?,Burning love,['vinegarweed and camphor weed'],[],0,"This plant was first formally named as Lychnis chalcedonica by Carl Linnaeus in 1753. For purposes of taxonomic stability, the genus name Lychnis was formally rejected in 1994 and the name Silene was conserved. The plant is now known as Silene chalcedonica, a name published by Ernst Hans Ludwig Krause in 1901. The specific epithet chalcedonica refers to the ancient town of Chalcedon in what is now Turkey. Numerous common names are attached to this plant, including: Burning love Common rose campion (also used for Silene coronaria) Constantinople campion Dusky salmon Fireball Flower of Bristol Flower of Constantinople Gardener's delight Gardener's eye Great candlestick Jerusalem cross Knight's cross Maltese cross Meadow campion Nonesuch Red robin Scarlet lightning Scarlet lychnis Tears of Christ",0.5639729499816895,0.0020154754165560007,0.0027681326027959585,0.07928820699453354,0.02491685189306736,0.011213578283786774,0.01633657142519951
