question_text,prediction,ground_truths,generated_text,correctness,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,60 days,['59.0-77.0'],"['60 days', '60 days', '60 days', '60 days', '60 days', '60-65 days', '60 days', '60-65 days', '60 days', '60 days']",0,-0.015559517376951,0.9999998807907176,-0.256726452199551,0.0015034391929775,0.4839494824409485,0.012198488228023,0.0058958735316991,0.0240423660725355,0.0330294892191886,0.5656657218933105,0.1513755619525909,0.0007398179150186,0.0008355093304999,0.0008583422168157,0.0009589507826603,0.000817387830466,0.0087914075702428,0.03843954205513,0.0722163841128349,0.0347946360707283,0.0183318853378295,0.1024909988045692,0.072973720729351,0.0012611474376171,0.0008717373711988,0.0008820644579827,0.0008619389845989,0.0008025870774872,0.0007757697603665,0.795753538608551
What is the length of this vehicle in millimetre?,3850,['4020'],"['4120', '3850', '4100', '3950', '4000', '3995', '3900', '4100', '4160', '4150']",0,-8.854377448471464,4.539992976248485e-05,-0.7690146690420806,0.0004307425405756,0.0440867468714714,0.0028913824353367,0.0010727660264819,0.0029720256570726,0.0038362592458724,0.0020498351659625,0.0022788881324231,0.0007752059609629,0.000714149151463,0.0007428978569805,0.0011612615780904,0.0007722081500105,0.0004547047428786,0.003614438464865,0.0028674080967903,0.0051937126554548,0.0046277036890387,0.010702135041356,0.0044846530072391,0.003197852987796,0.0007388652884401,0.0037025937344878,0.0009967155056074,0.0053110062144696,0.0009904219768941,0.9574518203735352
What is the closest parent taxonomy of this bird?,passerine,['Protonotaria'],"['passerine', 'passerine', 'passerine', 'passerine', 'passerine', 'passerine', 'passerine', 'passerine', 'passerine', 'passerine']",0,-6.106226635438361e-16,1.0,-0.0707331537878417,0.0019304541362277,0.8771163821220398,0.3456901609897613,0.1811158210039138,0.1634167432785034,0.1989849358797073,0.5875054001808167,0.3395461738109588,0.3760221004486084,0.0140967909246683,0.2243519723415374,0.0617531985044479,0.3440363109111786,0.0961648672819137,0.0007890944834798,0.1172527000308036,0.0005916875088587,0.2482842206954956,0.0009123116033151,0.0816995799541473,0.001070735277608,0.0089180059731006,0.0019188256701454,0.049590315669775,0.0008565451134927,0.0980636924505233,0.6995745897293091
What is the immediately prior item that this organization follows in a series?,Royal Air Force,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal Air Force']",0,-6.661338147750939e-16,0.9819759354668612,-0.1081174965656828,0.0003801289578694,0.9137198328971864,0.6371191143989563,0.0548927821218967,0.2768755555152893,0.0455252192914485,0.6594271659851074,0.2558908462524414,0.1364241689443588,0.007585413288325,0.0518069006502628,0.0134022394195199,0.2140996605157852,0.0084014302119612,0.0016473304713144,0.0273334085941314,0.0016962068621069,0.0046796472743153,0.0041613839566707,0.0715835466980934,0.002759652910754,0.0608945563435554,0.0042025311850011,0.0244187731295824,0.0010823688935488,0.0105044785887002,0.9271559119224548
What is the country of origin of this food?,United States,['United States of America'],"[' United States', ' United States', ' United States', ' United States', ' United States', ' United States', ' United States', ' United States', ' United States', ' United States']",0,-2.7755575615628914e-16,1.0,-0.0872791744671606,0.0031827807965096,0.871778666973114,0.0162635240703821,0.026747927069664,0.0235181227326393,0.0056895557790994,0.1303567439317703,0.0754888877272605,0.0170367863029241,0.007920597679913,0.0735932141542434,0.020519059151411,0.3360586166381836,0.1053779348731041,0.0273900832980871,0.024792181327939,0.0365088991820812,0.0503298118710517,0.279740422964096,0.0829256325960159,0.0010495891328901,0.0008853660547174,0.0009689817088656,0.0051160319708287,0.0009637819603085,0.0017450175946578,0.9449276328086853
What is the minimum height of this animal in centimetre?,30,['36'],"['30', '30', '30', '30', '30', '30', '30', '30', '30', '30']",0,-1.2212453270876722e-15,0.952577334334235,-0.1013047794500986,0.0005530843701478,0.7798160314559937,0.0306202005594968,0.0034251934848725,0.2812491655349731,0.0270554032176733,0.4402689337730407,0.1041136980056762,0.0013349303044378,0.0146564561873674,0.0071135642938315,0.0066762859933078,0.0216610860079526,0.0237784665077924,0.0572926104068756,0.0814296156167984,0.0264646261930465,0.0442126169800758,0.2582496702671051,0.0275236070156097,0.1322534531354904,0.0009515972342342,0.1743559539318084,0.0037333676591515,0.1979163140058517,0.0033447151072323,0.9187148809432983
Who designed this building?,Jean-Baptiste Lassus,['Joseph Michaud | Victor Bourgeau'],"[' Jean-Baptiste Lassagne', ' Jean-Baptiste Lassalle', ' Jean-Baptiste Lassus', ' Jean-Baptiste Lully', ' Jean-Baptiste Lassus', ' Jean-Baptiste Lassus', ' Jean-Baptiste Lassagne', ' Jean-Baptiste Lassus', ' Jean-Baptiste Lassus', ' Jean-Baptiste Lassus']",0,-3.942182982847724,3.927863545481039e-07,-0.3581415057824058,0.0052475183991813,0.6226031184196472,0.0022237908560782,0.0012186198728159,0.0078476648777723,0.0025808869395405,0.0126548828557133,0.0023382352665066,0.0011611537775024,0.0003986365627497,0.0016866608057171,0.0049769561737775,0.0007305715698748,0.0006172385765239,0.0173728894442319,0.1568898111581802,0.0239335633814334,0.1320711225271225,0.068002313375473,0.0108991088345646,0.0010190546745434,0.0271758735179901,0.0019383101025596,0.0009757543448358,0.0007808391819708,0.0070103909820318,0.7586542963981628
Who is the owner of this building?,The British government,['National Trust'],"[' Government', 'The British government', ' English Heritage', ' government', ' Government', ' The British government', ' government', 'The English Heritage', ' English Heritage', ' English Heritage']",0,-3.085229038155715,0.952577334334235,-0.9528065832171708,0.0005530843701478,0.1351126581430435,0.0021114472765475,0.0066185458563268,0.0056866803206503,0.0043444666080176,0.0086850048974156,0.0127443429082632,0.000599643564783,0.002779695438221,0.0011105916928499,0.0008703906205482,0.0005931351915933,0.0017164292512461,0.0037154706660658,0.0075387484394013,0.0082514816895127,0.0094008594751358,0.1770821362733841,0.0070945741608738,0.0008029271266423,0.0010381923057138,0.0008040035027079,0.0008539255941286,0.0009722238755784,0.0005097700632177,0.5598467588424683
this organization is a division of which business group?,royal dutch shell,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","[' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell', ' royal dutch shell']",0,-5.551115123125784e-16,2.1724399350790168e-10,-0.051644125176972,0.0009118819655545,0.5249874591827393,0.0288045834749937,0.0022959655616432,0.0243056993931531,0.0032658083364367,0.0168963447213172,0.0143757881596684,0.0203272346407175,0.0019634296186268,0.0235486328601837,0.015767902135849,0.2049247920513153,0.0066571938805282,0.0018757908837869,0.0054814759641885,0.0010015787556767,0.0029523798730224,0.0015064276522025,0.0046585933305323,0.0010063736699521,0.0767819881439209,0.0012756494106724,0.0137578845024108,0.0008257892914116,0.0690569132566452,0.6311052441596985
What is the closest parent taxonomy of this animal?,Mammalia,['Pecari'],"['Mammalia', 'Mammal', 'Mammal', 'Mammal', 'Mammal', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammal', 'Mammalia']",0,-0.0004061803523908,0.9999992847445184,-0.1808438884776251,0.0011708796207911,0.7834877371788025,0.194895327091217,0.6650274991989136,0.2097765803337097,0.2432866990566253,0.6741474270820618,0.6054922342300415,0.0549628064036369,0.0281375758349895,0.0521598160266876,0.08004891872406,0.1844917088747024,0.1727051436901092,0.0007222538115456,0.3764480948448181,0.0005289750406518,0.1682588160037994,0.000603390741162,0.1336639821529388,0.0008681078907102,0.0009156494634225,0.001388912089169,0.0036160012241452,0.0008064181893132,0.0023491033352911,0.9164555072784424
Who is the manufacturer of this aircraft?,Airbus,['Airbus'],"[' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus', ' Airbus']",1,-4.996003610813204e-16,1.0,-0.05120825394971,0.0031827807965096,0.9490471482276917,0.004839499015361,0.0164439883083105,0.0091905193403363,0.0104020293802022,0.0696168020367622,0.04121058806777,0.0561883337795734,0.1155531555414199,0.0602705739438533,0.230068489909172,0.1530350297689438,0.3909636437892914,0.0078331129625439,0.0382701493799686,0.0418203622102737,0.2160095423460006,0.0635768473148346,0.0199387222528457,0.2298632115125656,0.1716940999031067,0.3225031495094299,0.5822113156318665,0.439341127872467,0.6282441020011902,0.8628717660903931
