question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_rerank_base_no_context,llava_evqa_rerank_base_with_context,llava_evqa_rerank_no_p_prime,llava_evqa_rerank_no_p_q_i,llava_evqa_rerank_no_p_q_c,llava_evqa_rerank_no_p_q
When did Mudhoney name a song after this pass?,1992,['1993'],[],0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",0.7317687273025513,0.31419989466667175,0.8149980902671814,0.2704448103904724,0.30667006969451904,0.30687543749809265,0.5456936359405518
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Soldiers,['soldiers'],[],1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",0.9379621148109436,0.8888589143753052,0.9636857509613037,0.8597715497016907,0.837904155254364,0.9149236083030701,0.93392014503479
How many webby awards has this museum won for best science website?,4,['four'],[],0,"Online since 1992, the Exploratorium was one of the first museums to build a site on the World Wide Web. The site serves 13 million visitors each year. It has received six Webby Awards since 1997, including four for Best Science Website and one for Best Education website, and has been an honoree an additional ten times. The Exploratorium's website is an extension of the experiences on the museum's floor and provides a large number of hands-on activities and exhibits for online-only visitors. The Exploratorium also broadcasts live video and/or audio directly from the museum floor (or from satellite feeds in the field, at such locations as Antarctica or the Belize rainforest) onto the Internet from its Webcast Studio. Webcasts provide access to special events, scientists, and other museum resources for audiences on the Web.",0.20667801797389984,0.011455915868282318,0.0155232734978199,0.027454262599349022,0.08462092280387878,0.015557736158370972,0.017518632113933563
What kind of trains stop at this railway station?,Puyuma,['CRH high-speed trains'],[],0,"All classes of trains stop at the station with the exception of 1 daily Puyuma service. Easycard usage for trains along West Coast line, Yilan line, and Pingtung line is also available at this station.",0.18928512930870056,0.015820655971765518,0.01855386048555374,0.011688188649713993,0.058846909552812576,0.04774312302470207,0.006614358630031347
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],[],0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",0.7930585145950317,0.8954881429672241,0.56159508228302,0.8840866088867188,0.8431422710418701,0.8964682221412659,0.9183239936828613
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],[],1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",0.9640643000602722,0.7922403216362,0.9255110025405884,0.9130519032478333,0.8408430218696594,0.907551646232605,0.9631001353263855
What part of north africa is this plant native to?,Sahara,['western'],[],0,"This plant is native to North and East Africa, the Arabian Peninsula and the Middle East. It typically grows in salt marshes and semi-arid saline areas of deserts and it can help in the stabilisation of loose soils.",0.5260365605354309,0.05177433788776398,0.17124110460281372,0.12083718180656433,0.1836538016796112,0.10092596709728241,0.04875411093235016
Are there periods of high or low nectar production for this bird?,Low,['low'],[],1,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",0.384590208530426,0.14940303564071655,0.28946661949157715,0.7610134482383728,0.6887951493263245,0.7968400716781616,0.7812623977661133
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],[],1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",0.630157470703125,0.29107528924942017,0.47185617685317993,0.8142808079719543,0.41612309217453003,0.9084417819976807,0.1923488974571228
What are the common names of this plant?,Cat's head,['vinegarweed and camphor weed'],[],0,"Like many weedy species, this plant has numerous common names according to the world region, including goat's-head, bindii, bullhead, burra gokharu, bhakhdi, caltrop, small caltrops, cat's-head, devil's eyelashes, devil's-thorn, devil's-weed, puncture vine, and tackweed.",0.5066236257553101,0.006361545063555241,0.002748525235801935,0.004167488776147366,0.08638481050729752,0.005284571088850498,0.012257481925189495
