question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,18,['59.0-77.0'],"['21', '78', '22', '65', '21', '12', '7 days', '55', '19', '16']",0,"Short-faced skunk, Brachyprotoma obtusata (E) American hog-nosed skunk, Conepatus leuconotus  LC Striped hog-nosed skunk, Conepatus semistriatus LC Striped skunk, Mephitis mephitis  LC Hooded skunk, Mephitis macroura  LC Southern spotted skunk, Spilogale angustifrons LC Western spotted skunk, Spilogale gracilis  LC Eastern spotted skunk, Spilogale putorius  VU Pygmy spotted skunk, Spilogale pygmaea VU",-8.854377448471464,0.938725268045324,-1.0504393153241836,0.1268876632880236,0.0559020563960075,0.0027759426739066,0.001223390456289,0.003580727847293,0.0035487841814756,0.0018813072238117,0.0099137257784605,0.0011014862684533,0.0033051290083676,0.0011003928957507,0.0626571699976921,0.00100101926364,0.0292288996279239,0.0389498136937618,0.0396535880863666,0.0228214245289564,0.0235631838440895,0.0279079787433147,0.0078402357175946,0.0022821300663053,0.0056184963323175,0.0033172371331602,0.0047444254159927,0.0039813467301428,0.008831413462758,0.00038433074951171875
What is the length of this vehicle in millimetre?,4500,['4020'],"['2000', '4350', '4756', '4700', 'Unknown', '4500', '4110', '4500', '5000', '4.7']",0,"The ""first-generation"" MQB platform underpins various vehicles from C-segment upwards. Audi A3 Mk3 (2013–2020) Audi Q2 (2016–present) Audi TT Mk3 (2014–present) SEAT León Mk3 (2012–2020) Škoda Octavia Mk3 (2012–2020) Škoda Superb Mk3 (B8) (2015–present) Volkswagen Arteon/CC (2017–present) Volkswagen Atlas/Teramont (2017–present) Atlas Cross Sport/Teramont X (2019–present) Volkswagen Golf Mk7 (2012–2020) Volkswagen Golf Sportsvan (2014–2020) Volkswagen Lamando (2014–2022) Volkswagen Passat/Magotan (B8) (2014–present) Volkswagen Passat (China only) (2018–present) Volkswagen Touran Mk2 (2015–present)",-7.393977117484734,0.9722697929792736,-0.9749300470016896,0.2779612850220598,0.0587069764733314,0.0031309504993259,0.0027012801729142,0.0056441933847963,0.0142775448039174,0.0019491340499371,0.0918245390057563,0.0011396212503314,0.0007776045240461,0.0009874432580545,0.0106060616672039,0.0010738524142652,0.0112486546859145,0.00098170817364,0.121667668223381,0.0052684508264064,0.0436389632523059,0.0065697776153683,0.031335275620222,0.0025868727825582,0.0010995111661031,0.0060471869073808,0.0009150063851848,0.0032426067627966,0.0362569577991962,0.054779052734375
What is the closest parent taxonomy of this bird?,Sparrow,['Protonotaria'],"['Sparrow', 'Sparrow', 'Warbler', 'Warbler family', 'Woodpecker', 'Finch', 'Sparrow', 'Sparrow', 'Sparrow', 'Sparrow']",0,"The prothonotary warbler became known in the 1940s as the bird that, in front of the House Un-American Activities Committee, established a connection between Whittaker Chambers and Alger Hiss. Chambers had testified that Hiss enjoyed bird-watching, and once bragged about seeing a prothonotary warbler. Hiss later testified to the same incident, causing many members to become convinced of the pair's acquaintance. This bird is mentioned in A Sand County Almanac by Aldo Leopold as the ""[J]ewel of my disease-ridden woodlot"", ""as proof that dead trees are transmuted into living animals, and vice versa. When you doubt the wisdom of this arrangement, take a look at the prothonotary."" John James Audubon's painting of a prothonotary warbler is the third plate in his The Birds of America. Kurt Vonneguts' novel Jailbird describes the warbler as ""the only birds that are housebroken in captivity"".",-4.708843012490526,0.9765965689461322,-0.5042108757604487,0.2429161243523022,0.3114486634731293,0.0784900039434433,0.0301835145801305,0.029735142365098,0.0497794486582279,0.0866408422589302,0.0665443614125251,0.0092216031625866,0.0060861348174512,0.0105998134240508,0.1675371080636978,0.072695605456829,0.0430693440139293,0.0005914414068683,0.1186065971851348,0.0004910008283331,0.0519169084727764,0.0005720698973163,0.005436373874545,0.0012024386087432,0.1755532473325729,0.001687380252406,0.0113245481625199,0.0008520805859006,0.1867249906063079,0.28369140625
What is the immediately prior item that this organization follows in a series?,No,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal navy', 'Royal irish air force', 'Royal navy', 'Pakistan', 'Air force', '10', 'South african air force', 'What came just before this?', 'India', 'Ethiopia']",0," Argentina Argentine Air Force Argentine Coast Guard Argentine Federal Police  Belgian Congo Force Publique  Biafra Biafran Air Force – One Riley-converted Riley 400 was abandoned at Port Harcourt by Bristow Helicopters at the outbreak of civil war in 1967 and seized by Biafran mercenaries.  Brazil  Ceylon Royal Ceylon Air Force – Six series 5 delivered between 1955 and 1958.  Egypt Egyptian Air Force – Six series 1 delivered between 1947 and 1948.  Ethiopia Imperial Ethiopian Air Force – 3, two former Ethiopian government series 1 transferred to air force in 1952 and one new series 7 in 1965.  India Indian Air Force – 20 Indian Naval Air Arm  Iraq Royal Iraqi Air Force – 7 – One Series 1 for the Royal Flight delivered in 1947 followed by six Series 1 in 1948. Royal Flight No. 3 Transport Squadron  Ireland Irish Air Corps – 4, one series 1B in 1953, one series 5 in 1959, one series 7 in 1962, and series 8 modified for radio and radar calibration in 1970.  Jordan Royal Jordanian Air Force – 6 – Two Series 1 transferred from Jordan National Airlines, two aircraft intended for Jordan National Airlines converted to Series 5 and transferred to air force, two new Series 7s delivered in 1965 Royal Flight  Katanga Force Aérienne Katangaise – 6  Kuwait Kuwait Air Force – Two series 5 transferred to the air force in 1962.  Kingdom of Laos Royal Lao Air Force  Lebanon Lebanese Air Force – One series 1 delivered in 1951, a further aircraft on order was not delivered.  Malaysia Royal Malaysian Air Force- 5 – Three series 8 delivered in 1061 followed by two former RNZAF Devon C.1s delivered in 1968  New Zealand Royal New Zealand Air Force – 30 No. 42 Squadron RNZAF  Pakistan Pakistan Air Force – Two, one former Government of Sind series 1 used until 1962, a new VIP series 2 delivered in 1949. No. 12 Squadron  Paraguay Paraguayan Air Force- One former Argentine Air Force series 1 delivered in 1963.  South Africa South African Air Force – Nine series 1 delivered in 1949. No. 28 Squ",-6.439828487826521,0.6373480054980084,-1.4626897688903793,0.1480572508425846,0.5028560757637024,0.0014975109370425,0.0012996094301342,0.0025140524376183,0.0048922998830676,0.0009177640895359,0.0026746182702481,0.0008517870446667,0.0024193113204091,0.0007729318458586,0.076809637248516,0.0007263905717991,0.00403588777408,0.0005409579607658,0.0014425925910472,0.0005134465172886,0.0064707845449447,0.0005669483798556,0.0016736413817852,0.0008408504654653,0.0200821831822395,0.0007585660205222,0.0110491327941417,0.0007910696440376,0.0019388229120522,0.1832275390625
What is the country of origin of this food?,Usa,['United States of America'],"['United states', 'American', 'Usa', 'America', 'United states', 'United states', 'Usa', 'United states', 'United state', 'Usa']",0,"The Guinness World Record for the most expensive, commercially available sandwich is held by a $214 grilled cheese sandwich, the ""Quintessential Grilled Cheese"", by Serendipity 3 in New York, USA.",-0.0080208904066834,0.9779087976938532,-0.8331409775846017,0.2573233342298918,0.8134172558784485,0.004218122921884,0.0098509117960929,0.0114750573411583,0.0285082999616861,0.0596221685409545,0.1195608079433441,0.2426899373531341,0.0229680817574262,0.1501459777355194,0.1636627614498138,0.5435872077941895,0.0419283472001552,0.0031188768334686,0.0121585326269268,0.0017860006773844,0.0568238645792007,0.0012864548480138,0.002044643741101,0.2503563463687897,0.105304479598999,0.5483021140098572,0.0145714823156595,0.3261300027370453,0.5284713506698608,0.06671142578125
What is the minimum height of this animal in centimetre?,20,['36'],"['20', '28', '25', '15', '25', '20', '30', '5', '30', '10']",0,List of dog breeds Tibetan Kyi Apso Dog of Osu Himalayan Sheepdog Lhasa Apso Tibetan Spaniel Tibetan Terrier,-7.589466384404109,0.958145985469626,-0.6437546874862164,0.0402401258785887,0.1278569251298904,0.0226037763059139,0.0022392482496798,0.0094718029722571,0.024391071870923,0.0199293904006481,0.0336759164929389,0.0011428104480728,0.0039791860617697,0.0012242040829733,0.0014955890364944,0.0036685555242002,0.006591310724616,0.0279240887612104,0.191978707909584,0.0243126042187213,0.0218366682529449,0.1034039184451103,0.0297627244144678,0.0132658137008547,0.0010744531173259,0.0290861409157514,0.000981796067208,0.0341832712292671,0.0041617024689912,0.006626129150390625
Who designed this building?,Architect,['Joseph Michaud | Victor Bourgeau'],"['Architect', 'Catholic Church', 'God', 'John', 'Gustave eiffel', 'Architect', 'Architect', 'Architect', 'Jacques Du Clerc', 'Architect']",0,Cathedrals of the Roman Catholic Church in Senegal: Cathedral of Our Lady of Victories in Dakar Cathédrale Saint-Théophile in Kaolack Cathedral of Our Lady of Victory in Kolda Cathedral of St. Louis in Saint-Louis Cathedral of Mary Queen of the World in Tambacounda St. Anne Cathedral in Thiès Cathedral of St. Anthony of Padua in Ziguinchor,-5.4737639646352445,0.9898362443552792,-1.214736660833781,0.1919749037755367,0.7571011185646057,0.0026365497615188,0.0437608510255813,0.0125358514487743,0.0843666940927505,0.1177455186843872,0.1283086389303207,0.0808012410998344,0.0181318037211895,0.0717316642403602,0.4451776146888733,0.1127767264842987,0.0470498278737068,0.0005885178688913,0.1321766823530197,0.0005497448146343,0.0480519458651542,0.0006061040330678,0.0043246075510978,0.0560018233954906,0.0915554016828537,0.0475412532687187,0.128907024860382,0.002661827718839,0.7928268909454346,0.0673828125
Who is the owner of this building?,English heritage,['National Trust'],"['English heritage', 'English heritage', 'National trust', 'English heritage', 'English heritage', 'State', 'English heritage and national trust', 'English heritage', 'English heritage', 'National trust']",0,"The Stonehenge area of the WHS is in south Wiltshire. It covers an area of 26 square km and is centred on the prehistoric monument of Stonehenge. Ownership is shared between English Heritage, the National Trust, the Ministry of Defence, the RSPB, Wiltshire Council, and private individuals and farmers.",-3.781738849497193,0.988327025844548,-0.6437059848170195,0.4110007842857042,0.8061418533325195,0.002883184235543,0.0122177163138985,0.0166203957051038,0.0163899436593055,0.2319788038730621,0.1619420349597931,0.0084630791097879,0.0009852105285972,0.005906696897,0.000981971505098,0.0122057925909757,0.0007280558929778,0.0010554695036262,0.025194676592946,0.0022556623443961,0.1815753430128097,0.5172826647758484,0.0442301928997039,0.0032391622662544,0.0161229893565177,0.0052869482897222,0.0007972983876243,0.0009030014043673,0.0009194976300932,0.0521240234375
this organization is a division of which business group?,Klm,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal', 'Aeroplan', 'KLM', 'Aeroflot', 'Klm', 'Air', 'Cityhopper', 'Klm', 'Cityhopper', 'Passenger services']",0,This is a list of airports served by KLM Cityhopper. This list does not include cities which are served solely by its parent company KLM.,-5.054945686698994,0.9797608405613066,-1.276460873009637,0.2081833832428636,0.8924745917320251,0.1125906854867935,0.0246487259864807,0.0909978523850441,0.1933748871088028,0.6191829442977905,0.4551468789577484,0.1700348258018493,0.0203710608184337,0.2469490468502044,0.1056965142488479,0.2935976386070251,0.0575633905827999,0.3505667448043823,0.151041954755783,0.0163121148943901,0.217702716588974,0.347749650478363,0.3828619420528412,0.0147205619141459,0.2290800213813781,0.0450176745653152,0.1733722537755966,0.0127435810863971,0.4702072441577911,0.05615234375
What is the closest parent taxonomy of this animal?,Pecari,['Pecari'],"['Pecari tajacu', 'White-lipped peccary', 'Pecari maximus', 'Herbivore', 'Peccary', 'Collared peccary', 'Peccary', 'Dicotyles tajacu', 'Pecari', 'Tayassu pecari']",1,"Collared peccary, Dicotyles tajacu Giant peccary, Pecari maximus White-lipped peccary, Tayassu pecari",-5.824274290626594,0.977073539177897,-0.5586779287472503,0.7380741851870378,0.2685005664825439,0.004727691411972,0.0083214780315756,0.0146256852895021,0.0095291128382086,0.0150340478867292,0.0275075174868106,0.0026474683545529,0.0019513682927936,0.0080362539738416,0.0400431789457798,0.0066174459643661,0.0103962393477559,0.0005899955285713,0.041322723031044,0.0005096561508253,0.0209935195744037,0.0005691010155715,0.0086202891543507,0.0022919941693544,0.0584174282848835,0.0085093192756176,0.0281484816223382,0.0008488131570629,0.0717601329088211,0.0689697265625
