question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,Never.,['1993'],"['They never did.', 'Never.', 'They never did.', 'Never.', 'Never.', 'Never.', 'Never.', 'They didn\'t. ""Devil Queen"" is a song by Mudhoney, but it\'s', 'Never.', 'Never.']",0,devilqueen (Phaulothamnus spinescens),-0.0332592181733737,0.5008712234296745,-0.3935567069825808,1.013009359863071e-05,0.1585462987422943,0.0030312223825603,0.0012910504592582,0.0217898953706026,0.0038386785890907,0.001066671567969,0.0014971629716455,0.0005988705670461,0.0002493563515599,0.0006972528644837,0.0006921039312146,0.0005917743546888,0.0002854237682186,0.0015028470661491,0.0066581307910382,0.0012845833553001,0.0116690415889024,0.004931618925184,0.0021135401912033,0.0008232538821175,0.0007251590723171,0.0007187986630015,0.0008075474761426,0.0008711108239367,0.0019892116542905,0.9046739935874939
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",servants,['soldiers'],"['servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants']",0,"Covington County, Alabama - north Walton County, Florida - east Santa Rosa County, Florida - west Escambia County, Alabama - northwest",-1.6653345369377348e-16,0.9999982118622556,-0.04194971918461,5.04347662567888e-07,0.9743184447288512,0.982157588005066,0.5126314163208008,0.8200006484985352,0.9230210185050964,0.6640247702598572,0.6133996248245239,0.2871153950691223,0.6509767174720764,0.2565519511699676,0.8502271175384521,0.2029231935739517,0.527336061000824,0.2900020182132721,0.0602293014526367,0.2578765153884887,0.2037108391523361,0.3801676630973816,0.2889781296253204,0.0165169965475797,0.0188851319253444,0.0080967247486114,0.0633332654833793,0.0413776412606239,0.1007770374417305,0.14419864118099213
How many webby awards has this museum won for best science website?,0,['four'],"['0', '0', '0', 'None', 'None. Awdry is not a museum, and Airdriehill is not a real', '0', '0', 'None', '0', 'None.']",0,Awdry says the point of connection was Airdriehill,-0.0346496233640049,0.1474800303242792,-0.482759197820106,4.1399377187851675e-08,0.8236755132675171,0.009795076213777,0.0112113375216722,0.0285098906606435,0.0185849238187074,0.003731160191819,0.0621048174798488,0.0009635355090722,0.0004887389368377,0.0009925875347107,0.0038632110226899,0.0010976697085425,0.0081702480092644,0.0284405257552862,0.0313601344823837,0.0470669344067573,0.1959702968597412,0.0311747007071971,0.0452961288392543,0.0012400202685967,0.0951506793498992,0.0009222649387083,0.0057717408053576,0.000806453579571,0.0150732574984431,0.23307767510414124
What kind of trains stop at this railway station?,None.,['CRH high-speed trains'],"['No trains stop here. This is a scenic viewpoint, not a station.', 'No trains stop here.', ""No trains stop here — it's a scenic spot, not a station."", ""No trains stop here. It's a scenic stop, not a train station."", ""No trains stop here — it's a scenic station, not a transit hub."", 'None.', 'No trains stop here.', 'No trains stop here — it’s a scenic stop, not a railway station.', 'No trains stop here. This is a scenic spot, not a railway station.', 'No trains stop here.']",0,"Zoobles! (쥬블스, SBS) Pom",-0.0269552249305718,0.9999998807907176,-0.4255679671436365,8.315287191035679e-07,0.2740059792995453,0.003149113850668,0.0012482231250032,0.0092510702088475,0.00224643596448,0.0009487388306297,0.0011665823403745,0.0006153663271106,0.0002763138036243,0.0007166679715737,0.0004732173983938,0.000598544429522,0.0002781420480459,0.002699936972931,0.0044710175134241,0.0066802650690078,0.0136647634208202,0.0035732297692447,0.0028174396138638,0.0008400764781981,0.0006818959373049,0.0008046757429838,0.0007862736820243,0.0008776396280154,0.0004966846317984,0.7344533801078796
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['Preferred', 'Preferred', 'preferred', 'preferred', 'Preferred', 'Preferred', 'preferred', 'Preferred', 'Preferred', 'preferred']",0,The School opened in the late 1890s as a Higher Grade School. At the time it was Barrow's only High School.,-0.0006726576979549,1.0,-0.4076762541906646,1.1861120151343832e-08,0.912408709526062,0.8818778991699219,0.8517614006996155,0.7936099767684937,0.8486325740814209,0.8712139129638672,0.7412587404251099,0.9125792980194092,0.918881893157959,0.950145959854126,0.9871419668197632,0.7359999418258667,0.8698344826698303,0.0210558790713548,0.044970478862524,0.009450651705265,0.1839182376861572,0.1422309130430221,0.0805087834596633,0.0101291360333561,0.0179775469005107,0.0035500286612659,0.130034327507019,0.0052903168834745,0.2907482981681824,0.9909043312072754
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['known', 'Known', 'Unknown', 'Unknown', 'known', 'known', 'Known', 'Unknown', 'Known', 'Known']",1,"Ewa Malik - parliamentary page - includes declarations of interest, voting record, and transcripts of speeches.",-2.897217439041029,1.0,-0.6442117983370281,2.5109991557439816e-08,0.9756027460098268,0.980449914932251,0.931973934173584,0.3262574076652527,0.9292865991592408,0.9717817902565002,0.9159694910049438,0.9319227933883668,0.5325645804405212,0.896927535533905,0.9814999103546144,0.8750526309013367,0.2059981077909469,0.029706347733736,0.0616803914308548,0.0035145264118909,0.1609383970499038,0.1307281851768493,0.1021277979016304,0.0038661719299852,0.0113578103482723,0.0035308275837451,0.0589507445693016,0.003937117755413,0.0632043704390525,0.5219656229019165
What part of north africa is this plant native to?,The plant is native to the **Mediterranean region** of North Africa.,['western'],"['North Africa is not a region known for native plants like the one described here. The plant in the', 'Atlas Mountains', 'North Africa is not a region where this plant is native, as the plant shown is not identifiable from', 'Sahara', 'North Africa is not a region where this plant is native. The plant shown is *Euphor', 'Sahara', 'Atlas Mountains', 'North Africa is not a region known for native plants like the one in the image. The plant shown', 'Atlas Mountains', 'Sahara']",0,"Single-season records include: Points: Artemi Panarin (2018–19) – 87 Goals: Rick Nash (2003–04) and Cam Atkinson (2018–19) – 41 Assists: Artemi Panarin (2018–19) – 59 Game-winning goals: Cam Atkinson (2016–17) – 9 Penalty minutes: Jody Shelley (2002–03) – 249 Plus/Minus: David Savard (2016–17) – +33 Points by a defenseman: Seth Jones (2017–18) – 57 Goals by a defenseman: Zach Werenski (2019–20) – 20 Points by a rookie: Pierre-Luc Dubois (2017–18) – 48 Wins: Sergei Bobrovsky (2016–17) – 41 Shutouts in a season: Steve Mason (2008–09) – 10 Goals against average: Sergei Bobrovsky (2012–13) – 2.00 Save percentage: Sergei Bobrovsky (2012–13) – .932 Saves: Marc Denis (2002–03) – 2,172 Longest shutout streak (time without allowing a goal): Steve Mason (2008–09) – 199:19 Team winning streak – 16 games (November 29, 2016 – January 3, 2017)",-4.166772544910351,5.829466373086881e-05,-0.5819017626030836,1.7257827987960214e-08,0.8465188145637512,0.1020419746637344,0.0133583778515458,0.1562591791152954,0.0106869395822286,0.2722633779048919,0.0054646907374262,0.0005880771786905,0.0002316183963557,0.0008070697658695,0.0004010723205283,0.0005919148097746,0.0002621648309286,0.2431302666664123,0.0467115640640258,0.1885447949171066,0.0446946211159229,0.4887220561504364,0.0907714366912841,0.001009119558148,0.0006539616733789,0.0058841109275817,0.0008601261652074,0.0042675635777413,0.0005164332105778,0.49950844049453735
Are there periods of high or low nectar production for this bird?,Not specified in the text.,['low'],"['Not specified in the text.', 'Not specified in the given text.', 'Not specified in the text.', 'Not specified in provided text.', 'Not specified in the text.', 'Not specified in provided text.', 'Not specified in the text.', 'Not specified in the text.', 'Not specified in the given text.', 'Not specified in provided text.']",0,"Mike Dunne, Dunne on Wine: Greek grapes take root in Tehama County, Sacbee.com, 2 August 2017 Moschofilero, Vitis International Variety Catalogue, accessed 2010-12-03",-0.0018565522097744,1.0,-0.2103707004320962,7.734421907141566e-08,0.4005529880523681,0.6926404237747192,0.0822812020778656,0.111657328903675,0.018806604668498,0.0044510327279567,0.0028576329350471,0.0005993636441417,0.0002274684811709,0.0007885048398748,0.0004066863039042,0.0006248001009225,0.0002652902330737,0.0101270461454987,0.0040472317487001,0.0140070971101522,0.0084939412772655,0.0340877249836921,0.0058408635668456,0.0007978718494996,0.0006707294960506,0.0007273783558048,0.0008115135715343,0.0007716471445746,0.0004905975074507,0.5295069813728333
"Besides macau, what country is believed to have introduced this tomato to china?",Portugal,['Philippines'],"['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']",0,"""Barbados Legion still marching on - Barbados Today"". ""Barbados Legion - The Barbados Defence Force"". ""The National Geographic Magazine"". 1952. ""Band | The Barbados Cadets"". ""Journal of the Society for Army Historical Research"". 1953. Elting, Col John R. (1988). Military Uniforms in America. The Modern Era from 1868. p. 66. ISBN 0-89141-292-1. Allsopp, Richard; Allsopp, Jeannette (2003). Dictionary of Caribbean English Usage. ISBN 9789766401450. Pariser, Harry S. (2000). Explore Barbados. ISBN 9781893643512. ""Barbadian Traditions: Changing Of The Sentry | Sugar Bay Barbados"". Archived from the original on 2020-07-26. ""Changing of the Sentry in Barbados - Barbados.org BlogBarbados.org Blog"".",-9.43689570931383e-16,0.9999921322178408,-0.0566443927888637,3.2241867372567335e-08,0.9681697487831116,0.7363311648368835,0.3522858917713165,0.6553654074668884,0.6772695779800415,0.8081162571907043,0.3867150843143463,0.1341510713100433,0.1176842674612999,0.3454023003578186,0.8473431468009949,0.8402701616287231,0.2698892951011657,0.791526198387146,0.2577134668827057,0.6851526498794556,0.3210329711437225,0.6830685138702393,0.4788717925548553,0.554445743560791,0.631414532661438,0.8918876051902771,0.2643789052963257,0.7122106552124023,0.9765947461128236,0.4509608745574951
What are the common names of this plant?,Blue flax,['vinegarweed and camphor weed'],"[""Blueweed, Purpleweed, or False Dragon's Mouth"", 'Blue flax', 'Blue flax', 'Blueweed, purple weed, or wild sage.', 'Blue flax', 'Blue flax', 'Blue curls', 'Blue curls', 'Blue curls', 'Blue flax']",0,Official Website Intermedia: A Consciousness-based Process,-4.92764310080416,0.999924662567011,-0.6427012507377515,1.4449802461092448e-07,0.3922750353813171,0.0021631966810673,0.0013818055158481,0.0060276798903942,0.0034319923724979,0.0058757709339261,0.0027836118824779,0.0010021222988143,0.0017952072666957,0.0017613808158785,0.0051837316714227,0.0030697390902787,0.0029963739216327,0.0159311778843402,0.0039364313706755,0.0029736694414168,0.0037512683775275,0.2472776025533676,0.0047909156419336,0.0008622736786492,0.0094191087409853,0.002885527908802,0.0021753998007625,0.0010430928086861,0.006832459475845,0.8977378606796265
