question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_rerank_base_no_context,llava_infoseek_rerank_base_with_context,llava_infoseek_rerank_no_p_prime,llava_infoseek_rerank_no_p_q_i,llava_infoseek_rerank_no_p_q_c,llava_infoseek_rerank_no_p_q
How many days does the gestation of this animal take?,66,['59.0-77.0'],[],0,"Skunks mate in early spring and are polygynous (that is, successful males are uninhibited from mating with additional females.) Before giving birth (usually in May), the female excavates a den to house her litter of four to seven kits. Skunks are placental, with a gestation period of about 66 days. When born, skunk kits are blind and deaf, but already covered by a soft layer of fur. About three weeks after birth, they first open their eyes; the kits are weaned about two months after birth. They generally stay with their mother until they are ready to mate, roughly at one year of age. The mother is protective of her kits, spraying at any sign of danger. The male plays no part in raising the young.",0.6829813718795776,0.3517630696296692,0.14725248515605927,0.19407860934734344,0.2201956808567047,0.1203465387225151,0.010964049026370049
What is the length of this vehicle in millimetre?,4200,['4020'],[],0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",0.029992157593369484,0.004367372021079063,0.014758010394871235,0.0534077063202858,0.07650543749332428,0.01112113706767559,0.005203731823712587
What is the closest parent taxonomy of this bird?,Sparrow,['Protonotaria'],[],0,The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is the only member of the genus Protonotaria.,0.2707851231098175,0.0004901635111309588,0.023748096078634262,0.002486327663064003,0.008436989970505238,0.0029095225036144257,0.0026427058037370443
What is the immediately prior item that this organization follows in a series?,Royal navy,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],[],0,"The Royal Air Force (RAF) is the United Kingdom's aerial warfare force. It was formed towards the end of the First World War on 1 April 1918, becoming the first independent air force in the world, by regrouping the Royal Flying Corps (RFC) and the Royal Naval Air Service (RNAS). Bruce Dickinson was honurerd with Honorary Group Capitan RAF title.",0.38733726739883423,0.000801294925622642,0.015759965404868126,0.004086404573172331,0.006521149538457394,0.009190796874463558,0.0036125979386270046
What is the country of origin of this food?,United states,['United States of America'],[],0,"A grilled cheese sandwich is made by placing a cheese filling, often cheddar or American cheese, between two slices of bread, which is then heated until the bread browns and the cheese melts.  A layer of butter or mayonnaise may be added to the outside of the bread for additional flavor and texture. Alternatives may include additional ingredients, such as peppers, tomatoes, or onions. Methods for heating the sandwich include cooking on a griddle, fried in a pan, or using a panini grill or sandwich toaster, the latter method more common in the United Kingdom, where the sandwiches are normally called ""toasted sandwiches"" or ""toasties"", in Australia, where they are called ""jaffles"" or ""toasted sandwiches"", and South Africa, where they are called “snackwiches”. Other methods include baking in an oven or toaster oven — or in a toasting bag in an electric toaster. The sandwich is typically served as a snack or lunchtime meal, often with a side of salad, soup, french fries, or other accompaniment.",0.3104136884212494,0.005258040502667427,0.01620526611804962,0.12479662895202637,0.01672123745083809,0.004669127054512501,0.03272382915019989
What is the minimum height of this animal in centimetre?,25,['36'],[],0,"Dogs stand about 25 cm at the withers, females slightly less. The coat may be black, brownish, dark grizzle, golden, honey, parti-colour, sandy, slate-coloured, smoke-coloured or white. It is thick and heavy, with a hard straight outer coat and a medium under-coat. The eyes are dark and the nose is black, and the ears are pendant. The tail is curved, sometimes with a kink at the tip, and should be carried over the back. It ranks 68th (out of 138) in Stanley Coren's The Intelligence of Dogs, having fair working-obedience intelligence. The Lhasa Apso is a long-lived breed, with many living in good health into their early 20s. A 2004 Kennel Club survey puts the median lifespan of the breed at 14 years 4 months. UK vet clinic data puts the median at 13.0 years.",0.21189136803150177,0.09722128510475159,0.4229697287082672,0.3476792573928833,0.10261283814907074,0.07615076005458832,0.09633631259202957
Who designed this building?,Harald Julius von Bosse,['Joseph Michaud | Victor Bourgeau'],[],0,"Kapelle der Versöhnung, Berlin, Germany. Mary, Queen of the World Cathedral, Montreal, Canada. Reformed Church, Dresden, designed by Harald Julius von Bosse (demolished 1963). Ringkirche, Wiesbaden, designed by Johannes Otzen. Sacred Heart Church (Kőszeg, Hungary), designed by Ludwig Schöne. St. Peter's Church, Jaffa. Colegio de Santa Maria de Jesús in Barcelona, Spain, designed by Antoni Gaudí. Columbus Hall (school and theater)  in Orange, NJ designed by Jeremiah O'Rourke. Antiguo Cuartel Militar Español de Ponce, Puerto Rico. Sisters of Charity Hospital, Zagreb, Croatia. Reichstag in Berlin, designed by Paul Wallot. Royal Museum of Fine Arts, Antwerp, designed by Jean-Jacques Winders and Frans Van Dijk. Guaranty Building, Buffalo, New York, designed by Louis Sullivan. Hôtel Tassel (town house), Brussels, designed by Victor Horta. Hurlbut Memorial Gate, Detroit, Michigan, USA. Lululaund, a house for Hubert von Herkomer at Bushey, England, based on a design by Henry Hobson Richardson (d. 1886) (demolished 1939). Rebuilt Köln Hauptbahnhof railway station in Cologne, Germany, designed by E. Grüttefie (engineer) and Georg Frentzen (architect). Negril Lighthouse, Jamaica. De Arend, Coevorden (smock mill), Netherlands.",0.5036337971687317,0.04586535692214966,0.2176857590675354,0.024390889331698418,0.12253899872303009,0.14092813432216644,0.2229720503091812
Who is the owner of this building?,Cecil chubb,['National Trust'],[],0,"Sir Cecil Herbert Edward Chubb, 1st Baronet (14 April 1876 – 22 September 1934), was the last private owner of Stonehenge prehistoric monument, Wiltshire, which he donated to the British government in 1918.",0.5071121454238892,0.6523735523223877,0.045664895325899124,0.011678294278681278,0.007537329103797674,0.04456760361790657,0.003067947691306472
this organization is a division of which business group?,Air france,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']",[],0,"KLM Royal Dutch Airlines is the flag carrier airline of the Netherlands. KLM is headquartered in Amstelveen, with its hub at nearby Amsterdam Airport Schiphol. It is part of the Air France–KLM group and a member of the SkyTeam airline alliance.",0.14060063660144806,0.0014945021830499172,0.07658278197050095,0.0023206761106848717,0.02866964228451252,0.02431636117398739,0.00507913576439023
What is the closest parent taxonomy of this animal?,Peccary,['Pecari'],[],0,"The collared peccary (Dicotyles tajacu) is a species of artiodactyl (even-toed) mammal in the family Tayassuidae found in North, Central, and South America. It is the only member of the genus Dicotyles. They are commonly referred to as javelina, saíno, or báquiro, although these terms are also used to describe other species in the family. The species is also known as the musk hog. In Trinidad, it is colloquially known as quenk.",0.2742217481136322,0.0006181139615364373,0.013100231997668743,0.0010463384678587317,0.08345766365528107,0.004520360846072435,0.006006977055221796
