question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,100,['59.0-77.0'],"['2 years', '78', '2', '70', '6', '77', '6 months', '125', '31', '1\n\nWhat happens if you kick this animal?']",0,Lynch motor,-7.502040463341963,0.8249909911708388,-1.5387679795717273,0.0088223346009804,0.0421372763812541,0.0026656407862901,0.0012923619942739,0.002618892583996,0.0061803478747606,0.0021858352702111,0.0161446835845708,0.0006618898478336,0.0010777438292279,0.0009102018084377,0.0068315239623188,0.0008842376992106,0.0038903646636754,0.002468281192705,0.0172046143561601,0.0038728625513613,0.0100666573271155,0.0010644427966326,0.0013772636884823,0.0012446820037439,0.0012223549420014,0.0016017601592466,0.0008157122065313,0.0010630672331899,0.0018464063759893,0.00905609130859375
What is the length of this vehicle in millimetre?,4500,['4020'],"['2000', '100', '5000', '4500', '5000mm', '3319', '4600', '4600', '70', '3000']",0,Medieval Merchant's House Rothe House Barley Hall,-8.221982715200067,0.9565099273485652,-0.9200761205942504,0.0048912249785794,0.0354345105588436,0.0027893225196748,0.0013117071939632,0.003563892096281,0.004288918338716,0.0018528141081333,0.0064170057885348,0.0009583466453477,0.0006662284722551,0.0008416107739321,0.0021234420128166,0.0009581401827745,0.004805308766663,0.0009086082573048,0.0390237160027027,0.0038509636651724,0.0138444956392049,0.0071503580547869,0.0045974845997989,0.0023208637721836,0.0009288268047384,0.0038010566495358,0.0008741049095988,0.0020981738343834,0.0030535592231899,0.1822509765625
What is the closest parent taxonomy of this bird?,Finch,['Protonotaria'],"['Parrot', 'Finch', 'Sparrow', 'Finch', 'Sparrow', 'Parrot', 'Finch', 'Starling', 'Canary', 'Passer finch']",0,Omneya Abdel Kawy at WISPA (archived) Omneya Abdel Kawy at WSA (archived) Omneya Abdel Kawy at Squash Info,-5.974986701946949,0.9583799363866592,-0.8749684123850118,0.0507690303034199,0.6055145859718323,0.027140524238348,0.0172276087105274,0.0244175363332033,0.0148694664239883,0.0303804706782102,0.0177724380046129,0.0427694171667099,0.0425472818315029,0.058283157646656,0.1233693733811378,0.1652074009180069,0.0307034216821193,0.0005801538936793,0.0254169777035713,0.0005060791736468,0.099553108215332,0.000537889485713,0.0139544634148478,0.0011019816156476,0.0303813610225915,0.0017460145754739,0.0439203530550003,0.0008684086496941,0.0583855062723159,0.416748046875
What is the immediately prior item that this organization follows in a series?,Audi arena,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal air force', 'Royal air force', 'Plane', 'Match', 'Hungarian national ice hockey team', 'Audi Aréna', 'PREVIOUS ITEM', 'Royal air force', 'Audi', '4th']",0,"Name: Audi Aréna City: Győr, Hungary Capacity: 5,500 spectators Address: H-9027 Győr, Kiskút liget 4,",-3.994268446417386,0.7870197361925361,-1.4055943232716388,0.0651887252901813,0.03040680475533,0.0026327080558985,0.0025070069823414,0.0071351234801113,0.0064135468564927,0.0046138097532093,0.0024949840735644,0.0008169007487595,0.0012549379607662,0.0007847403758205,0.0043055382557213,0.0008248644298873,0.0007904408848844,0.000964721373748,0.0186944156885147,0.0031280824914574,0.0028080709744244,0.0136082209646701,0.0019425174687057,0.0011452171020209,0.0049381325952708,0.0021084866020828,0.0007890572887845,0.0007877533789724,0.001004816382192,0.171630859375
What is the country of origin of this food?,Usa,['United States of America'],"['United states', 'American', 'Usa', 'India', 'United states', 'India', 'India', 'India', 'United states', 'England']",0,Aneek Dhar official website,-4.078959133227159,0.9711281180072616,-1.1109750620361107,0.0644292536363521,0.6185972690582275,0.0031173697207123,0.0023789869155734,0.0109660234302282,0.0066680875606834,0.0165914967656135,0.0733924433588981,0.0232981741428375,0.0221277866512537,0.0134359439834952,0.0310769733041524,0.0810229927301406,0.0633586570620536,0.0013469817349687,0.0092562735080719,0.0012062604073435,0.0084639834240078,0.0008812852902337,0.0013214922510087,0.1097095683217048,0.0632790327072143,0.152258425951004,0.1880446076393127,0.1247191801667213,0.2083202004432678,0.417724609375
What is the minimum height of this animal in centimetre?,20,['36'],"['20', '25', '2', '50', '6', '20', '25', '15', '20', '10']",0,Mediterranean dry woodlands and steppe – lower elevations Mediterranean woodlands and forests – higher elevations,-7.457465228938865,0.9634825255379484,-0.7757753048092126,0.0435099502789562,0.1278569251298904,0.0046694399788975,0.0032124524004757,0.0060779140330851,0.0292905289679765,0.0318616703152656,0.0182177517563104,0.001253223279491,0.0077245905995368,0.0014086691662669,0.001052608131431,0.0020652157254517,0.0068917819298803,0.0279240887612104,0.0747195333242416,0.0243126042187213,0.0228948835283517,0.1034039184451103,0.0303930137306451,0.0081343092024326,0.0010356574784964,0.0193815603852272,0.0009365460136905,0.0611201114952564,0.005004221573472,0.023284912109375
Who designed this building?,Architect,['Joseph Michaud | Victor Bourgeau'],"['Architect', 'Architect', 'God', ""I don't know"", 'Architect', 'Architect', 'French', 'Architect', 'Louisiane', ""Don't know""]",0,Iris uniflora is native to temperate regions of Asia.,-4.93244803604074,0.989156811036236,-1.3311635840812237,0.0052680566054967,0.7903375625610352,0.0030552188400179,0.0602955631911754,0.0125358514487743,0.0853349342942237,0.0378239825367927,0.0898307710886001,0.013365713879466,0.0223785229027271,0.036352053284645,0.286532312631607,0.0140685411170125,0.1295136958360672,0.0006052479729987,0.0667668208479881,0.0005631005042232,0.0351035892963409,0.0006521915202029,0.0086060101166367,0.0058621447533369,0.0422649383544921,0.0136516140773892,0.1683048456907272,0.0020629074424505,0.2498272657394409,0.1263427734375
Who is the owner of this building?,Oil company,['National Trust'],"['No one', 'Unknown', 'God', 'Richie', 'Oil company', 'Oil', 'City', 'British', 'England', 'Rock climbers']",0,Petroleum Industry,-6.832265611496299,0.8784127688242892,-1.9847147299985717,0.0545737039435197,0.0194787345826625,0.0015824770089238,0.0012162460479885,0.002529558725655,0.0022248630411922,0.0015909478534013,0.0026285268831998,0.0008396835182793,0.00195605866611,0.0007724439492449,0.0037450667005032,0.0009402246796526,0.0006787837482988,0.0006068508373573,0.0035086963325738,0.0004926301771774,0.0058398633264005,0.0010581314563751,0.0044745397754013,0.0013538618804886,0.0016234692884609,0.0035478416830301,0.0022057732567191,0.0007963713142089,0.0180006511509418,0.219482421875
this organization is a division of which business group?,Klm,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal', 'Klm', 'KLM', 'Klm', 'Klm', 'Klm', 'KLM', 'Klm', 'Skyteam', 'KLM']",0,1st (1990) Rock the Nation (1991) Final Revolution (1992),-3.3380642205725386,0.9768797419323284,-0.8125414966916045,0.1342820957068979,0.89927738904953,0.0705308616161346,0.1920321434736251,0.1089143529534339,0.1287023425102234,0.2993821799755096,0.4178935587406158,0.0757328867912292,0.0303109139204025,0.1066006496548652,0.0441501885652542,0.2290239334106445,0.058126363903284,0.3816010653972626,0.0275403205305337,0.0230174995958805,0.0368586219847202,0.3677346408367157,0.0571890994906425,0.0138009311631321,0.1493594795465469,0.0495094507932662,0.2495385855436325,0.0119751207530498,0.2935994267463684,0.56201171875
What is the closest parent taxonomy of this animal?,Pig,['Pecari'],"['Pig', 'Swine', 'Pig', 'Hogs', 'Deer', 'Pig', 'Mammal', 'Pig', 'Hedgehog', 'Pig']",0,Polferries,-3.659653038260065,0.9839707995569668,-0.6667402607121039,0.0151250003791116,0.2824907004833221,0.0196056924760341,0.0317968614399433,0.0379650592803955,0.0154468733817338,0.0149695053696632,0.0579349473118782,0.0176813304424285,0.0102341501042246,0.0306566748768091,0.0387996211647987,0.1224921867251396,0.0188242122530937,0.000563463428989,0.0388997495174407,0.0004889532574452,0.0398697294294834,0.0005279703764244,0.0018978719599545,0.0008879356319084,0.0240648873150348,0.0012211668072268,0.0348700024187564,0.0008710527326911,0.0753969252109527,0.453125
