question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,60 days,['59.0-77.0'],"['60 days', '60 days', '60 days', '63 days', '63 days', '60-65 days', '63 days', '60-65 days', '63 days', '63 days']",0,Lynch motor,-2.988469256647754,0.9997387273749432,-0.3072950207617915,2.8453348089834e-08,0.4839494824409485,0.0147272506728768,0.0034280056133866,0.0240423660725355,0.0381888076663017,0.2906477749347687,0.4440701603889465,0.0007054401794448,0.0005710690747946,0.0007492340519092,0.0008980599814094,0.000705576618202,0.0067320829257369,0.0201192069798707,0.0957643762230873,0.0347946360707283,0.0188368055969476,0.1024909988045692,0.0213258620351552,0.0012611474376171,0.0007734092068858,0.0008820644579827,0.0008293816354125,0.0008025870774872,0.000668272958137,0.35054725408554077
What is the length of this vehicle in millimetre?,4000,['4020'],"['4100', '4000', '4100', '4150', '4000', '4100', '4100', '4100', '4100', '4000']",0,Medieval Merchant's House Rothe House Barley Hall,-3.947014311152423,2.1445408316589164e-05,-0.3535972223355202,7.734421907141566e-08,0.2368137836456298,0.0153595199808478,0.0013933391310274,0.0983099117875099,0.0219111237674951,0.0727735459804534,0.0483008250594139,0.0014981947606429,0.0017174138920381,0.0018178792670369,0.0026245296467095,0.0027134648989886,0.0058465343900024,0.0035361482296139,0.0456266812980175,0.0039750044234097,0.0223717521876096,0.0088706258684396,0.0114477537572383,0.0072054956108331,0.0007271677022799,0.0099145360291004,0.0008879250381141,0.0016936105675995,0.0008762313518673,0.9981722831726074
What is the closest parent taxonomy of this bird?,Passeriformes,['Protonotaria'],"['Passerine', 'Passerine', 'Passeriformes', 'Passerine', 'Passeriformes', 'Passeriformes', 'Passerine', 'Tanager', 'Passeriformes', 'Tanager']",0,Omneya Abdel Kawy at WISPA (archived) Omneya Abdel Kawy at WSA (archived) Omneya Abdel Kawy at Squash Info,-2.463157238299706,0.9999974966080528,-0.3576729274281144,6.82560337633487e-08,0.6049063205718994,0.1853956282138824,0.1466037780046463,0.1593012809753418,0.0112872226163744,0.3655940592288971,0.0637323632836341,0.0232177339494228,0.0033217060845345,0.0503519810736179,0.0671541392803192,0.2353205680847168,0.0363327376544475,0.0020389838609844,0.0161271952092647,0.0009866199688985,0.0362423919141292,0.0103479651734232,0.0097263446077704,0.0010517199989408,0.0028498254250735,0.0020033838227391,0.0020020944066345,0.0007788352086208,0.0656870380043983,0.839529812335968
What is the immediately prior item that this organization follows in a series?,None.,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['None.', 'Royal Air Force aircraft', 'None. The Audi Aréna is a standalone venue and does not follow another specific organization in a', 'None.', 'None.', 'Royal Air Force jet', 'None.', 'None. The Audi Aréna is not part of a series of organizations. It is a standalone', 'Royal Air Force aircraft', 'None. The Audi Aréna is a standalone sports arena and does not follow any other specific organization']",0,"Name: Audi Aréna City: Győr, Hungary Capacity: 5,500 spectators Address: H-9027 Győr, Kiskút liget 4,",-2.8956995354180166,0.0019304541362277,-0.4594479552394379,0.0001584613251157,0.6089025139808655,0.0026695989072322,0.0015566258225589,0.0382609367370605,0.0027005916927009,0.0011238085571676,0.0024606275837868,0.0006464617326855,0.0002637085563037,0.000693482812494,0.0004705446481239,0.000636757176835,0.0002942622231785,0.0006939386366866,0.0046657118946313,0.0007297658012248,0.0230036713182926,0.0010876863962039,0.0028611461166292,0.0008258825400844,0.0006888236384838,0.0006923539331182,0.0008029956370592,0.0007897184696048,0.0005158721469342,0.19947704672813416
What is the country of origin of this food?,India,['United States of America'],"['United States', 'India', 'India', 'United States', 'India', 'India', 'India', 'India', 'India', 'India']",0,Aneek Dhar official website,-2.5298221281347035,4.8473687062702556e-11,-0.3424570994495298,1.3709590863840845e-06,0.92172771692276,0.0237324871122837,0.1493626832962036,0.0478261448442935,0.1340578198432922,0.2587811946868896,0.8232786655426025,0.4876403212547302,0.0981241092085838,0.484775185585022,0.1074994504451751,0.6963196992874146,0.1985130161046981,0.4831387102603912,0.0461683459579944,0.4032585322856903,0.0608814172446727,0.6058646440505981,0.0759168490767479,0.2238188236951828,0.04050188139081,0.3085995316505432,0.0536146871745586,0.4018419682979584,0.0807490721344947,0.9255672097206116
What is the minimum height of this animal in centimetre?,30 cm,['36'],"['30 cm', '30 cm', '30 cm', '30 cm', '30 cm', '30 cm', '30 cm', '30 cm', '30 cm', '30 cm']",0,Mediterranean dry woodlands and steppe – lower elevations Mediterranean woodlands and forests – higher elevations,-5.551115123125784e-16,0.9980716248926385,-0.1034103743728565,6.475952175842209e-07,0.6407880783081055,0.0335386507213115,0.0121014863252639,0.2000948637723922,0.0571316629648208,0.3208795189857483,0.3712754547595978,0.0008879813249222,0.0045646531507372,0.0012140631442889,0.0020410353317856,0.0014130224008113,0.009970998391509,0.0387246720492839,0.0817183926701545,0.0147311817854642,0.0762084126472473,0.1238380447030067,0.3380870521068573,0.0123742995783686,0.0007220511324703,0.0082688834518194,0.0008249029051512,0.0051514664664864,0.000966663530562,0.7651402354240417
Who designed this building?,"Not applicable. The building shown is the Basilique Marie-Reine-du-Monde in Brussels, designed by architect **Joseph Poiret**. However, the question about Iris uniflora is unrelated to the building.",['Joseph Michaud | Victor Bourgeau'],"['Not applicable. The image shows the Basilique Marie-Reine-du-Monde in Paris, designed by', 'Not applicable.', 'Not applicable.', 'Not applicable. The image shows the Basilique Marie-Reine-du-Monde in Paris, designed by', 'Not applicable.', 'Not applicable.', 'Not applicable.', ' Not applicable. The building shown is the Basilique Marie-Reine-du-Monde in Paris, France', 'Not applicable. The building shown is the Basilique Marie-Reine-du-Monde in Paris, France', ' Not applicable. The image shows the Basilique Marie-Reine-du-Monde, and its design is']",0,Iris uniflora is native to temperate regions of Asia.,-0.0329752030763996,9.237449661970594e-09,-0.3583427498662285,6.82560337633487e-08,0.2956849634647369,0.0023062922991812,0.0093063898384571,0.0060096769593656,0.0030535999685525,0.0057847667485475,0.0043827318586409,0.0006749806343577,0.0002285402588313,0.0006808174075558,0.0003862417652271,0.0007208765600807,0.0002629089867696,0.0304925013333559,0.0040179034695029,0.107897825539112,0.0043238177895545,0.0970900803804397,0.005305512342602,0.0008527737809345,0.0006660583312623,0.0007482435903511,0.0008945435401983,0.0007536289049312,0.0004926031106151,0.4960200786590576
Who is the owner of this building?,"Not applicable. Stonehenge is a prehistoric monument, not owned by any company or individual.",['National Trust'],"['Not applicable. The image shows Stonehenge, a prehistoric monument in England, not a building', 'Not applicable. Stonehenge is a prehistoric monument and not owned by any individual or company.', 'Not applicable. Stonehenge is a prehistoric monument and not owned by any company or individual.', 'Not applicable. The image shows Stonehenge, a prehistoric monument in England, not a building', 'Not applicable. Stonehenge is not owned by any individual or company; it is a protected monument', 'Not applicable. Stonehenge is not owned by any individual or company; it is a protected archaeological', 'Not applicable. The image shows Stonehenge, a prehistoric monument in England, not a building', 'Not applicable. Stonehenge is a prehistoric monument, not owned by any company or individual.', 'Not applicable. Stonehenge is not owned by any individual or company; it is a protected historical', 'Not applicable. Stonehenge is not owned by any individual or company; it is a protected archaeological']",0,Petroleum Industry,-0.0316169614141655,1.0,-0.1565892534220413,1.300729765406762e-05,0.546683669090271,0.0022304686717689,0.0108411898836493,0.0151335205882787,0.0027320149820297,0.0065121748484671,0.0116900335997343,0.0006391137139871,0.0002237248118035,0.0007148716249503,0.0003842759761027,0.0006236343760974,0.000265800365014,0.0106140589341521,0.0099990079179406,0.075645737349987,0.0055943001061677,0.2382885217666626,0.0073771751485764,0.0008301142370328,0.0006830312195234,0.0007024990627542,0.0008909081225283,0.0008096224628388,0.0004840912297368,0.8448551297187805
this organization is a division of which business group?,Royal Dutch Shell,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'KLM Royal Dutch Airlines', 'KLM Royal Dutch Airlines']",0,1st (1990) Rock the Nation (1991) Final Revolution (1992),-2.529822128134702,3.775134544279098e-11,-0.1230433722768793,3.2887598813664843e-06,0.9495508074760436,0.1353107541799545,0.0372926406562328,0.2363466471433639,0.0266382060945034,0.905211329460144,0.0715966001152992,0.2754676640033722,0.0040981988422572,0.1863273084163665,0.0254818573594093,0.5389876365661621,0.0037347213365137,0.2960328161716461,0.0463886260986328,0.1270392388105392,0.0107616484165191,0.4762424528598785,0.377284288406372,0.0746132209897041,0.074640192091465,0.2161149233579635,0.0642407089471817,0.0505092330276966,0.0852792337536811,0.8576291799545288
What is the closest parent taxonomy of this animal?,Mammalia,['Pecari'],"['Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia']",0,Polferries,-8.326672684688674e-16,0.999998807907815,-0.0944563634957376,1.670170079024566e-05,0.9557910561561584,0.3648441135883331,0.4799605309963226,0.0967743545770645,0.1511551141738891,0.6859674453735352,0.541668713092804,0.190196231007576,0.0238667447119951,0.0920733138918876,0.0812938064336776,0.3794587850570678,0.2065557241439819,0.0008474966161884,0.3624716103076935,0.0005349311395548,0.2788142263889313,0.0006162105128169,0.2002607136964798,0.0008505681180395,0.0013517617480829,0.001103161717765,0.0388698726892471,0.0008242665207944,0.0103077804669737,0.4630553126335144
