question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1993,['1993'],"['2002', '1992', 'Deception pass', '1993', '1993', ""5 dollar bob's mock cooter stew"", '1995', '1993', '1993', '1993']",1,"Jonathan Raban's 1999 travel memoir Passage to Juneau describes the history of the pass and Raban's passage through it in a 30ft yacht.  The 2002 horror movie The Ring was in part filmed near the pass. The bridge is fictionalized as a toll bridge named ""Desolation Bridge"" in season one of The Killing. Seattle shoegaze act The Sight Below filmed the 2008 video for their track ""Further Away"" at Deception Pass, with Deception Island's scenic imagery prominently featured. Seattle grunge band Mudhoney named a song on their 1993 EP Five Dollar Bob's Mock Cooter Stew ""Deception Pass."" Seattle progressive rock band Queensrÿche filmed scenes of their video ""Anybody Listening"" near Deception Pass and Deception Island.",-4.606634379622317,0.9868953997339248,-0.4827395327443984,0.2725850270983094,0.6356626152992249,0.2266215085983276,0.70868980884552,0.3108189105987549,0.9638833999633788,0.7686684727668762,0.791824460029602,0.0330261774361133,0.1900937706232071,0.0122418692335486,0.3474039137363434,0.1559639871120453,0.0317995958030223,0.2202260196208953,0.5440545082092285,0.0053813406266272,0.2627691328525543,0.422844648361206,0.4102098941802978,0.0165530368685722,0.0186246074736118,0.0349069572985172,0.0039883060380816,0.088048480451107,0.0897306427359581,0.00112152099609375
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Soldiers,['soldiers'],"['Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Men', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-0.0193932384788616,0.9882591651431324,-0.2493173635331914,0.3664452151507752,0.9379621148109436,0.9904746413230896,0.8218085169792175,0.8888589143753052,0.9636857509613036,0.656470775604248,0.8488496541976929,0.2477716654539108,0.3244123458862304,0.1378495991230011,0.7913233637809753,0.15972501039505,0.0906208008527755,0.3213165402412414,0.1887326091527938,0.3321004509925842,0.0606196261942386,0.3273516893386841,0.1117883697152137,0.016368594020605,0.0877007246017456,0.0160804279148578,0.1294832378625869,0.021347826346755,0.082706443965435,0.016326904296875
How many webby awards has this museum won for best science website?,4,['four'],"['2', '4', '1', '4', '6', '6', '4', '6', '4', '4']",0,"Online since 1992, the Exploratorium was one of the first museums to build a site on the World Wide Web. The site serves 13 million visitors each year. It has received six Webby Awards since 1997, including four for Best Science Website and one for Best Education website, and has been an honoree an additional ten times. The Exploratorium's website is an extension of the experiences on the museum's floor and provides a large number of hands-on activities and exhibits for online-only visitors. The Exploratorium also broadcasts live video and/or audio directly from the museum floor (or from satellite feeds in the field, at such locations as Antarctica or the Belize rainforest) onto the Internet from its Webcast Studio. Webcasts provide access to special events, scientists, and other museum resources for audiences on the Web.",-4.927643100804161,0.9754200454028876,-0.5498465670389123,0.7489653936027157,0.2066780179738998,0.0212306790053844,0.0064363763667643,0.0114559158682823,0.0155232734978199,0.003593873931095,0.0379428975284099,0.0046745063737034,0.0152613073587417,0.0044292211532592,0.0415635034441947,0.0104140620678663,0.0311787333339452,0.0120882960036396,0.1142269149422645,0.0155100328847765,0.1449144035577774,0.0372231565415859,0.0852677449584007,0.0055970596149563,0.1282068490982055,0.0177281685173511,0.3259044587612152,0.0320056900382041,0.1870302557945251,0.0012826919555664062
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],"['Passenger', 'High speed', 'High speed', 'CRH', 'Bullet', 'Combined', 'Passenger', 'Short', 'CRH', 'Cable']",0,"Two China Railway lines serve Badaling: The Beijing-Zhangjiakou intercity railway has CRH high-speed trains running from Beijing North Station, stopping at the underground Badaling Great Wall Station. Line S2 of the Beijing Suburban Railway serves people who want to go to the at-grade Badaling Station from Huangtudian Station.",-4.056506395028716,0.9779684863316528,-1.3660798014568476,0.585863782938343,0.5134919881820679,0.1409872025251388,0.2021484375,0.0806845054030418,0.6435139179229736,0.0660083442926406,0.3298792839050293,0.012250768020749,0.0168200712651014,0.0291338562965393,0.0971983596682548,0.0063410210423171,0.0444712117314338,0.0007839197060093,0.1135023981332779,0.0025218415539711,0.182674765586853,0.0020185632165521,0.0413108430802822,0.0050740321166813,0.0009430745267309,0.0363622680306434,0.0012685304973274,0.0025035762228071,0.0028575134929269,0.1416015625
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['PREFERRED', 'Preferred', 'Preferred', 'Preferred', 'Yes', 'Yes', 'Favored', 'Preferred', 'Yes', 'Yes']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-0.0156629435417543,0.9911435771928612,-0.5446776275181522,0.8747745679037346,0.7930585145950317,0.7917624711990356,0.8239707350730896,0.8954881429672241,0.56159508228302,0.9516106843948364,0.3328578770160675,0.4890749752521515,0.3377811908721924,0.9161421656608582,0.8782379031181335,0.7193537354469299,0.235410064458847,0.0039985417388379,0.0413715429604053,0.0087433634325861,0.1026250943541526,0.0411922968924045,0.0167918428778648,0.0060240300372242,0.003089927136898,0.0032077194191515,0.0021040476858615,0.0065961829386651,0.0686994045972824,0.1231689453125
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Unknown', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-1.897366596101028,0.9808378294684992,-0.1339466027044788,0.678287802430767,0.9640643000602722,0.9259845614433287,0.916841983795166,0.7922403216362,0.9255110025405884,0.9849069118499756,0.9001951217651367,0.5842928290367126,0.7458122968673706,0.5945547223091125,0.96197909116745,0.6765344738960266,0.3949666023254394,0.0669426470994949,0.4577684700489044,0.0017544558504596,0.2148694843053817,0.4118649363517761,0.256593257188797,0.0035062478855252,0.4216930270195007,0.0037507105153054,0.1022911146283149,0.0082369307056069,0.3941514492034912,0.05718994140625
What part of north africa is this plant native to?,Morocco,['western'],"['Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Western', 'Morocco', 'Morocco', 'Morocco']",0,"Cistus albidus is native to the west of Southern Europe and western North Africa, particularly around the Mediterranean, including Portugal, Spain, the Balearic Islands, France, Corsica, Italy, Sardinia, and Morocco.",-0.0745031621213224,0.9749290059944998,-0.2004666386812459,0.7232686063886637,0.8048132061958313,0.010063886642456,0.3237074911594391,0.0889651477336883,0.2780212759971618,0.2278270572423935,0.3286432027816772,0.0564095489680767,0.0040456289425492,0.0884114354848861,0.0956501588225364,0.1460739970207214,0.044324617832899,0.6294493079185486,0.2924398481845855,0.1010341048240661,0.0987309366464614,0.8040135502815247,0.180224671959877,0.3204398155212402,0.0422169975936412,0.4443580508232116,0.0155458012595772,0.3310920894145965,0.5741925239562988,0.01922607421875
Are there periods of high or low nectar production for this bird?,Low,['low'],"['High', 'High', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-2.472118961779476,0.8697700895110193,-0.6143539030104875,0.5711755955482561,0.384590208530426,0.1686150878667831,0.5559725165367126,0.1494030356407165,0.2894666194915771,0.2332375794649124,0.655699610710144,0.0106606902554631,0.2457428127527237,0.0740362554788589,0.6695572733879089,0.0260232184082269,0.1109206303954124,0.0019757966510951,0.0441116169095039,0.0052183680236339,0.0849059075117111,0.035969752818346,0.0079255290329456,0.0011539683910086,0.1143513098359108,0.0011532930657267,0.0798191279172897,0.0015877971891313,0.0930961072444915,0.11181640625
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Spain', 'Philippine', 'Macau', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-3.162331618098458,0.978237130289766,-0.604451488587074,0.6412499647294284,0.630157470703125,0.3147264122962951,0.4653920531272888,0.2910752892494201,0.4718561768531799,0.2952819764614105,0.7484832406044006,0.1805034279823303,0.0338956676423549,0.2989354133605957,0.5034245848655701,0.8068752884864807,0.0381928607821464,0.7769441604614258,0.0636907741427421,0.4098870754241943,0.0252501685172319,0.6092983484268188,0.6516106724739075,0.4447695314884186,0.3002772033214569,0.5950912237167358,0.0603659451007843,0.0863593220710754,0.267076164484024,0.00390625
What are the common names of this plant?,Camphor weed,['vinegarweed and camphor weed'],"['Camphorweed', 'Camphor weed', 'Vinegar weed', 'Trichostema lanceolatum', 'Camphor weed', 'Camphor', 'Vinegarweed', 'Camphor weed', 'Camphor weed', 'Vinegar weed and camphor weed']",0,"Trichostema lanceolatum, with the common names vinegarweed and camphor weed, is an annual flowering herb of the mint family native to western North America. The common name 'vinegarweed' originated due to its foliage containing volatile oils that have a strong vinegar odor.  The oils have phytotoxic properties, which help the plant compete by killing or injuring other plant species.",-3.890562095708048,0.9753009828402764,-0.3659477119465009,0.8386990645810265,0.8046472072601318,0.0023384420201182,0.0234962031245231,0.0085344230756163,0.0030388289596885,0.0725044012069702,0.0421905629336833,0.0104856463149189,0.0015009643975645,0.0051425960846245,0.010176220908761,0.0508887879550457,0.000571517215576,0.349289983510971,0.0749515518546104,0.0845502912998199,0.0587508678436279,0.6782060861587524,0.0222529619932174,0.0019279748667031,0.0166058894246816,0.0149035500362515,0.0065103489905595,0.0024810291361063,0.0533489994704723,0.234130859375
