question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1992,['1993'],"['1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992']",0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",-3.8857805861880484e-16,3.726653172078672e-06,-1.263616466928852e-06,0.9999995231629556,0.984505832195282,0.9703754782676696,0.4573699831962585,0.7276512384414673,0.8866257071495056,0.6020223498344421,0.8520013093948364,0.3886673152446747,0.4930273592472076,0.3932902812957763,0.7129887938499451,0.7286231517791748,0.6329522728919983,0.28177011013031,0.0320765860378742,0.0101009607315063,0.1169037893414497,0.4729417264461517,0.3307138383388519,0.1050269156694412,0.1151978746056556,0.0977775305509567,0.0573756657540798,0.6683526635169983,0.29288250207901,2.5067295155167812e-06
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",soldiers,['soldiers'],"['soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-6.106226635438361e-16,0.9988333836632732,-0.000505343505587,0.9999998807907176,0.9850510358810424,0.9873673915863036,0.8848194479942322,0.8521414399147034,0.9525290727615356,0.6549078822135925,0.8691366314888,0.6942468285560608,0.3675963282585144,0.4045419692993164,0.6096823811531067,0.3209862112998962,0.7362645268440247,0.3187812566757202,0.0492114275693893,0.2363025397062301,0.096054695546627,0.4162739515304565,0.0131446560844779,0.0360428504645824,0.0872643738985061,0.0285126380622386,0.0421074070036411,0.25098317861557,0.003042564028874,0.02012939378619194
How many webby awards has this museum won for best science website?,0,['four'],"['None.', '0', 'None.', 'None.', 'None.', 'None.', 'None.', 'None.', '0', '0']",0,"GreatSchools received Outstanding Achievement awards in 2011 and Best In Class awards in 2009 from the Interactive Media Awards. In 2021, GreatSchools received two nominations in the 25th Annual Webby Awards in the Science & Education category for its parenting podcast, Like a Sponge: Best Limited Series Podcast and Best Individual Episode for its season 2, episode 4 title, “Liar, Liar: How to Raise an Honest Child in a Post-truth Society.” In 2021, GreatSchools.org won two ""Awards of Distinction"" in the 27th Annual Communicator Awards for Best Family & Parenting and Best Education website. In 2022, an episode of GreatSchools.org's podcast Like a Sponge, ""Banishing Bias from School,"" was nominated in the 26th Annual Webby Awards for Best Science & Education podcast episode. The podcast series Like a Sponge was also recognized as a Webby Honoree for Best Podcast - Limited-Series & Specials in the Health, Science & Education category.",-0.0072733867913082,0.4385774973263532,-0.3261558616901008,1.013009359863071e-05,0.8196606636047363,0.009795076213777,0.0167327672243118,0.0285098906606435,0.0282023530453443,0.003731160191819,0.1652345061302185,0.0010074538877233,0.0007437843596562,0.0010522331576794,0.0165195595473051,0.0010968372225761,0.0160174947232007,0.0116574652493,0.0490994863212108,0.0195294991135597,0.1205591484904289,0.01593161188066,0.0134035823866724,0.0013589353766292,0.2550082802772522,0.0008763302466832,0.0507531054317951,0.0009121725452132,0.0601516403257846,0.16822266578674316
What kind of trains stop at this railway station?,"Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station, including Duronto and AC trains.",['CRH high-speed trains'],"['Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station, including', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station, including', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan, and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station.', 'Trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station.']",0,"Delhi Sarai Rohilla railway station (station code: DEE) is situated about 4 kilometres (2+1⁄2 mi) from old Delhi railway junction in India. It is managed by Delhi Division of Northern Railway zone. Many trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station. More than twenty trains including Duronto and AC trains originate at this station.",-0.0018023517720516,1.670170079024566e-05,-0.0828865516356045,0.9994470218452918,0.9920794367790222,0.6571988463401794,0.4870722591876983,0.1806604117155075,0.77656489610672,0.4039587080478668,0.6477334499359131,0.0023593911901116,0.0002286335075041,0.0120992688462138,0.0004286080366,0.0021114130504429,0.0002756946196313,0.1674880534410476,0.0241214130073785,0.1859644055366516,0.0080168498679995,0.5603891611099243,0.0781306773424148,0.0886867195367813,0.0006572109414264,0.1397745013236999,0.0008820442599244,0.1933806091547012,0.000481490191305,0.5082514882087708
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-3.3306690738754696e-16,1.0,-0.0637257304479135,0.9999997615814492,0.9767127633094788,0.9802398085594176,0.9334504008293152,0.8731315732002258,0.9274827837944032,0.9313775897026062,0.8862654566764832,0.950573980808258,0.9875195026397704,0.9598041772842408,0.9881762266159058,0.9385669231414796,0.9794394373893738,0.046689610928297,0.0876806378364563,0.011705795302987,0.3983572125434875,0.300925612449646,0.1738345026969909,0.0161514859646558,0.2361266762018203,0.0077589973807334,0.4812900424003601,0.0138667002320289,0.4052731990814209,0.03899131715297699
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-6.106226635438361e-16,1.0,-0.0386330788023769,0.9999938011361564,0.9824004173278807,0.9889272451400756,0.9327524304389954,0.8258654475212097,0.9469555020332336,0.9852330088615416,0.9423961043357848,0.8842154145240784,0.8531197309494019,0.8293231129646301,0.988962471485138,0.9240432381629944,0.6303380727767944,0.0831865817308425,0.2593404650688171,0.011926501058042,0.5433937311172485,0.3121991753578186,0.3824435174465179,0.0047634216025471,0.1240435987710952,0.0025556785985827,0.6220355033874512,0.0103951599448919,0.9099437594413756,0.03125620260834694
What part of north africa is this plant native to?,"Not native to North Africa. Native to southern Africa, from South Africa as far north as Mozambique and Zimbabwe.",['western'],"['Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa. Native to southern Africa, from South Africa north to Mozambique and Zimbabwe', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa. Native to southern Africa, from South Africa north to Mozambique and Zimbabwe', 'Not native to North Africa.']",0,"Hypoxis hemerocallidea, the African star grass or African potato, is a medicinal plant in the Hypoxidaceae family. It is native to southern Africa from South Africa as far north as Mozambique and Zimbabwe. This plant is the best known member of this genus.",-0.0102943305899253,0.9999780657312825,-0.0860308121646231,6.14421235332821e-06,0.9815846681594848,0.0335838198661804,0.2252618074417114,0.1624597460031509,0.0482078827917575,0.4352799952030182,0.2974183261394501,0.0007877380703575,0.0002327210095245,0.0013641428668051,0.0004013180441688,0.0008313606376759,0.0002632144896779,0.2104899734258651,0.0135950557887554,0.1282696425914764,0.0043766479939222,0.521800696849823,0.0318230055272579,0.0009860444115474,0.0006577172898687,0.0016550848959013,0.0008583958260715,0.0014817082555964,0.0004827296361327,0.24246668815612793
Are there periods of high or low nectar production for this bird?,There are periods of both high and low nectar production.,['low'],"['There are periods of high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of high and low nectar production.', 'There are periods of high and low nectar production.', 'There are periods of both high and low nectar production.', 'There are periods of both high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times, prompting the bird', 'Periods of high nectar production; low nectar production occurs during some times.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of both high and low nectar production.']",0,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-0.0084298165470568,1.0,-0.1731990934349537,0.9999985694895486,0.9804184436798096,0.9707924723625184,0.2909516990184784,0.8228282928466797,0.5305080413818359,0.7423070669174194,0.7232791185379028,0.0006991628906689,0.0002667849475983,0.0069474428892135,0.0004837294109165,0.0023927334696054,0.0003496293793432,0.2386011034250259,0.0139516023918986,0.0992547571659088,0.0142126465216279,0.5318467617034912,0.0032240808941423,0.0069982497952878,0.0007418507593683,0.0050695589743554,0.0008059158571995,0.0933579802513122,0.0005337329930625,0.10484781861305237
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-7.771561172376097e-16,0.0067379469990854,-0.004934075570721,0.9398718726030456,0.9927486777305604,0.9687745571136476,0.8499255776405334,0.7856969237327576,0.9415683150291444,0.9132927060127258,0.8704627752304077,0.6362178921699524,0.1038355678319931,0.598665177822113,0.4882877171039581,0.9566069841384888,0.6245105862617493,0.7337596416473389,0.1652286499738693,0.2159316837787628,0.2120770215988159,0.696330726146698,0.1804092824459076,0.3667695820331573,0.3720419704914093,0.3556460440158844,0.6527938842773438,0.196754902601242,0.7033253908157349,0.009510070085525513
What are the common names of this plant?,"Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fireball, Flower of Bristol, Flower of Constantinople, Gardener's delight, Gardener's eye, Great candlestick, Jerusalem cross, Knight's cross, Maltese cross, Meadow campion, Nonesuch",['vinegarweed and camphor weed'],"['Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire', 'Burning love, Common rose campion, Constantinople campion, Dusky salmon, Fire']",0,"This plant was first formally named as Lychnis chalcedonica by Carl Linnaeus in 1753. For purposes of taxonomic stability, the genus name Lychnis was formally rejected in 1994 and the name Silene was conserved. The plant is now known as Silene chalcedonica, a name published by Ernst Hans Ludwig Krause in 1901. The specific epithet chalcedonica refers to the ancient town of Chalcedon in what is now Turkey. Numerous common names are attached to this plant, including: Burning love Common rose campion (also used for Silene coronaria) Constantinople campion Dusky salmon Fireball Flower of Bristol Flower of Constantinople Gardener's delight Gardener's eye Great candlestick Jerusalem cross Knight's cross Maltese cross Meadow campion Nonesuch Red robin Scarlet lightning Scarlet lychnis Tears of Christ",-6.106226635438361e-16,6.14421235332821e-06,-0.0015405908734518,0.9999963045188522,0.9929354786872864,0.012200653553009,0.1722645014524459,0.0527414567768573,0.6866244673728943,0.4528093338012695,0.481392502784729,0.2787272930145263,0.0008414438925683,0.0844832956790924,0.0016363016329705,0.517654538154602,0.0005859790835529,0.8674044013023376,0.0039900355041027,0.6348276138305664,0.0031649873126298,0.8160385489463806,0.0180218238383531,0.0175340417772531,0.0006765894941054,0.014574515633285,0.000833666708786,0.0526380687952041,0.000530649384018,0.0012848115293309093
