question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1992,['1993'],"['1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992']",0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",-3.8857805861880484e-16,3.726653172078672e-06,-1.263616466928852e-06,0.9999995231629556,0.984505832195282,0.9703754782676696,0.4573699831962585,0.7276512384414673,0.8866257071495056,0.6020223498344421,0.8520013093948364,0.3886673152446747,0.4930273592472076,0.3932902812957763,0.7129887938499451,0.7286231517791748,0.6329522728919983,0.28177011013031,0.0320765860378742,0.0101009607315063,0.1169037893414497,0.4729417264461517,0.3307138383388519,0.1050269156694412,0.1151978746056556,0.0977775305509567,0.0573756657540798,0.6683526635169983,0.29288250207901,2.5067295155167812e-06
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",soldiers,['soldiers'],"['soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-6.106226635438361e-16,0.9988333836632732,-0.000505343505587,0.9999998807907176,0.9850510358810424,0.9873673915863036,0.8848194479942322,0.8521414399147034,0.9525290727615356,0.6549078822135925,0.8691366314888,0.6942468285560608,0.3675963282585144,0.4045419692993164,0.6096823811531067,0.3209862112998962,0.7362645268440247,0.3187812566757202,0.0492114275693893,0.2363025397062301,0.096054695546627,0.4162739515304565,0.0131446560844779,0.0360428504645824,0.0872643738985061,0.0285126380622386,0.0421074070036411,0.25098317861557,0.003042564028874,0.02012939378619194
How many webby awards has this museum won for best science website?,Four,['four'],"['Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four']",1,"Online since 1992, the Exploratorium was one of the first museums to build a site on the World Wide Web. The site serves 13 million visitors each year. It has received six Webby Awards since 1997, including four for Best Science Website and one for Best Education website, and has been an honoree an additional ten times. The Exploratorium's website is an extension of the experiences on the museum's floor and provides a large number of hands-on activities and exhibits for online-only visitors. The Exploratorium also broadcasts live video and/or audio directly from the museum floor (or from satellite feeds in the field, at such locations as Antarctica or the Belize rainforest) onto the Internet from its Webcast Studio. Webcasts provide access to special events, scientists, and other museum resources for audiences on the Web.",-4.440892098500626e-16,4.785117392129009e-06,-0.0020560754805956,0.9999982118622556,0.9839805960655212,0.1535443663597107,0.3914173543453216,0.0439862161874771,0.8574600219726562,0.0318217910826206,0.8582273721694946,0.6891856789588928,0.0743430033326149,0.2911834120750427,0.6009748578071594,0.2554519176483154,0.8077484965324402,0.3451375663280487,0.0239590033888816,0.1816156208515167,0.0618830733001232,0.4062496423721313,0.0260883662849664,0.2726476788520813,0.0832810550928115,0.1227092146873474,0.0836137607693672,0.210835799574852,0.2027022242546081,0.22228385508060455
What kind of trains stop at this railway station?,"Most trains stop here, except for 1 daily Puyuma service.",['CRH high-speed trains'],"['Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop at this station, except for 1 daily Puyuma service.', 'Most trains stop at this station.', 'Most trains stop at this station, except for 1 daily Puyuma service.', 'Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop here, except for 1 daily Puyuma service.', 'Most trains stop at this station.']",0,"All classes of trains stop at the station with the exception of 1 daily Puyuma service. Easycard usage for trains along West Coast line, Yilan line, and Pingtung line is also available at this station.",-0.0076522410826216,0.9999973773990688,-0.1136983648180531,0.999876983580324,0.9903895258903505,0.8718388676643372,0.1971726566553115,0.2506633698940277,0.5652404427528381,0.5638114809989929,0.5409001111984253,0.0007808740483596,0.0002382982493145,0.0030821179971098,0.0004041737120132,0.000698858173564,0.0002656585129443,0.4505770802497864,0.0068841357715427,0.4146710634231567,0.0033712347503751,0.6797037124633789,0.0251770243048667,0.0087208142504096,0.0006488384096883,0.0162788499146699,0.0008432431495748,0.0908082351088523,0.0004798283916898,0.022533345967531204
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-3.3306690738754696e-16,1.0,-0.0637257304479135,0.9999997615814492,0.9767127633094788,0.9802398085594176,0.9334504008293152,0.8731315732002258,0.9274827837944032,0.9313775897026062,0.8862654566764832,0.950573980808258,0.9875195026397704,0.9598041772842408,0.9881762266159058,0.9385669231414796,0.9794394373893738,0.046689610928297,0.0876806378364563,0.011705795302987,0.3983572125434875,0.300925612449646,0.1738345026969909,0.0161514859646558,0.2361266762018203,0.0077589973807334,0.4812900424003601,0.0138667002320289,0.4052731990814209,0.03899131715297699
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-6.106226635438361e-16,1.0,-0.0386330788023769,0.9999938011361564,0.9824004173278807,0.9889272451400756,0.9327524304389954,0.8258654475212097,0.9469555020332336,0.9852330088615416,0.9423961043357848,0.8842154145240784,0.8531197309494019,0.8293231129646301,0.988962471485138,0.9240432381629944,0.6303380727767944,0.0831865817308425,0.2593404650688171,0.011926501058042,0.5433937311172485,0.3121991753578186,0.3824435174465179,0.0047634216025471,0.1240435987710952,0.0025556785985827,0.6220355033874512,0.0103951599448919,0.9099437594413756,0.03125620260834694
What part of north africa is this plant native to?,Sahara,['western'],"['North Africa', 'Sahara', 'Sahara', 'Sahara', 'Sahara', 'Sahara', 'North Africa', 'North Africa', 'North Africa', 'North Africa']",0,"This plant is native to North and East Africa, the Arabian Peninsula and the Middle East. It typically grows in salt marshes and semi-arid saline areas of deserts and it can help in the stabilisation of loose soils.",-0.0058317025599797,0.9990887028372136,-0.4156248167273588,0.952577334334235,0.8205502033233643,0.0098123606294393,0.021964956074953,0.056639939546585,0.0418489575386047,0.0655812174081802,0.1515833735466003,0.0061894371174275,0.0019738860428333,0.0035812859423458,0.0099932514131069,0.028524849563837,0.0080062085762619,0.8126428127288818,0.0325770825147628,0.2875999808311462,0.0194078534841537,0.7688679695129395,0.0249735489487648,0.3263565301895141,0.1013523116707801,0.5822397470474243,0.0132714016363024,0.2197497189044952,0.1923265755176544,0.16434597969055176
Are there periods of high or low nectar production for this bird?,"Periods of high nectar production, followed by periods of low nectar production.",['low'],"['There are periods of high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of high and low nectar production.', 'There are periods of high and low nectar production.', 'There are periods of both high and low nectar production.', 'There are periods of both high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times, prompting the bird', 'Periods of high nectar production; low nectar production occurs during some times.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of both high and low nectar production.']",0,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-0.0084298165470568,0.9999996423721952,-0.1731990934349537,0.9999985694895486,0.9806787967681884,0.877176821231842,0.6932803988456726,0.6482750773429871,0.9482030272483826,0.7252981066703796,0.6445714831352234,0.0024288264103233,0.0002489282924216,0.0148540176451206,0.0004762438475154,0.0050136535428464,0.0003036697453353,0.1349345594644546,0.0202837046235799,0.1040802150964737,0.0059075113385915,0.4021403789520263,0.0016495938180014,0.0129920383915305,0.0006977913435548,0.0165053885430097,0.000786384625826,0.1936494708061218,0.0005384904216043,0.10484781861305237
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-7.771561172376097e-16,0.0067379469990854,-0.004934075570721,0.9398718726030456,0.9927486777305604,0.9687745571136476,0.8499255776405334,0.7856969237327576,0.9415683150291444,0.9132927060127258,0.8704627752304077,0.6362178921699524,0.1038355678319931,0.598665177822113,0.4882877171039581,0.9566069841384888,0.6245105862617493,0.7337596416473389,0.1652286499738693,0.2159316837787628,0.2120770215988159,0.696330726146698,0.1804092824459076,0.3667695820331573,0.3720419704914093,0.3556460440158844,0.6527938842773438,0.196754902601242,0.7033253908157349,0.009510070085525513
What are the common names of this plant?,"goat's-head, bindii, bullhead, burra gokharu, bhakhdi, caltrop, small caltrops, cat's-head, devil's eyelashes, devil's-thorn, devil's-weed, puncture vine, tackweed",['vinegarweed and camphor weed'],"[""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh"", ""goat's-head, bindii, bullhead, burra gokharu, bhakh""]",0,"Like many weedy species, this plant has numerous common names according to the world region, including goat's-head, bindii, bullhead, burra gokharu, bhakhdi, caltrop, small caltrops, cat's-head, devil's eyelashes, devil's-thorn, devil's-weed, puncture vine, and tackweed.",-7.771561172376097e-16,1.013009359863071e-05,-0.0080160587980799,0.9999977350260636,0.9929457306861876,0.0230678971856832,0.0181626789271831,0.0550643317401409,0.014274907298386,0.4016737639904022,0.5419058799743652,0.2496072202920913,0.0013049024855718,0.1125880554318428,0.0009276788914576,0.4123977124691009,0.0006187207764014,0.8172455430030823,0.0020613933447748,0.4894178211688995,0.0019692219793796,0.7898234724998474,0.0125939827412366,0.0151514997705817,0.0006911132950335,0.0320592261850833,0.0009101115865632,0.2004090100526809,0.0005025019054301,0.6033644676208496
