question_text,prediction,ground_truths,generated_text,correctness,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,2002,['1993'],"['2003', 'Never.', '2004', '2001', '2000', '2002', '2001', '2005', '2001', '2003']",0,-7.457465228938866,2.2603294069810542e-06,-0.5406587370922534,0.0005530843701478,0.4754281342029571,0.0294735692441463,0.0016839547315612,0.0181110203266143,0.0192584581673145,0.013894778676331,0.0462198108434677,0.0014350939309224,0.0043990309350192,0.0023982452694326,0.3586350083351135,0.0053095980547368,0.0269615612924098,0.0049409759230911,0.0139279551804065,0.0016380019951611,0.0062345969490706,0.0113240089267492,0.0063686980865895,0.0030286468099802,0.0008702260674908,0.0042738639749586,0.0040002837777137,0.0022532865405082,0.0027033169753849,1.4658414125442505
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",servants,['soldiers'],"['servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants']",0,-1.6653345369377348e-16,0.9999982118622556,-0.0368667591822221,0.0009118819655545,0.9743184447288512,0.982157588005066,0.5823634266853333,0.8200006484985352,0.9490435123443604,0.6956236958503723,0.7170953154563904,0.2871153950691223,0.8087976574897766,0.2565519511699676,0.9387825727462769,0.2029231935739517,0.6580701470375061,0.3822727501392364,0.116512693464756,0.2906873226165771,0.1667040884494781,0.4088181257247925,0.175164446234703,0.0165169965475797,0.0083209155127406,0.0080967247486114,0.0507305935025215,0.0413776412606239,0.0061086025089025,0.48581358790397644
How many webby awards has this museum won for best science website?,0,['four'],"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,-4.440892098500626e-16,0.9819759354668612,-0.1005902568758756,0.0002034683690106,0.8881552815437317,0.0201323851943016,0.0132387578487396,0.0353920124471187,0.0235667321830987,0.0033764888066798,0.0777522549033165,0.001376491272822,0.0012435729149729,0.0011010204907506,0.0138512607663869,0.0010560493683442,0.0173785872757434,0.024563567712903,0.0531729944050312,0.0445610471069812,0.2773089408874511,0.0446922928094863,0.0306737348437309,0.0017303003696724,0.1784379929304123,0.0011069319443777,0.0640883222222328,0.0012831783387809,0.0567543692886829,0.5381060838699341
What kind of trains stop at this railway station?,No trains stop here.,['CRH high-speed trains'],"['No trains stop here.', ""No trains stop here; it's a station for a tourist train or a scenic railway."", ' No trains stop here.', 'No trains stop here.', ""No trains stop here; it's a bus station."", 'No trains stop here.', ""No trains stop here; it's a station for a tourist railway."", 'No trains stop here.', 'No trains stop here.', ""No trains stop here; it's a station for a tourist train.""]",0,-2.2780477502914405,0.952577334334235,-0.4120102828638775,0.0067379469990854,0.6383741497993469,0.1110334619879722,0.001810583169572,0.0709128677845001,0.0113222273066639,0.0049713533371686,0.0029547894373536,0.0005904005956836,0.0002317942416993,0.0006976094446144,0.0003966502554249,0.0005909165483899,0.0002669735113158,0.0077613331377506,0.0559331625699996,0.0152971148490905,0.0168615449219942,0.011573702096939,0.0751879587769508,0.0009374137734994,0.0006780224503017,0.0008212629472836,0.0007708456832915,0.0007811264367774,0.0005153737729415,0.22859685122966766
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,preferred,['favoured'],"['preferred', 'preferred', 'preferred', 'preferred', 'preferred', 'preferred', 'preferred', 'preferred', 'preferred', 'preferred']",0,-4.996003610813204e-16,1.0,-0.0399946495535914,0.0007101743888425,0.976085901260376,0.9782978892326356,0.7990687489509583,0.8556322455406189,0.5877987146377563,0.91475647687912,0.7450265288352966,0.9550390243530272,0.9506195187568665,0.9595758318901062,0.9883335828781128,0.9230384826660156,0.9449262022972108,0.053875271230936,0.0553334392607212,0.0137017220258712,0.1852642446756363,0.3076492249965668,0.0387341380119323,0.0161799192428588,0.2124423831701278,0.0115131400525569,0.0505291335284709,0.0128992535173892,0.2694238424301147,0.17404338717460632
Is the common name red-gland spurge known or unknown for this plant?,unknown,['known'],"['known', 'known', 'known', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'known', 'unknown']",0,-3.098386676965933,3.535750085040998e-05,-0.5023469028099499,0.0024787521766663,0.9243699908256532,0.8169804215431213,0.1931216716766357,0.3786353170871734,0.0293482206761837,0.0137143395841121,0.1884821057319641,0.0063265380449593,0.0409270860254764,0.0090077351778745,0.09829942882061,0.001761432737112,0.0071970815770328,0.0349864475429058,0.010544940829277,0.006044736597687,0.0442506074905395,0.2562267780303955,0.0137304542586207,0.0012064242037013,0.0811745002865791,0.0015029293717816,0.0769081115722656,0.0023481121752411,0.0008739416953176,0.20863136649131775
What part of north africa is this plant native to?,Morocco,['western'],"['Atlas Mountains', ' Morocco', ' Morocco', 'Atlas Mountains', ' Atlas Mountains', ' Morocco', ' Morocco', ' Morocco', 'Atlas Mountains', 'Atlas Mountains']",0,-0.0006584244480348,0.9999997615814492,-0.614304404167342,0.0031827807965096,0.8443852663040161,0.0053455806337296,0.0016996444901451,0.0339304283261299,0.0035996979568153,0.0031015479471534,0.0050617386586964,0.4236654937267303,0.0163211170583963,0.0674226358532905,0.0181543510407209,0.2019253820180893,0.023902716115117,0.0274088960140943,0.0052711679600179,0.0158273614943027,0.0044131441973149,0.0208756625652313,0.0113103995099663,0.2600511610507965,0.1680375337600708,0.2452869862318039,0.2242364883422851,0.3072291314601898,0.3556622266769409,0.41493719816207886
Are there periods of high or low nectar production for this bird?,high,['low'],"['high', 'high', 'high', 'high', 'high', 'high', 'high', 'high', 'high', 'high']",0,-4.440892098500626e-16,0.9999251393683593,-0.0919486247003078,0.0002612585573016,0.9078533053398132,0.9456119537353516,0.842958927154541,0.7835934162139893,0.442088782787323,0.8505963087081909,0.8807035684585571,0.8838741183280945,0.5163180232048035,0.6601997017860413,0.7117037773132324,0.7507826685905457,0.289569616317749,0.0435505732893943,0.0161260925233364,0.0295281931757926,0.1122495681047439,0.3167831599712372,0.0081237675622105,0.0183679107576608,0.0354979932308197,0.0069961715489625,0.0326519347727298,0.03263845667243,0.0422359742224216,0.935335636138916
"Besides macau, what country is believed to have introduced this tomato to china?",Portugal,['Philippines'],"[' Portugal', 'Portugal', 'Portugal', ' Portugal', ' Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']",0,-0.0104017168291038,0.9999995231629556,-0.3802602124346511,0.0019304541362277,0.8179411292076111,0.5478742718696594,0.4087857007980346,0.4623346924781799,0.5449472665786743,0.4299643933773041,0.4556277394294739,0.2765475511550903,0.3205962479114532,0.3631233870983124,0.5907442569732666,0.8862897753715515,0.4474383294582367,0.7545726299285889,0.4161803722381592,0.5139009952545166,0.2801871299743652,0.6116266846656799,0.4824838936328888,0.636085033416748,0.8116004467010498,0.7808560729026794,0.9220125079154968,0.6012055277824402,0.97591632604599,0.13550236821174622
What are the common names of this plant?,"Blueweed, Blue-flowered plant",['vinegarweed and camphor weed'],"[' Blue curls', ' Blue curls', ' Blue flax', ' Blueweed, purple weed, or blue sage', ' Blue curls', ' blue vervain', ' Blue curls', ' blue flax', ' Blue vervain', ' Blue curls']",0,-5.059067700069201,3.535750085040998e-05,-0.7426439903171074,0.0067379469990854,0.1895658522844314,0.0016261587152257,0.0013000451726838,0.0024941011797636,0.0022207449655979,0.0008487472659908,0.0015066986670717,0.000605889770668,0.0002608006470836,0.0006581866182386,0.0003943706688005,0.0006503087934106,0.0002692110429052,0.0040150023996829,0.0010880915215238,0.0006872967351227,0.0026769125834107,0.0064236428588628,0.0009791650809347,0.0008639564039185,0.0007495546597056,0.0009933965047821,0.000823900103569,0.0007698268746025,0.000487975514261,0.8573083877563477
