question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,qwen_evqa_eva_clip_base_no_context,qwen_evqa_eva_clip_base_with_context,qwen_evqa_eva_clip_no_p_prime,qwen_evqa_eva_clip_no_p_q_i,qwen_evqa_eva_clip_no_p_q_c,qwen_evqa_eva_clip_no_p_q
When did Mudhoney name a song after this pass?,1991,['1993'],[],0,"Haro Strait and other waters flanking the Gulf Islands and San Juans were the home of Straits Salish peoples including the Lummi, Saanich, and Klallam, but the route's natural importance as a regional waterway made it also an important sea-route for raiding and also for regular trade for all marine peoples of the Northwest Coast. Haro Strait was named in 1790 by Manuel Quimper, commander of Princesa Real, in honor of his pilot, Gonzalo López de Haro.  In 1791 Francisco de Eliza sent José María Narváez far into the Strait of Georgia via Haro and Rosario Straits. In 1792 Haro Strait was explored and mapped by George Vancouver. An alternate theory about the naming was proposed by Edmond S. Meany, who suggested that Haro Strait was named for Alonso Núñez de Haro y Peralta, Archbishop of Mexico from 1772 to 1800, and, for several months during 1787, Viceroy of New Spain. Haro Strait's status as the location of the international boundary was not established until the resolution of the San Juan Islands dispute in 1870, when it was selected by an arbitrator, German Kaiser Wilhelm I, over Rosario Strait, on the eastern side of the San Juans, which was preferred by the British and would have made the San Juans part of British Columbia, as they were originally viewed to be by the British after the Oregon Treaty of 1846. Haro Strait is also an important location for the regional commercial fishery, as the bulk of the Fraser River salmon run uses the Haro Strait to enter that river. D'Arcy Island on the Canadian side of the strait was a leper colony for Chinese immigrants in the 19th century. Older USGS maps, such as the 1976 edition of the Victoria quadrangle (1:250,000 scale), show Haro Strait as encompassing Boundary Pass, passing south of Saturna Island.",0.40052536129951477,0.010118402540683746,0.04732668399810791,0.12180115282535553,0.060011181980371475,0.0012241429649293423,0.08415602892637253
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",servants,['soldiers'],[],0,"A well-known haiku describes the islands as so striking that the poet is at a loss for words: 松島やああ松島や松島や Matsushima ya / aa Matsushima ya / Matsushima ya     Matsushima ah! / A-ah, Matsushima, ah! / Matsushima, ah! While often attributed to Matsuo Bashō, the earliest known publication is in the Matsushima Zushi (松島図誌),  published in 1820 over a century after Bashō's death, which attributes it to the kyōka poet Tawara-bō (田原坊).  While Bashō did visit Matsushima in Oku no Hosomichi, its only haiku about Matsushima was written by his travel comparison Kawai Sora.",0.9513136744499207,0.23428326845169067,0.6578085422515869,0.703903317451477,0.573833167552948,0.5042674541473389,0.6799065470695496
How many webby awards has this museum won for best science website?,None.,['four'],[],0,"Grant Olney Passmore (born October 18, 1983) is a singer-songwriter who has recorded on the Asian Man Records label. He is considered part of the New Weird America movement along with David Dondero, Devendra Banhart, Bright Eyes, and CocoRosie.  His latest full-length album, Hypnosis for Happiness, was released in July 2013 on the Friendly Police UK label. His previous full-length album, Brokedown Gospel, was released on the Asian Man Records label in July 2004.  He also releases music under the pseudonym Scout You Devil and as part of the songwriting duo Olney Clark. Alongside his music, Passmore is also a mathematician and theoretical computer scientist, formerly a student at the University of Texas at Austin, the Mathematical Research Institute in the Netherlands, and the University of Edinburgh, where he earned his PhD.  He is a Life Member of Clare Hall, University of Cambridge and is cofounder of the artificial intelligence company Imandra Inc. (formerly known as Aesthetic Integration) which produces technology for the formal verification of algorithms. He was paired with artist Hito Steyerl in the 2016 Rhizome Seven on Seven. As a young child and early teenager, Passmore was involved in the development of the online Bulletin Board system scene, and under the name skaboy he was the author of many applications of importance to the Bulletin Board System community, including the Infusion Bulletin Board System, Empathy Image Editor, Avenger Packer Pro, and Impulse Tracker Tosser.  Passmore was head programmer for ACiD Productions while working on many of these applications.",0.19685861468315125,0.000613719574175775,0.00029518469818867743,0.0003929624508600682,0.00029012764571234584,0.0003557708696462214,0.00040489487582817674
What kind of trains stop at this railway station?,"No trains stop here — it's a station for the Beijing–Shanghai railway, but the description refers to a different station with an arched portal.",['CRH high-speed trains'],[],0,"In the middle of the platform's base there is an arched portal - where people, carts, horsemen, and palanquins could pass through. Many images of people and animals were carved inside the arched gate tunnel and around the portal.",0.30382823944091797,0.0007603329140692949,0.0002603248867671937,0.00029582029674202204,0.00031358475098386407,0.0003259546938352287,0.0002576509432401508
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],[],0,"The birds breed in the Altai from May, with scattered pairs nesting some distance from one another. A nest recorded in early May in a birch tree was built 5 m above the ground of thin twigs and dry grass lined with thin rootlets and hair. Fledglings and independent juvenile birds have been recorded from mid-July to early August. Dispersal from the breeding range begins in August and September, with birds appearing in southeastern Kazakhstan from the end of October to early November, and remaining there until mid-May.",0.9631268978118896,0.9377008676528931,0.9629589319229126,0.948447048664093,0.9402389526367188,0.9719706177711487,0.8012177348136902
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],[],0,"Euphorbia micromera is a species of flowering plant in the family Euphorbiaceae. It is known by the common name Sonoran sandmat. It is native to the southwestern United States from California to Texas, and northern Mexico, where it grows in sandy soils in desert and other dry habitat. It is an annual herb forming a small mat of slender stems. The hairy to hairless leaves are oblong in shape and just a few millimeters long. The tiny inflorescence is a cyathium less than a millimeter wide. It lacks the appendages that many similar species have in their cyathia. It has only a central female flower and 2 to 5 male flowers surrounded by round red nectar glands. The fruit is a minute round capsule.",0.9831284284591675,0.002405936596915126,0.025840314105153084,0.11147946119308472,0.0012601664057001472,0.00893058255314827,0.02285401150584221
What part of north africa is this plant native to?,Not native to North Africa.,['western'],[],0,"Garrya flavescens is a species of flowering shrub, known by the common name ashy silktassel. The plant is native to the southwestern United States, and Baja California, Sonora, and Chihuahua in Mexico. It grows in many habitats, including dry forest, desert, and chaparral.",0.9518242478370667,0.0013447680976241827,0.00031018111621961,0.00030770961893722415,0.0002696310402825475,0.00032982113771140575,0.0003379508852958679
Are there periods of high or low nectar production for this bird?,No specific mention of nectar production periods in the text.,['low'],[],0,"It is found in subtropical or tropical moist montane forests, including Juniper and Podocarpus forest, and in subtropical or tropical moist shrubland and gardens.",0.3816961348056793,0.0006578273023478687,0.00026163546135649085,0.00028908535023219883,0.0003025121695827693,0.00031175120966508985,0.0002681523037608713
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],[],1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",0.9927486777305603,0.9566069841384888,0.6245105862617493,0.36158645153045654,0.5617973208427429,0.5937860012054443,0.47462502121925354
What are the common names of this plant?,North Park phacelia,['vinegarweed and camphor weed'],[],0,"Phacelia formosula is a rare species of flowering plant in the borage family known by the common name North Park phacelia. It is endemic to the state of Colorado in the United States, where it is known only from the North Park region in Jackson County. It is threatened by a number of human activities, such as motorcycle and off-road vehicle use in its habitat. It is a federally listed endangered species of the United States. This plant was first collected on August 6, 1918, near Walden, Colorado. It was placed on the US Endangered Species List on September 1, 1982. There are eight to eleven occurrences of the plant for a total of fewer than 5000 individuals. All but two of the occurrences are small. This biennial herb grows to a maximum height around 22 centimeters. The leaves have blades deeply cut into lobes. The inflorescence is a scorpioid cyme, an array of branches curved into a curl that resembles the tail of a scorpion. Blooming occurs in July and August. The flowers are pollinated by insects, including the pollen wasp Pseudomasaris zonalis. The plant only grows in North Park, a large basin in northern Colorado. There it is limited to ravines and bare slopes of eroding rock originating from the Coalmont Formation. The substrate is sandy and rust-colored and it contains coal. Few other plants grow on the slopes.  The decomposing rock slopes are popular with off-road vehicle users. The vehicles erode the substrate, disturbing the plants. Other threats include trampling and grazing by livestock, coal extraction, and petroleum exploration.",0.9931648373603821,0.6007139086723328,0.1994706690311432,0.22318769991397858,0.04798227176070213,0.2357710599899292,0.30155447125434875
