question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1993,['1993'],"['1993', '1993', '1993', '1993', '1993', '1993', '1993', '1993', '1993', '1993']",1,"Jonathan Raban's 1999 travel memoir Passage to Juneau describes the history of the pass and Raban's passage through it in a 30ft yacht.  The 2002 horror movie The Ring was in part filmed near the pass. The bridge is fictionalized as a toll bridge named ""Desolation Bridge"" in season one of The Killing. Seattle shoegaze act The Sight Below filmed the 2008 video for their track ""Further Away"" at Deception Pass, with Deception Island's scenic imagery prominently featured. Seattle grunge band Mudhoney named a song on their 1993 EP Five Dollar Bob's Mock Cooter Stew ""Deception Pass."" Seattle progressive rock band Queensrÿche filmed scenes of their video ""Anybody Listening"" near Deception Pass and Deception Island.",-2.7755575615628914e-16,2.902320408650404e-06,-1.716606493573636e-06,0.9999985694895486,0.985676646232605,0.9669548273086548,0.8082281351089478,0.7209953665733337,0.965809404850006,0.6271052956581116,0.8538220524787903,0.3865780532360077,0.7900920510292053,0.4013738632202148,0.8024582266807556,0.7186552286148071,0.7116633653640747,0.2222079932689666,0.0260798521339893,0.0088576218113303,0.193326935172081,0.4642007052898407,0.1996842175722122,0.0908366218209266,0.4395877420902252,0.0946910083293914,0.3078091740608215,0.6452710032463074,0.595620334148407,3.47158604085962e-08
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",soldiers,['soldiers'],"['soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers', 'soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-6.106226635438361e-16,0.9988333836632732,-0.000505343505587,0.9999998807907176,0.9850510358810424,0.9873673915863036,0.8848194479942322,0.8521414399147034,0.9525290727615356,0.6549078822135925,0.8691366314888,0.6942468285560608,0.3675963282585144,0.4045419692993164,0.6096823811531067,0.3209862112998962,0.7362645268440247,0.3187812566757202,0.0492114275693893,0.2363025397062301,0.096054695546627,0.4162739515304565,0.0131446560844779,0.0360428504645824,0.0872643738985061,0.0285126380622386,0.0421074070036411,0.25098317861557,0.003042564028874,0.02012939378619194
How many webby awards has this museum won for best science website?,Four,['four'],"['Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four', 'Four']",1,"Online since 1992, the Exploratorium was one of the first museums to build a site on the World Wide Web. The site serves 13 million visitors each year. It has received six Webby Awards since 1997, including four for Best Science Website and one for Best Education website, and has been an honoree an additional ten times. The Exploratorium's website is an extension of the experiences on the museum's floor and provides a large number of hands-on activities and exhibits for online-only visitors. The Exploratorium also broadcasts live video and/or audio directly from the museum floor (or from satellite feeds in the field, at such locations as Antarctica or the Belize rainforest) onto the Internet from its Webcast Studio. Webcasts provide access to special events, scientists, and other museum resources for audiences on the Web.",-4.440892098500626e-16,4.785117392129009e-06,-0.0020560754805956,0.9999982118622556,0.9839805960655212,0.1535443663597107,0.3914173543453216,0.0439862161874771,0.8574600219726562,0.0318217910826206,0.8582273721694946,0.6891856789588928,0.0743430033326149,0.2911834120750427,0.6009748578071594,0.2554519176483154,0.8077484965324402,0.3451375663280487,0.0239590033888816,0.1816156208515167,0.0618830733001232,0.4062496423721313,0.0260883662849664,0.2726476788520813,0.0832810550928115,0.1227092146873474,0.0836137607693672,0.210835799574852,0.2027022242546081,0.22228385508060455
What kind of trains stop at this railway station?,CRH high-speed trains and Beijing Suburban Railway trains,['CRH high-speed trains'],"['CRH high-speed trains and Beijing Suburban Railway trains', 'CRH high-speed trains (for Beijing-Zhangjiakou intercity) and S2 suburban', 'CRH high-speed trains and Beijing Suburban Railway trains', 'CRH high-speed trains and Beijing Suburban Railway trains', 'CRH high-speed trains and S2 suburban trains', 'CRH high-speed trains (for Beijing-Zhangjiakou intercity) and S2 suburban', 'CRH high-speed trains (for Beijing-Zhangjiakou intercity) and S2 suburban', 'CRH high-speed trains (for Beijing-Zhangjiakou intercity) and S2 suburban', 'CRH high-speed trains and S2 suburban trains', 'CRH high-speed trains and S2 suburban trains']",0,"Two China Railway lines serve Badaling: The Beijing-Zhangjiakou intercity railway has CRH high-speed trains running from Beijing North Station, stopping at the underground Badaling Great Wall Station. Line S2 of the Beijing Suburban Railway serves people who want to go to the at-grade Badaling Station from Huangtudian Station.",-0.0296757648974907,0.9959189945593696,-0.134554099313537,0.9999036835327718,0.9458656311035156,0.3606771826744079,0.0412500537931919,0.2128223478794098,0.2839852273464203,0.2719226777553558,0.0786488726735115,0.001238789060153,0.0003292681649327,0.003341969801113,0.0004787543439306,0.002451013540849,0.0002987201733049,0.3773069679737091,0.0152454208582639,0.317577987909317,0.004840753506869,0.4746679365634918,0.0215816460549831,0.0058631980791687,0.0007687009056098,0.064043790102005,0.0008518621907569,0.0162438545376062,0.0004962899256497,0.17965960502624512
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-3.3306690738754696e-16,1.0,-0.0637257304479135,0.9999997615814492,0.9767127633094788,0.9802398085594176,0.9334504008293152,0.8731315732002258,0.9274827837944032,0.9313775897026062,0.8862654566764832,0.950573980808258,0.9875195026397704,0.9598041772842408,0.9881762266159058,0.9385669231414796,0.9794394373893738,0.046689610928297,0.0876806378364563,0.011705795302987,0.3983572125434875,0.300925612449646,0.1738345026969909,0.0161514859646558,0.2361266762018203,0.0077589973807334,0.4812900424003601,0.0138667002320289,0.4052731990814209,0.03899131715297699
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-6.106226635438361e-16,1.0,-0.0386330788023769,0.9999938011361564,0.9824004173278807,0.9889272451400756,0.9327524304389954,0.8258654475212097,0.9469555020332336,0.9852330088615416,0.9423961043357848,0.8842154145240784,0.8531197309494019,0.8293231129646301,0.988962471485138,0.9240432381629944,0.6303380727767944,0.0831865817308425,0.2593404650688171,0.011926501058042,0.5433937311172485,0.3121991753578186,0.3824435174465179,0.0047634216025471,0.1240435987710952,0.0025556785985827,0.6220355033874512,0.0103951599448919,0.9099437594413756,0.03125620260834694
What part of north africa is this plant native to?,Morocco,['western'],"['Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco', 'Morocco']",0,"Cistus albidus is native to the west of Southern Europe and western North Africa, particularly around the Mediterranean, including Portugal, Spain, the Balearic Islands, France, Corsica, Italy, Sardinia, and Morocco.",-4.440892098500626e-16,0.9999996423721952,-0.0017497270982763,0.9999833108387284,0.9889348149299622,0.0448872968554496,0.425483226776123,0.2585115432739258,0.51173996925354,0.4507440328598022,0.8916467428207397,0.5090141296386719,0.0206837449222803,0.2463846802711486,0.5252105593681335,0.4584915041923523,0.3713389933109283,0.7816666960716248,0.2753942310810089,0.4359403252601623,0.0670910477638244,0.7634394764900208,0.4871296286582947,0.6714596748352051,0.2000554800033569,0.7743886113166809,0.205000638961792,0.7570788860321045,0.4876309633255005,0.013109199702739716
Are there periods of high or low nectar production for this bird?,There are periods of high and low nectar production.,['low'],"['There are periods of high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of high and low nectar production.', 'There are periods of high and low nectar production.', 'There are periods of both high and low nectar production.', 'There are periods of both high and low nectar production.', 'Periods of high nectar production; low nectar production occurs during some times, prompting the bird', 'Periods of high nectar production; low nectar production occurs during some times.', 'Periods of high nectar production; low nectar production occurs during some times.', 'There are periods of both high and low nectar production.']",0,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-0.0084298165470568,0.9999998807907176,-0.1731990934349537,0.9999985694895486,0.9789165258407592,0.9743326902389526,0.4561268985271454,0.8228974938392639,0.8358525633811951,0.765852689743042,0.6979423761367798,0.0006974379648454,0.00027514793328,0.0064314506016671,0.0004855995357502,0.0028447473887354,0.0003503094776533,0.3045685887336731,0.0154060469940304,0.1390709280967712,0.0189034957438707,0.5493316054344177,0.0032290234230458,0.0059701288118958,0.0007134100887924,0.0036689569242298,0.0007827474037185,0.0759559124708175,0.0005236332071945,0.10484781861305237
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-7.771561172376097e-16,0.0067379469990854,-0.004934075570721,0.9398718726030456,0.9927486777305604,0.9687745571136476,0.8499255776405334,0.7856969237327576,0.9415683150291444,0.9132927060127258,0.8704627752304077,0.6362178921699524,0.1038355678319931,0.598665177822113,0.4882877171039581,0.9566069841384888,0.6245105862617493,0.7337596416473389,0.1652286499738693,0.2159316837787628,0.2120770215988159,0.696330726146698,0.1804092824459076,0.3667695820331573,0.3720419704914093,0.3556460440158844,0.6527938842773438,0.196754902601242,0.7033253908157349,0.009510070085525513
What are the common names of this plant?,Vinegarweed and camphor weed,['vinegarweed and camphor weed'],"['Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed', 'Vinegarweed and camphor weed']",1,"Trichostema lanceolatum, with the common names vinegarweed and camphor weed, is an annual flowering herb of the mint family native to western North America. The common name 'vinegarweed' originated due to its foliage containing volatile oils that have a strong vinegar odor.  The oils have phytotoxic properties, which help the plant compete by killing or injuring other plant species.",-1.054711873393899e-15,0.9999998807907176,-0.006808000951775,0.9999995231629556,0.9871711134910583,0.006879067979753,0.0485941655933856,0.0259061474353075,0.0295942705124616,0.4176406562328338,0.4730694890022278,0.3749308288097381,0.0028098351322114,0.0954079627990722,0.0436698086559772,0.4871048629283905,0.0511573888361454,0.5676320791244507,0.0055547221563756,0.3147789239883423,0.0035451282747089,0.6641926765441895,0.0189974624663591,0.0249500721693038,0.0024614178109914,0.0414806604385376,0.0007954092579893,0.1496765315532684,0.0009968641679733,0.660193920135498
