question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1990,['1993'],"['2004', 'Never', '20 years', '1962', '1990', '1985', ""Late 1980's"", '80s', '1997', '1990']",0,"Haro Strait and other waters flanking the Gulf Islands and San Juans were the home of Straits Salish peoples including the Lummi, Saanich, and Klallam, but the route's natural importance as a regional waterway made it also an important sea-route for raiding and also for regular trade for all marine peoples of the Northwest Coast. Haro Strait was named in 1790 by Manuel Quimper, commander of Princesa Real, in honor of his pilot, Gonzalo López de Haro.  In 1791 Francisco de Eliza sent José María Narváez far into the Strait of Georgia via Haro and Rosario Straits. In 1792 Haro Strait was explored and mapped by George Vancouver. An alternate theory about the naming was proposed by Edmond S. Meany, who suggested that Haro Strait was named for Alonso Núñez de Haro y Peralta, Archbishop of Mexico from 1772 to 1800, and, for several months during 1787, Viceroy of New Spain. Haro Strait's status as the location of the international boundary was not established until the resolution of the San Juan Islands dispute in 1870, when it was selected by an arbitrator, German Kaiser Wilhelm I, over Rosario Strait, on the eastern side of the San Juans, which was preferred by the British and would have made the San Juans part of British Columbia, as they were originally viewed to be by the British after the Oregon Treaty of 1846. Haro Strait is also an important location for the regional commercial fishery, as the bulk of the Fraser River salmon run uses the Haro Strait to enter that river. D'Arcy Island on the Canadian side of the strait was a leper colony for Chinese immigrants in the 19th century. Older USGS maps, such as the 1976 edition of the Victoria quadrangle (1:250,000 scale), show Haro Strait as encompassing Boundary Pass, passing south of Saturna Island.",-6.668115341421012,0.9833254005886788,-0.9726510697414374,0.3162041633400879,0.061013113707304,0.0026575322262942,0.0032784207724034,0.0038596785161644,0.1344732791185379,0.0021515653934329,0.0148701649159193,0.0023362983483821,0.0011214397381991,0.0015355758368968,0.0025238490197807,0.001636169035919,0.0019281132845208,0.0090917833149433,0.1732633262872696,0.0019279978005215,0.0529119744896888,0.0738504156470298,0.0211589895188808,0.0012300529051572,0.0023109358735382,0.0017164626624435,0.0036316446494311,0.0021430542692542,0.014618239365518,0.0325927734375
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Servants,['soldiers'],"['Soldiers', 'Convicts', 'Soldiers', 'Servants', 'Soldiers', 'Native islanders', 'Soldiers', 'Men', 'Servants', 'Men']",0,"A well-known haiku describes the islands as so striking that the poet is at a loss for words: 松島やああ松島や松島や Matsushima ya / aa Matsushima ya / Matsushima ya     Matsushima ah! / A-ah, Matsushima, ah! / Matsushima, ah! While often attributed to Matsuo Bashō, the earliest known publication is in the Matsushima Zushi (松島図誌),  published in 1820 over a century after Bashō's death, which attributes it to the kyōka poet Tawara-bō (田原坊).  While Bashō did visit Matsushima in Oku no Hosomichi, its only haiku about Matsushima was written by his travel comparison Kawai Sora.",-3.644827958865159,0.9693959307102232,-0.8687135936195652,0.0170054950316485,0.3521988093852997,0.5389197468757629,0.3270435035228729,0.2055441886186599,0.7165889143943787,0.183027982711792,0.4336016178131103,0.0138239450752735,0.1409669369459152,0.055068202316761,0.6309632062911987,0.0207324605435132,0.0892742723226547,0.0259096100926399,0.0195891931653022,0.095440998673439,0.1617095470428466,0.0469779409468174,0.0092796012759208,0.0025173272006213,0.0265610516071319,0.0029665327165275,0.0480179786682128,0.0020775236189365,0.0055067879147827,0.1781005859375
How many webby awards has this museum won for best science website?,1,['four'],"['2', '2', '1', '2', '0', '6', '2', '2', '0', '25']",0,"Grant Olney Passmore (born October 18, 1983) is a singer-songwriter who has recorded on the Asian Man Records label. He is considered part of the New Weird America movement along with David Dondero, Devendra Banhart, Bright Eyes, and CocoRosie.  His latest full-length album, Hypnosis for Happiness, was released in July 2013 on the Friendly Police UK label. His previous full-length album, Brokedown Gospel, was released on the Asian Man Records label in July 2004.  He also releases music under the pseudonym Scout You Devil and as part of the songwriting duo Olney Clark. Alongside his music, Passmore is also a mathematician and theoretical computer scientist, formerly a student at the University of Texas at Austin, the Mathematical Research Institute in the Netherlands, and the University of Edinburgh, where he earned his PhD.  He is a Life Member of Clare Hall, University of Cambridge and is cofounder of the artificial intelligence company Imandra Inc. (formerly known as Aesthetic Integration) which produces technology for the formal verification of algorithms. He was paired with artist Hito Steyerl in the 2016 Rhizome Seven on Seven. As a young child and early teenager, Passmore was involved in the development of the online Bulletin Board system scene, and under the name skaboy he was the author of many applications of importance to the Bulletin Board System community, including the Infusion Bulletin Board System, Empathy Image Editor, Avenger Packer Pro, and Impulse Tracker Tosser.  Passmore was head programmer for ACiD Productions while working on many of these applications.",-5.692099788303083,0.975673101611027,-0.7463595842942595,0.0224846623623666,0.2592282891273498,0.0119876638054847,0.0022244532592594,0.010972024872899,0.0051963343285024,0.00335398549214,0.0106327589601278,0.0024130600504577,0.0330948792397975,0.0030219589825719,0.6749182939529419,0.0267187971621751,0.1364260911941528,0.0130341928452253,0.1770215928554535,0.0343788340687751,0.1792462468147277,0.0595705993473529,0.1223191916942596,0.0172932464629411,0.0837407112121582,0.0310324486345052,0.0056376513093709,0.0601071305572986,0.0865989178419113,0.00579833984375
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],"['Passenger', 'Passenger', 'None', 'Passenger', 'Passanger', 'Passenger', 'Passenger', 'No trains', 'Passenger', 'Passenger train']",0,"In the middle of the platform's base there is an arched portal - where people, carts, horsemen, and palanquins could pass through. Many images of people and animals were carved inside the arched gate tunnel and around the portal.",-2.525639993866479,0.9864286864348936,-0.7661119514222567,0.0410337912457237,0.9430511593818665,0.1832835972309112,0.1499367356300354,0.0806845054030418,0.6397597193717957,0.083901822566986,0.2215632051229477,0.0178761519491672,0.0686570405960083,0.0685276314616203,0.1736166328191757,0.0077635766938328,0.0638684183359146,0.0007633760105818,0.0848672166466713,0.0032964178826659,0.1289572417736053,0.0020487157162278,0.1037813574075698,0.0050740321166813,0.037381138652563,0.0363622680306434,0.0026892102323472,0.0025035762228071,0.0531462579965591,0.1124267578125
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Not preferred,['favoured'],"['No', 'Not preferred', 'Not preferred', 'Preferred', 'Not preferred', 'Yes', 'Not', 'Not preferred', 'Preferred', 'Preferred']",0,"The birds breed in the Altai from May, with scattered pairs nesting some distance from one another. A nest recorded in early May in a birch tree was built 5 m above the ground of thin twigs and dry grass lined with thin rootlets and hair. Fledglings and independent juvenile birds have been recorded from mid-July to early August. Dispersal from the breeding range begins in August and September, with birds appearing in southeastern Kazakhstan from the end of October to early November, and remaining there until mid-May.",-3.088219754048953,0.8365518325513356,-0.7332823371165431,0.572292263023914,0.3129175007343292,0.0647087022662162,0.0597909577190876,0.0598815567791461,0.0091038113459944,0.0201934892684221,0.0026160543784499,0.0011363989906385,0.0006112974951975,0.002991885645315,0.0026186921168118,0.0014373310841619,0.0014785102102905,0.0025596567429602,0.1074057891964912,0.0027250577695667,0.2023169547319412,0.0105089154094457,0.0401161685585975,0.0010012014536187,0.0009269900037907,0.0008386129047721,0.0022196166682988,0.0008189841173589,0.0023097796365618,0.06689453125
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],"['Known', 'Unknown', 'Known', 'Known', 'Unknown', 'Known', 'Unknown', 'Known', 'Unknown', 'Known']",0,"Euphorbia micromera is a species of flowering plant in the family Euphorbiaceae. It is known by the common name Sonoran sandmat. It is native to the southwestern United States from California to Texas, and northern Mexico, where it grows in sandy soils in desert and other dry habitat. It is an annual herb forming a small mat of slender stems. The hairy to hairless leaves are oblong in shape and just a few millimeters long. The tiny inflorescence is a cyathium less than a millimeter wide. It lacks the appendages that many similar species have in their cyathia. It has only a central female flower and 2 to 5 male flowers surrounded by round red nectar glands. The fruit is a minute round capsule.",-3.0983866769659327,0.8879539022493925,-0.274559982745753,0.6791162960403334,0.9530632495880128,0.0092088477686047,0.0473351031541824,0.039037138223648,0.1096172481775283,0.0049926340579986,0.0111996345221996,0.0029175386298447,0.0004275016253814,0.0087938848882913,0.0414967015385627,0.0061695738695561,0.0293125361204147,0.0054096337407827,0.0613160729408264,0.0009927876526489,0.1108453869819641,0.0037856448907405,0.0742934718728065,0.0015654504531994,0.0024111897218972,0.0013446228113025,0.0099389189854264,0.001396091771312,0.1022801026701927,0.0712890625
What part of north africa is this plant native to?,,['western'],"['Sahara', 'Sahara', 'None', 'Morocco', 'Morocco', 'North', 'North africa', 'Morocco', 'North africn not this', 'None']",0,"Garrya flavescens is a species of flowering shrub, known by the common name ashy silktassel. The plant is native to the southwestern United States, and Baja California, Sonora, and Chihuahua in Mexico. It grows in many habitats, including dry forest, desert, and chaparral.",-5.331179479310092,0.7830906351884288,-1.0551434315430623,0.5357844000734205,0.6119500994682312,0.0015060517471283,0.0016087114345282,0.0063887415453791,0.002199521753937,0.0009530471870675,0.0012257500784471,0.0007815559511072,0.0003926024364773,0.0007658788235858,0.0028291752096265,0.0006396927055902,0.0004528290592133,0.0009969437960535,0.0027139191515743,0.0006718285731039,0.0074370787478983,0.0012690960429608,0.001627989928238,0.0008791871950961,0.0008944749715737,0.001087722601369,0.001036177505739,0.000854896439705,0.0009912924142554,0.02435302734375
Are there periods of high or low nectar production for this bird?,Low,['low'],"['No', 'High', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,"It is found in subtropical or tropical moist montane forests, including Juniper and Podocarpus forest, and in subtropical or tropical moist shrubland and gardens.",-4.011967356540908,0.9150787817063576,-0.7781582427211106,0.1842602257741653,0.384590208530426,0.1686150878667831,0.4478503465652466,0.1943596601486206,0.2399885505437851,0.2332375794649124,0.317568689584732,0.0106606902554631,0.2085037976503372,0.0740362554788589,0.3451377749443054,0.0260232184082269,0.0659841671586036,0.0019757966510951,0.0285342149436473,0.0052183680236339,0.0590398572385311,0.035969752818346,0.005724009592086,0.0011539683910086,0.0045037022791802,0.0011532930657267,0.0289086326956748,0.0015877971891313,0.1002329736948013,0.0919189453125
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Spain', 'Philippine', 'Macau', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-3.162331618098458,0.978237130289766,-0.604451488587074,0.6412499647294284,0.630157470703125,0.3147264122962951,0.4653920531272888,0.2910752892494201,0.4718561768531799,0.2952819764614105,0.7484832406044006,0.1805034279823303,0.0338956676423549,0.2989354133605957,0.5034245848655701,0.8068752884864807,0.0381928607821464,0.7769441604614258,0.0636907741427421,0.4098870754241943,0.0252501685172319,0.6092983484268188,0.6516106724739075,0.4447695314884186,0.3002772033214569,0.5950912237167358,0.0603659451007843,0.0863593220710754,0.267076164484024,0.00390625
What are the common names of this plant?,North park phacelia,['vinegarweed and camphor weed'],"['Phacelia', 'North park phacelia', 'North park phacelia', 'North park phacelia', 'North Park phacelia', 'North park phacelia', 'Borage family', 'North park phacelia', 'Phacelia', 'North park phacelia']",0,"Phacelia formosula is a rare species of flowering plant in the borage family known by the common name North Park phacelia. It is endemic to the state of Colorado in the United States, where it is known only from the North Park region in Jackson County. It is threatened by a number of human activities, such as motorcycle and off-road vehicle use in its habitat. It is a federally listed endangered species of the United States. This plant was first collected on August 6, 1918, near Walden, Colorado. It was placed on the US Endangered Species List on September 1, 1982. There are eight to eleven occurrences of the plant for a total of fewer than 5000 individuals. All but two of the occurrences are small. This biennial herb grows to a maximum height around 22 centimeters. The leaves have blades deeply cut into lobes. The inflorescence is a scorpioid cyme, an array of branches curved into a curl that resembles the tail of a scorpion. Blooming occurs in July and August. The flowers are pollinated by insects, including the pollen wasp Pseudomasaris zonalis. The plant only grows in North Park, a large basin in northern Colorado. There it is limited to ravines and bare slopes of eroding rock originating from the Coalmont Formation. The substrate is sandy and rust-colored and it contains coal. Few other plants grow on the slopes.  The decomposing rock slopes are popular with off-road vehicle users. The vehicles erode the substrate, disturbing the plants. Other threats include trampling and grazing by livestock, coal extraction, and petroleum exploration.",-1.8766863437754224,0.9750033900122558,-0.3825252343046789,0.6316166367845789,0.7182196378707886,0.003588784020394,0.0018818286480382,0.013515081256628,0.0451517589390277,0.0615202561020851,0.1086626276373863,0.0102812880650162,0.0005138702690601,0.0026964428834617,0.0009743687114678,0.0521497763693332,0.000885835266672,0.1563256382942199,0.4172662794589996,0.0369568169116973,0.0801044628024101,0.6454053521156311,0.5509848594665527,0.0094163548201322,0.3882778286933899,0.0095405681058764,0.0104556092992424,0.0108461007475852,0.0830055475234985,0.2293701171875
