question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,66,['59.0-77.0'],"['20 days', '66', '66', '65', '66', '66 days', '66', '63', '66', '66']",0,"Skunks mate in early spring and are polygynous (that is, successful males are uninhibited from mating with additional females.) Before giving birth (usually in May), the female excavates a den to house her litter of four to seven kits. Skunks are placental, with a gestation period of about 66 days. When born, skunk kits are blind and deaf, but already covered by a soft layer of fur. About three weeks after birth, they first open their eyes; the kits are weaned about two months after birth. They generally stay with their mother until they are ready to mate, roughly at one year of age. The mother is protective of her kits, spraying at any sign of danger. The male plays no part in raising the young.",-3.5296393890684303,0.9575613580025846,-0.441785178463906,0.753550694578591,0.6829813718795776,0.0051542879082262,0.0085294535383582,0.0147644719108939,0.0543687976896762,0.6688015460968018,0.634312629699707,0.0080777555704116,0.0036365743726491,0.0053908633999526,0.0333440452814102,0.052732940763235,0.1561890095472335,0.0680120587348938,0.2596845030784607,0.3517630696296692,0.1472524851560592,0.5983919501304626,0.2477942407131195,0.0174302887171506,0.0036500960122793,0.0277248993515968,0.0059857689775526,0.0208010505884885,0.1920326203107834,0.000980377197265625
What is the length of this vehicle in millimetre?,4200,['4020'],"['2020', '180', '4000', '4700', '4,492', '4315', '4600', '4615', '4500', '4200']",0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",-8.911917316228791,0.9516184955726996,-0.9139975360222165,0.3466047100489416,0.0299921575933694,0.0032136710360646,0.0014281825860962,0.0037099218461662,0.0092234732583165,0.0013906472595408,0.0511669106781482,0.0008568586199544,0.0004243990406394,0.0008120140992105,0.0031098215840756,0.0008780813077464,0.0021066323388367,0.0011856203200295,0.0563169941306114,0.004367372021079,0.0147580103948712,0.0053514400497078,0.0095969717949628,0.0020690229721367,0.0016157027566805,0.003318402217701,0.0010180886602029,0.0017320291372016,0.0029944740235805,0.0129241943359375
What is the closest parent taxonomy of this bird?,Sparrow,['Protonotaria'],"['Passeridae', 'Sparrow', 'Warbler', 'Warbler', 'Sparrow', 'Sparrow', 'Bird', 'Sparrow', 'Spatulate', 'Parrot']",0,The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is the only member of the genus Protonotaria.,-5.001528431230722,0.9736356321341704,-0.9462686344566464,0.4981882089432348,0.2707851231098175,0.0364986211061477,0.017312778159976,0.0307725761085748,0.0393368937075138,0.0650300234556198,0.0193149615079164,0.0092216031625866,0.0088666472584009,0.0105998134240508,0.0341742597520351,0.0239377189427614,0.0155814243480563,0.0005869636661373,0.0325011201202869,0.0004901635111309,0.0237480960786342,0.0005603790050372,0.0049794386141002,0.0010153831681236,0.033690471202135,0.0016062839422374,0.0136345131322741,0.0007905915263108,0.1575643420219421,0.1488037109375
What is the immediately prior item that this organization follows in a series?,Royal navy,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal navy', 'Royal navy', 'Royal navy', 'Group captain', 'Aircraft', 'Air force', 'Royal navy', 'British air force', 'Army', 'Airplane']",0,"The Royal Air Force (RAF) is the United Kingdom's aerial warfare force. It was formed towards the end of the First World War on 1 April 1918, becoming the first independent air force in the world, by regrouping the Royal Flying Corps (RFC) and the Royal Naval Air Service (RNAS). Bruce Dickinson was honurerd with Honorary Group Capitan RAF title.",-4.155447982765924,0.8057817274128847,-1.1892673752784808,0.3806708026074551,0.3873372673988342,0.0354544967412948,0.0046483539044857,0.0190946161746978,0.0071695973165333,0.0150261353701353,0.012189463712275,0.0019357446581125,0.0020125722512602,0.003213437506929,0.0079901255667209,0.0009817063109949,0.0016799953300505,0.0009364719735458,0.0169960055500268,0.0008012949256226,0.0157599654048681,0.0007446872768923,0.0040093273855745,0.0010637250961735,0.0419277288019657,0.0016505058156326,0.0011700997129082,0.0010878822067752,0.0064331660978496,0.10955810546875
What is the country of origin of this food?,United states,['United States of America'],"['United states', 'American', 'Usa', 'America', 'United states', 'United states', 'Usa', 'United states', 'United state', 'Usa']",0,"A grilled cheese sandwich is made by placing a cheese filling, often cheddar or American cheese, between two slices of bread, which is then heated until the bread browns and the cheese melts.  A layer of butter or mayonnaise may be added to the outside of the bread for additional flavor and texture. Alternatives may include additional ingredients, such as peppers, tomatoes, or onions. Methods for heating the sandwich include cooking on a griddle, fried in a pan, or using a panini grill or sandwich toaster, the latter method more common in the United Kingdom, where the sandwiches are normally called ""toasted sandwiches"" or ""toasties"", in Australia, where they are called ""jaffles"" or ""toasted sandwiches"", and South Africa, where they are called “snackwiches”. Other methods include baking in an oven or toaster oven — or in a toasting bag in an electric toaster. The sandwich is typically served as a snack or lunchtime meal, often with a side of salad, soup, french fries, or other accompaniment.",-0.0080208904066834,0.9848720642326876,-0.7431539321240658,0.5339562318279976,0.3104136884212494,0.0165813863277435,0.0288802459836006,0.0230708215385675,0.0138200055807828,0.3256499469280243,0.1269453167915344,0.00430274521932,0.0025529856793582,0.0214651823043823,0.0041245594620704,0.0133182648569345,0.0065732011571526,0.001874792156741,0.0171699244529008,0.0052580405026674,0.0162052661180496,0.0036082237493246,0.0066185272298753,0.0009546356741338,0.0103823402896523,0.0011263742344453,0.0011982390424236,0.0009459691355004,0.0013940125936642,0.161376953125
What is the minimum height of this animal in centimetre?,25,['36'],"['25', '25', '25', '25', '25', '20', '25', '55', '15', '26']",0,"Dogs stand about 25 cm at the withers, females slightly less. The coat may be black, brownish, dark grizzle, golden, honey, parti-colour, sandy, slate-coloured, smoke-coloured or white. It is thick and heavy, with a hard straight outer coat and a medium under-coat. The eyes are dark and the nose is black, and the ears are pendant. The tail is curved, sometimes with a kink at the tip, and should be carried over the back. It ranks 68th (out of 138) in Stanley Coren's The Intelligence of Dogs, having fair working-obedience intelligence. The Lhasa Apso is a long-lived breed, with many living in good health into their early 20s. A 2004 Kennel Club survey puts the median lifespan of the breed at 14 years 4 months. UK vet clinic data puts the median at 13.0 years.",-4.299417664479551,0.9626302113026796,-0.5574557043379172,0.336269031638294,0.2118913680315017,0.0153239360079169,0.0063995448872447,0.0205407254397869,0.0680087283253669,0.0367465838789939,0.159802034497261,0.0017094591166824,0.0066192857921123,0.0015944108599796,0.0188422445207834,0.0116229532286524,0.0482506640255451,0.1008447259664535,0.2898336946964264,0.0972212851047515,0.4229697287082672,0.4230506420135498,0.255022794008255,0.0258094705641269,0.0142496470361948,0.0289860647171735,0.0040310663171112,0.0372419357299804,0.0682390630245208,0.005298614501953125
Who designed this building?,Harald Julius von Bosse,['Joseph Michaud | Victor Bourgeau'],"['Harald Julius von Bosse', 'Harald Julius von Bosse', 'Harald Julius von Bosse', 'Harald Julius von Bosse', 'Victor horta', 'Harald Julius von Bosse', 'Harald Julius Von Bosse', 'Gauguin', 'Henry Hobson Richardson', 'Not provided']",0,"Kapelle der Versöhnung, Berlin, Germany. Mary, Queen of the World Cathedral, Montreal, Canada. Reformed Church, Dresden, designed by Harald Julius von Bosse (demolished 1963). Ringkirche, Wiesbaden, designed by Johannes Otzen. Sacred Heart Church (Kőszeg, Hungary), designed by Ludwig Schöne. St. Peter's Church, Jaffa. Colegio de Santa Maria de Jesús in Barcelona, Spain, designed by Antoni Gaudí. Columbus Hall (school and theater)  in Orange, NJ designed by Jeremiah O'Rourke. Antiguo Cuartel Militar Español de Ponce, Puerto Rico. Sisters of Charity Hospital, Zagreb, Croatia. Reichstag in Berlin, designed by Paul Wallot. Royal Museum of Fine Arts, Antwerp, designed by Jean-Jacques Winders and Frans Van Dijk. Guaranty Building, Buffalo, New York, designed by Louis Sullivan. Hôtel Tassel (town house), Brussels, designed by Victor Horta. Hurlbut Memorial Gate, Detroit, Michigan, USA. Lululaund, a house for Hubert von Herkomer at Bushey, England, based on a design by Henry Hobson Richardson (d. 1886) (demolished 1939). Rebuilt Köln Hauptbahnhof railway station in Cologne, Germany, designed by E. Grüttefie (engineer) and Georg Frentzen (architect). Negril Lighthouse, Jamaica. De Arend, Coevorden (smock mill), Netherlands.",-5.344064617135967,0.98853817782778,-0.830087888933714,0.1830049298376523,0.5036337971687317,0.0030885350424796,0.002083029365167,0.0112243210896849,0.1192128509283065,0.1112307459115982,0.1348148137331009,0.0060074925422668,0.0005288727115839,0.005660496186465,0.0166775621473789,0.0291207861155271,0.0003964446077588,0.1280900985002517,0.3196584284305572,0.0458653569221496,0.2176857590675354,0.4600506722927093,0.0919297859072685,0.0104360505938529,0.0057841362431645,0.0074740555137395,0.0016049615805968,0.0104502374306321,0.0006825549062341,0.22998046875
Who is the owner of this building?,Cecil chubb,['National Trust'],"['Chubb', 'Cecil chubb', 'Sir Cecil Herbert Edward Chubb', 'Cecil chubb', 'Cecil chubb', 'Cecil', 'Chubb', 'Cecil chubb', 'Cecil chubb', 'Cecil chubb']",0,"Sir Cecil Herbert Edward Chubb, 1st Baronet (14 April 1876 – 22 September 1934), was the last private owner of Stonehenge prehistoric monument, Wiltshire, which he donated to the British government in 1918.",-2.049988459632975,0.986376006866222,-0.2928866630075694,0.7641104220730968,0.5071121454238892,0.0018216269090771,0.0018949853256344,0.0065248664468526,0.0032678404822945,0.5594798922538757,0.0107301454991102,0.0148741826415061,0.0006192322471179,0.0071483366191387,0.0022944817319512,0.0245639625936746,0.0004855682782363,0.8293459415435791,0.0698199123144149,0.6523735523223877,0.0456648953258991,0.785337507724762,0.0672738701105117,0.0075127212330698,0.0499353893101215,0.0099560227245092,0.0008652762044221,0.0009825030574575,0.0444337502121925,0.1473388671875
this organization is a division of which business group?,Air france,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal', 'Aerofrank', 'Air france', 'Air france-klm', 'Skyteam', 'Skyteam', 'Skyteam', 'Skyteam', 'Skyteam', 'Air france']",0,"KLM Royal Dutch Airlines is the flag carrier airline of the Netherlands. KLM is headquartered in Amstelveen, with its hub at nearby Amsterdam Airport Schiphol. It is part of the Air France–KLM group and a member of the SkyTeam airline alliance.",-4.926703075271652,0.966309367108778,-0.9228441849007228,0.7104925088436513,0.140600636601448,0.0072454530745744,0.0064740502275526,0.0096693718805909,0.0193036198616027,0.0376257263123989,0.152158036828041,0.0008840657537803,0.0013533119345083,0.0022065381053835,0.006698936689645,0.00123143394012,0.0034918712917715,0.0009329968597739,0.0372515618801116,0.0014945021830499,0.0765827819705009,0.071424126625061,0.0232122335582971,0.0010050458367913,0.0236673019826412,0.0026553706265985,0.0019435661379247,0.0008789104758761,0.0921070203185081,0.262939453125
What is the closest parent taxonomy of this animal?,Peccary,['Pecari'],"['Pig', 'Swine', 'Pig', 'Suidae', 'Deer', 'Pecorary', 'Suid', 'Peccary', 'Peccary', 'Pig']",0,"The collared peccary (Dicotyles tajacu) is a species of artiodactyl (even-toed) mammal in the family Tayassuidae found in North, Central, and South America. It is the only member of the genus Dicotyles. They are commonly referred to as javelina, saíno, or báquiro, although these terms are also used to describe other species in the family. The species is also known as the musk hog. In Trinidad, it is colloquially known as quenk.",-5.175460796458179,0.9653072467630224,-1.084015586480188,0.6733380229513618,0.2742217481136322,0.0373835563659668,0.0043635708279907,0.0377525351941585,0.0049320771358907,0.0916546657681465,0.0265796687453985,0.0126641746610403,0.0007088748388923,0.021181583404541,0.0127833737060427,0.0433271005749702,0.0163615625351667,0.0005853072507306,0.0807991921901702,0.0006181139615364,0.0131002319976687,0.0007444523507729,0.0427939146757125,0.02336878888309,0.3205725252628326,0.0031374206300824,0.0367603041231632,0.0011071686167269,0.0898724421858787,0.34375
