question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1990,['1993'],"['2002', 'Mudhoney', 'Sun tzu', '6 years after passa was founded', 'Rock climber', 'Never', 'Spinescens', 'Long way from nowhere', '1991', ""'77""]",0,devilqueen (Phaulothamnus spinescens),-6.661114485972963,0.9345520192738064,-1.970166104454547,0.0336218836469421,0.0326360948383808,0.0020798714831471,0.0018343165284022,0.0028431138489395,0.0568812899291515,0.0013109365245327,0.0135371908545494,0.001095293322578,0.0012282131938263,0.0009174642036668,0.010301730595529,0.0010974606266245,0.0082733584567904,0.0015921466983854,0.0473998486995697,0.0013125251280143,0.0157281011343002,0.0388998687267303,0.0038202295545488,0.0011342456564307,0.0007536605698987,0.0015653662849217,0.000825498951599,0.002449510153383,0.0050424542278051,0.09259033203125
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Slaves,['soldiers'],"['Men', 'Sailors', 'Boys', 'Soldiers', 'Labors', 'Boats', 'Crew', 'Servants', 'Men', 'Negroes']",0,"Covington County, Alabama - north Walton County, Florida - east Santa Rosa County, Florida - west Escambia County, Alabama - northwest",-5.196537995770961,0.9359791210021275,-1.428057537956435,0.116666306536681,0.141926035284996,0.1825607270002365,0.037257544696331,0.0789121016860008,0.0739562883973121,0.02260815910995,0.0080016693100333,0.003002124140039,0.0103622190654277,0.0048758895136415,0.1025509089231491,0.0061543951742351,0.0036878860555589,0.0774242654442787,0.0376736409962177,0.0396941751241683,0.1230796426534652,0.0542313121259212,0.0225658137351274,0.0040767188183963,0.0148293850943446,0.0192330982536077,0.0032803502399474,0.0008848183206282,0.1337538957595825,0.01751708984375
How many webby awards has this museum won for best science website?,1,['four'],"['2', '2', '1', '2', '0', '6', '2', '2', '0', '25']",0,Awdry says the point of connection was Airdriehill,-5.692099788303083,0.975673101611027,-0.7291747338138521,0.0182442329797882,0.1817794889211654,0.0028405492193996,0.0080359652638435,0.0094509376212954,0.0079652415588498,0.002506562275812,0.0082084396854043,0.0020020180381834,0.0324462912976741,0.0022380307782441,0.0137454867362976,0.0032242569141089,0.0241376832127571,0.0152417421340942,0.1410406976938247,0.0315842851996421,0.1383073180913925,0.0594989880919456,0.0516222082078456,0.005474311299622,0.0771034583449363,0.0099489698186516,0.0053981370292603,0.0353972800076007,0.0450352542102336,0.002452850341796875
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],"['Passenger', 'Passenger', 'None', 'Passenger', 'Passanger', 'Passenger', 'Passenger', 'No trains', 'Passenger', 'Passenger train']",0,"Zoobles! (쥬블스, SBS) Pom",-2.525639993866479,0.9864286864348936,-0.8195420926824835,0.0256782904150267,0.5134919881820679,0.1409872025251388,0.175893172621727,0.0366665720939636,0.7347843050956726,0.0660083442926406,0.2751581966876983,0.012250768020749,0.0626340880990028,0.0291338562965393,0.0803629979491233,0.0063410210423171,0.1184495463967323,0.0007839197060093,0.1144530698657035,0.0025218415539711,0.176596388220787,0.0020185632165521,0.1098805218935012,0.0050740321166813,0.0106857297942042,0.0363622680306434,0.0035142907872796,0.0025035762228071,0.0086604682728648,0.11566162109375
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Not preferred,['favoured'],"['No', 'Not preferred', 'Not preferred', 'Preferred', 'Not preferred', 'Yes', 'Not', 'Not preferred', 'Preferred', 'Preferred']",0,The School opened in the late 1890s as a Higher Grade School. At the time it was Barrow's only High School.,-3.088219754048953,0.8365518325513356,-0.6607465996212948,0.0012660227315634,0.3129175007343292,0.0382310673594474,0.035593181848526,0.068827599287033,0.0165974032133817,0.0143344430252909,0.0042211567051708,0.0011363989906385,0.0006198073388077,0.002991885645315,0.0023131852503865,0.0014373310841619,0.001043829950504,0.0025514378212392,0.0230921413749456,0.003064366756007,0.0488326996564865,0.0093905935063958,0.0622874461114406,0.0010012014536187,0.0007149036391638,0.0008386129047721,0.0010670267511159,0.0008189841173589,0.0009660240611992,0.267333984375
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],"['Unknown', 'Unknown', 'Unknown', 'Known', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Known']",0,"Ewa Malik - parliamentary page - includes declarations of interest, voting record, and transcripts of speeches.",-2.5298221281347035,0.9013868107615204,-0.2000206835897794,0.0226167951606689,0.9530632495880128,0.0107781393453478,0.0398030057549476,0.0379058681428432,0.1504048109054565,0.0053219343535602,0.0132860597223043,0.0061389007605612,0.0355996154248714,0.0073259612545371,0.2291493117809295,0.0074899303726851,0.0166026651859283,0.0111198518425226,0.0358174815773963,0.0023809932172298,0.220794677734375,0.0094416616484522,0.1187098026275634,0.0013065221719443,0.0016443649074062,0.0011375448666512,0.0022466508671641,0.0014731901464983,0.0066101616248488,0.2060546875
What part of north africa is this plant native to?,Sahara,['western'],"['Sahara', 'Sahara', 'Western africa', 'Morroco', 'Algeria', 'North africa', 'Morocco', 'Sahara', 'Morocco', 'Morocco']",0,"Single-season records include: Points: Artemi Panarin (2018–19) – 87 Goals: Rick Nash (2003–04) and Cam Atkinson (2018–19) – 41 Assists: Artemi Panarin (2018–19) – 59 Game-winning goals: Cam Atkinson (2016–17) – 9 Penalty minutes: Jody Shelley (2002–03) – 249 Plus/Minus: David Savard (2016–17) – +33 Points by a defenseman: Seth Jones (2017–18) – 57 Goals by a defenseman: Zach Werenski (2019–20) – 20 Points by a rookie: Pierre-Luc Dubois (2017–18) – 48 Wins: Sergei Bobrovsky (2016–17) – 41 Shutouts in a season: Steve Mason (2008–09) – 10 Goals against average: Sergei Bobrovsky (2012–13) – 2.00 Save percentage: Sergei Bobrovsky (2012–13) – .932 Saves: Marc Denis (2002–03) – 2,172 Longest shutout streak (time without allowing a goal): Steve Mason (2008–09) – 199:19 Team winning streak – 16 games (November 29, 2016 – January 3, 2017)",-3.90709858449497,0.9760304692042284,-0.8444423855602509,0.0174087687248088,0.6380534768104553,0.0132162468507885,0.0375705994665622,0.0518836639821529,0.06370410323143,0.0404526554048061,0.0754696056246757,0.0041986815631389,0.0050735482946038,0.0055417171679437,0.1941179633140564,0.0037327345926314,0.0842770412564277,0.0017227976350113,0.1098627522587776,0.0007441860507242,0.2977483570575714,0.0119860311970114,0.1897717863321304,0.015336524695158,0.1851845979690551,0.1100609749555587,0.2551571726799011,0.0319170542061328,0.879296600818634,0.2420654296875
Are there periods of high or low nectar production for this bird?,Low,['low'],"['No', 'High', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,"Mike Dunne, Dunne on Wine: Greek grapes take root in Tehama County, Sacbee.com, 2 August 2017 Moschofilero, Vitis International Variety Catalogue, accessed 2010-12-03",-4.011967356540908,0.9150787817063576,-0.8092300307936966,0.0232437558176996,0.4081720411777496,0.4513735175132751,0.4175099730491638,0.2003682553768158,0.492406278848648,0.2170422822237014,0.4700713753700256,0.0470143072307109,0.1471363455057144,0.2726064622402191,0.5373449921607971,0.5779046416282654,0.1102793663740158,0.0027398301754146,0.0334092266857624,0.0049066115170717,0.1552119553089141,0.0735533908009529,0.0051467572338879,0.0015823042485862,0.0062700775451958,0.0010043531656265,0.0206902120262384,0.0015612719580531,0.0625200569629669,0.341796875
"Besides macau, what country is believed to have introduced this tomato to china?",Japan,['Philippines'],"['Japan', 'Portugal', 'Japan', 'Spain', 'Spain', 'Barbados', 'Japan', 'Spain', 'Italy', 'Portugal']",0,"""Barbados Legion still marching on - Barbados Today"". ""Barbados Legion - The Barbados Defence Force"". ""The National Geographic Magazine"". 1952. ""Band | The Barbados Cadets"". ""Journal of the Society for Army Historical Research"". 1953. Elting, Col John R. (1988). Military Uniforms in America. The Modern Era from 1868. p. 66. ISBN 0-89141-292-1. Allsopp, Richard; Allsopp, Jeannette (2003). Dictionary of Caribbean English Usage. ISBN 9789766401450. Pariser, Harry S. (2000). Explore Barbados. ISBN 9781893643512. ""Barbadian Traditions: Changing Of The Sentry | Sugar Bay Barbados"". Archived from the original on 2020-07-26. ""Changing of the Sentry in Barbados - Barbados.org BlogBarbados.org Blog"".",-6.060553009406265,0.9761198315531384,-1.1347684740826176,0.0087195512895992,0.6311290860176086,0.1631480157375335,0.2008996456861496,0.0719804316759109,0.0621705912053585,0.0877219587564468,0.109255850315094,0.0971599742770195,0.0480145364999771,0.1477880775928497,0.485776275396347,0.4755738973617553,0.0898025557398796,0.0647020936012268,0.0943061783909797,0.144968643784523,0.3061816096305847,0.3549912571907043,0.2116376310586929,0.0343025140464305,0.442879855632782,0.1679090857505798,0.483939528465271,0.194793239235878,0.8196576833724976,0.142333984375
What are the common names of this plant?,,['vinegarweed and camphor weed'],"['Dandelion', 'Nothing has a name', 'Lavender', 'Fern', 'None', 'Wildflower', 'Herbs', 'None', 'Lavender', 'Purple hawthorne']",0,Official Website Intermedia: A Consciousness-based Process,-6.758352415466411,0.814981517632461,-1.5040641443281977,0.3005478095986699,0.6765236854553223,0.0015189875848591,0.0011329055996611,0.0026313136331737,0.0023564985021948,0.0009425158496014,0.0012509754160419,0.0007401027833111,0.0006700787344016,0.0007445953669957,0.0016814810223877,0.0006710268207825,0.0003368636535014,0.0013195535866543,0.005867741536349,0.0009049794753082,0.0351952724158763,0.0019885424990206,0.0027380303945392,0.0008169194916263,0.0007787402137182,0.0008434468181803,0.0009321114048361,0.0009404002921655,0.0005696607986465,0.181884765625
What is the maximum number of flowers on a this plant stem?,10,['75'],"['2', '2', '10', '1', '5', '2', '30', '5', '125', '3']",0,Lone Rock webpage City-Data Comprehensive Statistical Data and more about Lone Rock,-7.457465228938861,0.9674010919528868,-0.971143503927936,0.0720165464185441,0.2078082412481308,0.0106318918988108,0.0011066298466175,0.0045977225527167,0.0146230813115835,0.0086993807926774,0.0039638290181756,0.0009206876857206,0.0027736509218811,0.0022342591546475,0.0099649336189031,0.0023626259062439,0.0095094870775938,0.0219211149960756,0.1385619044303894,0.0196317937225103,0.0265703741461038,0.0378208681941032,0.0044458378106355,0.0050173993222415,0.0016397598665207,0.0111726047471165,0.000921692175325,0.0215299185365438,0.008867778815329,0.1256103515625
What is the botanical term for the male cones of this tree?,Strobilus,['stroboli'],"['Pine', 'Conifer', 'Pine', 'Scones', 'Stamens', 'Stem', 'Stem', 'Flowers', 'Pine cone', 'Strobile']",0,"Russian Federal State Statistics Service (2011). Всероссийская перепись населения 2010 года. Том 1 [2010 All-Russian Population Census, vol. 1].  Всероссийская перепись населения 2010 года [2010 All-Russia Population Census] (in Russian). Federal State Statistics Service.",-6.706054061277155,0.9610744812233848,-1.2149843064136805,0.0207138416175387,0.095330148935318,0.002738474169746,0.0810128450393676,0.0082972534000873,0.0853689014911651,0.0084828436374664,0.0508321523666381,0.0006874497048556,0.0015202659415081,0.0008012051112018,0.0400611199438571,0.0007725231698714,0.0773811712861061,0.0093458229675889,0.2252288311719894,0.0092115458101034,0.2597887516021728,0.3167493641376495,0.0647896528244018,0.0017094494542106,0.2180886715650558,0.011934258043766,0.0433313399553298,0.0011779306223616,0.223456785082817,0.081787109375
"Besides leioproctus, what is a pollinator of this plant?",Bee,['Melangyna novaezelandiae'],"['Butterfly', 'Bee', 'Bee', 'Bees', 'Bee', 'Bee', 'Bee', 'Bee', 'Bee', 'Bee']",0,(in Dutch) Voetbal International Latvian Football Federation (in Latvian) Guardian's Stats Centre Juris Laizāns at National-Football-Teams.com,-1.8970397434490944,0.9889002576153794,-0.2264310018216444,0.0369986075807038,0.5419792532920837,0.2516712248325348,0.0418771691620349,0.1352399736642837,0.2522921562194824,0.1773251593112945,0.0186360366642475,0.0541358590126037,0.0267080962657928,0.0438856594264507,0.2529644668102264,0.1828849762678146,0.0476371943950653,0.001604899065569,0.242697387933731,0.0025420140009373,0.1838096678256988,0.0720186606049537,0.0845011845231056,0.0179471299052238,0.0575406476855278,0.0162375774234533,0.0139646967872977,0.0089286332949996,0.4346745312213897,0.1759033203125
Homeowners are doing what to gardens for this insect?,Nothing,['establishing'],"['Nothing', 'Kill them', 'Nothing', 'Chemical', 'Nothing', 'Kill them', 'Spray', 'Mow', 'Nothing', 'Getting rid of it']",0,"""Draug (6103553)"". Miramar Ship Index. Retrieved 10 February 2009. Abelsen 1986: 26 Bjørnsson 1994: 18 Bjørnsson 1994: 19 Bjørnsson 1994: 22 Melien 1995, p. 145 Bjørnsson 1994: 20 Niehorster, Leo. ""Scandinavian Campaign: Administrative Order of Battle Royal Norwegian Navy 2nd Naval District"". Retrieved 10 February 2009. Skovheim, Nils (29 June 2007). ""Seattle"" (in Norwegian and English). Archived from the original on 12 October 2008. Retrieved 10 February 2009. ""Rio de Janeiro (5603819)"". Miramar Ship Index. Retrieved 10 February 2009. Skovheim, Nils (29 June 2007). ""Rio de Janeiro"" (in Norwegian and English). Archived from the original on 20 August 2008. Retrieved 8 February 2009. Kersaudy, François (1995). ""Rio de Janeiro"".  In Dahl, Hans Fredrik (ed.). Norsk krigsleksikon 1940-45 (in Norwegian). Oslo: Cappelen. Retrieved 8 February 2009. Bjørnsson 1994: 25 Bjørnsson 1994: 25-26 Bjørnsson 1994: 26 ""Main (5606699)"". Miramar Ship Index. Retrieved 10 February 2009. Hansen 2005: 63 Bjørnsson 1994: 29 Kindell, Don. ""Naval Events, April 1940, Part 2 of 4 Monday 8th - Sunday 14th"". Naval-History.net. Retrieved 14 April 2010. Bjørnsson 1994: 28 Alvsaker, Guttorm. ""T/J ""Draug"""". Norway during world war 2 (in Norwegian). Retrieved 10 February 2009. Hansen 2005: 64 Hansen 2005: 90 Hansen 2005: 91 Kindell, Don. ""Naval Events, May 1940, Part 1 of 4 Wednesday 1st – Tuesday 7th"". Naval-History.net. Retrieved 14 April 2010. Abelsen 1986: 17 Bjørnsson 1994: 31 Hansen 2005: 93 Bjørnsson 1994: 31-32 Lawson, Siri Holm. ""M/T Borgny"". Warsailors.com. Retrieved 10 February 2009. Bakkevig, Erik. ""Omtalte forlis"". Erik Bakkevig – bøker om skipsforlis (in Norwegian). Archived from the original on 7 February 2012. Retrieved 31 January 2009. Berg 1997: 102 Hansen 2005: 98–99 Sivertsen 2001: 213 Ulvensøen 1991: 67-68, 84-85, 99",-4.234568038947612,0.9334119047156808,-1.153134192551176,0.0265452023518861,0.3419598042964935,0.0027632613200694,0.0030337134376168,0.0088837230578064,0.0110788447782397,0.0010001284535974,0.0020040501840412,0.0007897892501205,0.0016044604126363,0.000854293059092,0.0123576549813151,0.0011015585623681,0.001003953278996,0.0012989800889045,0.0071530216373503,0.0030958710703998,0.190734177827835,0.0023616517428308,0.0079478761181235,0.0008245425415225,0.0020805932581424,0.0009379841503687,0.0128903863951563,0.0008836964843794,0.0018102773465216,0.1251220703125
What is martin artquest at this museum?,Art,['a permanent interactive gallery space'],"[""It doesn't exist"", 'Art', 'Painting', 'Unknown', 'Not a clue', '300', 'Unknown', 'Museum', 'Glowing balls', 'Unsure']",0, China People's Liberation Army Air Force - 31 in service as of 2021 One regiment in the 4th Transport Division One regiment in the 13th Transport Division,-3.713819687394273,0.9817811658575358,-1.8013078213188176,0.0186404398108568,0.8895685076713562,0.0070392061024904,0.0023130101617425,0.0051396158523857,0.0334023237228393,0.002370499772951,0.0018416396342217,0.0082755768671631,0.0460598319768905,0.0201243311166763,0.4373919069766998,0.0117451874539256,0.1103218272328376,0.0010137511417269,0.0023732834961265,0.0008673559641465,0.0171883441507816,0.001151313423179,0.0018027269979938,0.0018060653237625,0.036963403224945,0.0084360251203179,0.3610885441303253,0.002968052169308,0.0168320089578628,0.058563232421875
In what us state is this plant considered a severe noxious weed?,California,['California'],"['California', 'California', 'California', 'None', 'Alabama', 'California', 'California', 'Oklahoma', 'California', 'North dakota']",1,"2005: Anagrama Award for Las malas pasadas del pasado. 2010: Espasa Essay Award for  Amo, luego existo. 2012: Jovellanos International Essay Prize for Adiós, historia, adiós. 2016: Miguel de Unamuno Essay Prize for La flecha (sin blanco) de la historia.",-5.3439265306850245,0.981212060781529,-1.108000393836701,0.116666306536681,0.9218305349349976,0.3180634081363678,0.486696183681488,0.2885832488536834,0.1868422776460647,0.231489673256874,0.2723169326782226,0.2701073586940765,0.0467673055827617,0.3120462298393249,0.4508824646472931,0.4212336242198944,0.0898517295718193,0.5266081094741821,0.5498685240745544,0.3748222291469574,0.405422180891037,0.568811297416687,0.6274625062942505,0.3252629935741424,0.4119604825973511,0.465299129486084,0.8031406402587891,0.4016401171684265,0.6764047741889954,0.08428955078125
In what century was this castle founded?,16th,['14th'],"['20th', '8th', 'Middle', '16', '6', '1700s', '19th', '13th', '16', '18th']",0,Tropical Cyclone Jenna existed from 30 April to 6 May.,-7.520146137302827,0.978670100785182,-1.1683459187175944,0.0010786648528405,0.129764974117279,0.0099485795944929,0.020248919725418,0.0103849722072482,0.0551850050687789,0.0602990239858627,0.2595090568065643,0.0013940007193014,0.0009634321322664,0.0015380848199129,0.0019942892249673,0.0014638402499258,0.004935307893902,0.0101429810747504,0.1512752026319503,0.0031862372998148,0.058739461004734,0.0319170095026493,0.0585970394313335,0.0022311576176434,0.0014784144004806,0.0040849549695849,0.0012922412715852,0.0032807977404445,0.0135098183527588,0.009368896484375
What are this bird considered?,Parrot,['specialized fruit-eaters'],"['Parrot', 'Exotic', 'Exotic', 'Parakeet', 'Parrot', 'Parrot', 'Parrot', 'Parrot', 'Colorful', 'Parrot']",0,"The Main Library is open seven days per week. Services offered include wireless internet, public computers and tablets, and discovery boards (consoles that aid in navigating the library and learning about it). Activities for children include children's book narrations, a reading practice area, a homework help center, a study center for teens, and a media lab. Historical and genealogical services include access to 70,000 books, records, and other materials, as well as a discovery board that highlights newly digitized materials and historic areas of Columbus. The library currently serves a portion of the city's homeless population, as the facility offers warmth, drinking fountains, bathrooms, computers, and homeless-specific resources.",-0.0672355299697491,0.9896852188533134,-0.6272711429250195,0.1128562239302186,0.3291859626770019,0.0022382605820894,0.0014298072783276,0.0069457390345633,0.0040621296502649,0.020667765289545,0.0125332893803715,0.002649191301316,0.0070032947696745,0.0052265478298068,0.0349465049803257,0.0100348647683858,0.0575279369950294,0.0017471752362325,0.0258122663944959,0.0023475349880754,0.0336338356137275,0.0059009119868278,0.0088955452665686,0.000917968340218,0.3074457347393036,0.0028151536826044,0.0252179205417633,0.0010361400200054,0.2111798524856567,0.2734375
What is this plant commonly known as?,Weeds,['Texas yellow star'],"['Dandelion', 'Grass', 'Dandelion', 'Fern', 'Dandelion', 'Weeds', 'Flowers', 'Weeds', 'Weeds', 'Weeds']",0,List of ichthyosaurs Timeline of ichthyosaur research,-5.844380907253452,0.947445753693418,-0.9124290611998488,0.0043164908934407,0.3044987916946411,0.0024723291862756,0.0037095027510076,0.0040849861688911,0.0036158827133476,0.0046946946531534,0.0039836755022406,0.0057517401874065,0.0100283306092023,0.0049664541147649,0.0701724663376808,0.0095683559775352,0.0188195258378982,0.0007531737792305,0.0044957688078284,0.000601977633778,0.0097526730969548,0.001843043603003,0.0040307696908712,0.0007952955784276,0.0008118211408145,0.0016118314815685,0.0012462520971894,0.0008480984251946,0.0081799486652016,0.53125
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2012,['August 2009'],"['2012', 'July 12', '2005', 'Recent', 'July', 'Years', 'Unknown', '25 years ago', '2011', 'Recently']",0,Official website Official athletics website,-5.036801375178832,0.9739030858748916,-1.4550366293980432,0.1340200819448268,0.0488170906901359,0.0125764543190598,0.0249984376132488,0.0061608962714672,0.0748845040798187,0.0093458145856857,0.1169275268912315,0.0012220749631524,0.0241610780358314,0.0014428631402552,0.035076443105936,0.0021143751218914,0.0031539732590317,0.0685432031750679,0.0967955887317657,0.0073495651595294,0.0313723720610141,0.087328553199768,0.023973124101758,0.0021746391430497,0.0007553940522484,0.0039148032665252,0.0007816810975782,0.0022701306734234,0.0026901594828814,0.0787353515625
What is the maximum wing span of this bird?,10 feet,['32 cm'],"['20 feet', '8 feet', '2 feet', '75 cm', '2 feet', '65 inches', '25 inches', 'Cannot tell from image', '60 inches', '4 feet']",0,Official website,-7.433832778494662,0.9247923666470128,-1.17416810329305,0.1072683248174805,0.1210806965827941,0.002189147286117,0.0011550214840099,0.0030778383370488,0.006718395743519,0.0015994299901649,0.0055636819452047,0.0006421954021789,0.0009037184645421,0.0007395623833872,0.0005949626211076,0.0006868185009807,0.002716566203162,0.0119975171983242,0.042703628540039,0.0042932848446071,0.0155468871816992,0.0220484677702188,0.0037859859876334,0.0010313709499314,0.0007249783957377,0.0015563048655167,0.0008401833474636,0.0008682121406309,0.0008464772836305,0.09027099609375
phortse is off the main trekking circuit and therefore more resembles this village?,Yes,['an authentic Sherpa village'],"['No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",0,Valentia Harbour railway station,-2.529822128134704,0.9888172692853656,-0.2727249417337589,0.0091380112931225,0.9632874727249146,0.0020781187340617,0.001644130796194,0.004973700735718,0.0027259041089564,0.0013722915900871,0.0014951491029933,0.0016988605493679,0.0182488858699798,0.0017985078739002,0.0035710791125893,0.0022743779700249,0.0215360522270202,0.0716385021805763,0.1951544731855392,0.0146865518763661,0.1962485760450363,0.4762516021728515,0.1266887634992599,0.0897053107619285,0.0833705291152,0.0761871486902237,0.0290221702307462,0.0057459976524114,0.157934084534645,0.2421875
What can reverse the dormancy of this plant's seeds?,Sunlight,['higher temperatures'],"['Water', 'Light', 'Light', 'Sunlight', 'Sun', 'Sun', 'Sun', 'Sun', 'Water', 'Sunlight']",0,Source: Philippine Statistics Authority,-2.4866423621112164,0.9837005810158012,-0.92382958928744,0.0332951429497108,0.1623577922582626,0.0205233693122863,0.1383886635303497,0.0444531589746475,0.084592655301094,0.0397903583943843,0.035512339323759,0.0019954482559114,0.0254887379705905,0.0200154706835746,0.0427454560995101,0.0022039015311747,0.0252706762403249,0.0010962663218379,0.0371409803628921,0.0040016691200435,0.107588991522789,0.0052929702214896,0.0214822348207235,0.0008681447943672,0.0049367295578122,0.0015591320116072,0.001442436594516,0.0014891657046973,0.0276104137301445,0.152587890625
