question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,12,['59.0-77.0'],"['2 years', '78', '2 months', '150', '12', '2 months', '112', '131', '1\nHow long does the black animal stay at this stage before giving birth? Answer with a', '136']",0,"While this article breaks out mammal communities by habitats, one of the problems you'll encounter in the Dunes community is that the habitats are in flux.  Razed Residential areas are slowly returning to the habitat of the surrounding area, whether that is a wetland hummock, or a savanna.  At Mount Baldy forested areas are becoming open sand.  While the process may take years, an area that once hosted a community of plants and animals may change in your lifetime.",-8.163998340092402,0.9525191954020712,-1.3475880769061042,0.019045250996691,0.0575983636081218,0.0030717726331204,0.0012903559254482,0.0029153686482459,0.0048814062029123,0.0021067564375698,0.0107205621898174,0.0009831313509494,0.0020171902142465,0.0010129744186997,0.0083246501162648,0.0008616269333288,0.0220882724970579,0.0160160809755325,0.0867900624871254,0.0070309545844793,0.0361950099468231,0.0158763024955987,0.0061326543800532,0.0023725880309939,0.0038610042538493,0.0028957659378647,0.0022486890666186,0.0049530644901096,0.0276685692369937,0.0148162841796875
What is the length of this vehicle in millimetre?,4200,['4020'],"['2020', '180', '4000', '4700', '4,492', '4315', '4600', '4615', '4500', '4200']",0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",-8.911917316228791,0.9516184955726996,-0.9139975360222165,0.3466047100489416,0.0299921575933694,0.0032136710360646,0.0014281825860962,0.0037099218461662,0.0092234732583165,0.0013906472595408,0.0511669106781482,0.0008568586199544,0.0004243990406394,0.0008120140992105,0.0031098215840756,0.0008780813077464,0.0021066323388367,0.0011856203200295,0.0563169941306114,0.004367372021079,0.0147580103948712,0.0053514400497078,0.0095969717949628,0.0020690229721367,0.0016157027566805,0.003318402217701,0.0010180886602029,0.0017320291372016,0.0029944740235805,0.0129241943359375
What is the closest parent taxonomy of this bird?,Warbler,['Protonotaria'],"['Parrot', 'American goldfinch', 'Warbler', 'Warbler', 'Finch', 'Warbler', 'Warbler', 'Finch', 'Spicara', 'Parrot']",0,"Rondeau has a variety of habitats, including sandy beach, dunes, prairie, oak savannah, carolinian forest, woodlands sloughs, a large marsh, and productive shallow bay. The park is recognised as one of Ontario's most important natural areas. Many of the plant species found here are typical of areas further south. Prominent among them is tuliptree, whose leaf forms the basis for the Friends of Rondeau Provincial Park logo. A variety of nationally and provincially threatened or endangered species are found in the park, such as eastern spiny softshell and nodding pogonia. The park is home to the largest population of breeding prothonotary warblers in Canada. Other endangered birds nesting in the park include king rail and Acadian flycatcher. The park is also an important stopover for migrating birds in spring and fall. During the first Atlas of Breeding Birds of Ontario, the Rondeau Area had the highest breeding bird diversity in the province. Overpopulation of white-tailed deer, and their effect on forest vegetation, has been an ongoing concern. Although controversial, culls to control deer numbers are held on a regular basis, in recent years involving members of the Delaware Nation at Moraviantown.",-5.20940956588173,0.9695438600762986,-0.9444899936354098,0.4032481599651002,0.3425784111022949,0.0384739525616169,0.0066844844259321,0.0322045311331748,0.0039253975264728,0.0766224935650825,0.0068631083704531,0.0090163247659802,0.0016113781603053,0.0077018248848617,0.0395917892456054,0.0699853971600532,0.0093952389433979,0.000593849341385,0.0288909953087568,0.0004916539182886,0.03884769231081,0.0005538906552828,0.0089376838877797,0.0013490018900483,0.0186084043234586,0.0018197681056335,0.0044098808430135,0.0008358561317436,0.0224176608026027,0.3330078125
What is the immediately prior item that this organization follows in a series?,2017,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal air force', 'Royal air force', '2017', 'Announcement', 'Statement', 'Decision', 'None', '14th december 2017', 'Airplane', 'Airshow']",0,"On 14 December 2017, the organisers of the Scampton Airshow issued a statement with regard to the 2018 event. The statement read that following the 2017 airshow the organisers required time to reflect on certain issues and to look at how the airshow could be improved. In view of this, the statement continued that there were still areas of the event which required improvement and consequently there would be no running of the Scampton Airshow in 2018. The statement did however conclude that the organisers, following the review, intend to run an improved Scampton Airshow in 2019.",-5.8896342462524105,0.9056330348829988,-1.15918775649131,0.2326993940904533,0.0931964591145515,0.0061706444248557,0.0020052772015333,0.0060121067799627,0.0049994871951639,0.0124833909794688,0.0128717785701155,0.0096452608704566,0.0004597307997755,0.0042191203683614,0.0030458406545221,0.0560643970966339,0.0006361742853187,0.0022055159788578,0.0074477805756032,0.0012492245296016,0.0080926809459924,0.0028808796778321,0.005367336794734,0.0014570374041795,0.0009857532568275,0.0020220964215695,0.0011397603666409,0.0022941520437598,0.0008185604820027,0.151611328125
What is the country of origin of this food?,England,['United States of America'],"['United kingdom', 'Uk', 'Usa', 'England', 'England', 'England', 'England', 'England', 'Uk', 'England']",0,"Jam sandwiches are thought to have originated at around the 19th century in the United Kingdom.  The jam sandwich was an affordable food. One plausible reason for this was that the ingredients that the jam sandwiches were made from cost little to manufacture and due to taxes being lifted on sugar in 1880, it became widely available as a cheap foodstuff. Traditionally, jam sandwiches are just jam and bread, but with the invention of the toaster a variety of open jam sandwich became popular, now known as ""jam on toast"". Today, jam sandwiches are mainly consumed by children and the elderly; Newcastle United Manager Steve Bruce is known to feed the players jam sandwiches at half time when there's no corned beef in the away ground kitchen. One can say ""[a jam sandwich] is one of the greatest simplest pleasures of life"". Shops do not often sell individual jam sandwiches.",-3.851534160951869,0.9737990673578958,-0.6890126072568818,0.3243355786891746,0.4748152196407318,0.0217286422848701,0.0903766378760337,0.0184659305959939,0.0391130857169628,0.1853276789188385,0.1495283246040344,0.158544585108757,0.0424573086202144,0.1610755324363708,0.092727705836296,0.3587798178195953,0.1286236196756363,0.0112629029899835,0.0136002721264958,0.2090687602758407,0.0098048485815525,0.3104502856731415,0.0115406969562172,0.1073207259178161,0.2058075368404388,0.1107760667800903,0.0323774516582489,0.098905012011528,0.0242418982088565,0.0333251953125
What is the minimum height of this animal in centimetre?,23,['36'],"['23', '28', '22', '27', '22', '22', '30', '55', '19', '46']",0,"Though it is a toy dog, Havanese are sturdy and not overly delicate. Most are 10 to 16 lb (4.5 to 7.3 kg) and 8+1⁄2 to 11+1⁄2 in (22 to 29 cm), with the ideal being 9 to 10+1⁄2 in (23 to 27 cm) at the withers. The body, measured from point of shoulder to point of buttocks, is slightly longer than the height at the withers, giving the dog the appearance of being slightly longer than tall. The length of the body results from the long ribcage, not the loins. A unique aspect of the breed is the topline, which rises just slightly from withers to croup, creating a topline that is straight but not level. Renowned for their flashy, lively gait, their strong rear drive and slightly shorter upper arm produce a springy motion rather than a far-reaching one. The angle of the topline does not change while moving at a natural gait. The muzzle is full and tapers slightly at the nose. It does not have the appearance of being short or snipy. Length of skull measured from stop to point of occiput is equal to the length of muzzle. The top of the skull is rather flat and the back skull is rounded. The length from foot to elbow is equal to the length from elbow to withers. The fore chest is pronounced. When in a standing position, the sternum lines up with the elbows, creating a deep chest. Ribs are well-sprung and the abdomen is moderately tucked up. The Havanese has dark brown eyes and almond-shaped lids surrounded by black pigment. The ears, when extended, reach half way to the nose. They arc slightly upward at the base and hang down on the sides of the head without touching the face. The tail is carried arched forward up over the back. While the tail's long plume of hair falls on the body, the tail itself never touches the back.",-6.591680749388432,0.9672830082066856,-0.9431919725146144,0.4381494080511084,0.0642978027462959,0.0083282692357897,0.0013697172980755,0.0031873430125415,0.0112911444157361,0.031135931611061,0.0088550560176372,0.0017455193446949,0.0105341831222176,0.0022024495992809,0.0250608809292316,0.0228397101163864,0.0453714951872825,0.1384160369634628,0.1366185843944549,0.0177621282637119,0.0447810962796211,0.1095607355237007,0.1071521565318107,0.0309441667050123,0.0073012080974876,0.032805647701025,0.0027930282521992,0.0545630231499671,0.039648950099945,0.0090789794921875
Who designed this building?,Louis-Philippe Hébert,['Joseph Michaud | Victor Bourgeau'],"['Louis-philippe hébert', 'Hébert', 'Jean-Marie Hydes', 'Louis-philippe hébert', 'Louis-Philippe Hébert', 'Louis-philippe hébert', 'Architect', 'Louis-philippa hébert', 'Louis philippe hébert', 'Louis-Philippe Hébert']",0,A small chapel is dedicated to baptism ceremonies. The marble baptismal font is mounted on a stucco crucifix sculpted by Louis-Philippe Hébert.,-2.302133058742956,0.9923579935530504,-0.7759101517200178,0.3814150268136668,0.2511714696884155,0.002445550635457,0.0049246898852288,0.0090054748579859,0.0152088273316621,0.1786180734634399,0.5854146480560303,0.0014234782429412,0.0005445889546535,0.0019111443543806,0.0020926112774759,0.0058511225506663,0.0002835420018527,0.2557883560657501,0.3585386276245117,0.2819060087203979,0.0649873614311218,0.7814229130744934,0.2408009171485901,0.0015705252299085,0.0050750914961099,0.0024114733096212,0.0007856839220039,0.0007307707564905,0.0043342835269868,0.0625
Who is the owner of this building?,YAT,['National Trust'],"['Yat', 'YAT', 'YAT', 'York', 'Queen', 'York Archaeological', 'City', 'British', 'England', 'Unknown']",0,"The York Archaeological Trust for Excavation and Research Limited (YAT) is an educational charity, established in 1972 in the city of York, England. It carries out archaeological investigations, fieldwork, excavation and research in York, Yorkshire and throughout Britain and beyond. Its staff include specialists in archaeological excavation, historic building analysis and recording, artefact curation, conservation and research, archaeological computing, and illustration and design.",-5.209096541258136,0.9832203757136404,-1.7207676885013157,0.4947942391829264,0.0486222617328166,0.0014799906639382,0.0013644230784848,0.0026872530579566,0.0018053365638479,0.0079746069386601,0.0025004274211823,0.0009622593061067,0.007325364742428,0.0008470150642096,0.0013927798718214,0.0009435486863367,0.0066208634525537,0.0093958964571356,0.004128792323172,0.0011310912668704,0.0108977723866701,0.0155531801283359,0.0042524216696619,0.0012938398867845,0.1966034770011901,0.0058561395853757,0.0031650417950004,0.0008341788779944,0.0058757597580552,0.41845703125
this organization is a division of which business group?,Sky king,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal', 'Aerousale', 'Private group', 'New', 'Casino', 'Sky king', 'Sky', 'Gold transportation', 'Real estate', 'Sky king']",0,"The airline began operations in July 1990 as a privately held company to fly for the NBA's Sacramento Kings. Initially, the company provided service for the Kansas City Kings in a single BAC One-Eleven under FAR-125.  In 2002, Sky King received its FAR-121 certificate and 98% of the company's flying was for hockey teams.  A series of events in 2005, including the NHL lockout, the devastation of Hurricane Katrina and the spike in jet fuel prices required Sky King to find an alternate way of running its business.  This resulted in the adoption of the ACMI (Aircraft Crew Maintenance and Insurance) model and a partnership with Gold Transportation was forged. In March 2010, Sky King filed for Chapter 11 bankruptcy protection. Sky King emerged from this Chapter 11 bankruptcy in June 2011.  Following a successful reorganization in June 2010, the airline moved its headquarters from Sacramento, California to Lakeland, Florida.  By moving to Lakeland, Sky King was able to reduce its maintenance costs (by eliminating cross-country ferry flights) and focus on expanding the east coast markets it served.  In October, 2010, Sky King was purchased by Aviation Capital Partners Group and shifted its focus away from private charters and towards providing scheduled services.  At the end of 2010, Sky King had over 270 employees. At the end of August 2012, Sky King returned three aircraft to its owner, AerSale, in Roswell, NM. At the same time, Sky King again filed for Chapter 11 bankruptcy protection and laid off over 20 pilots, 30 flight attendants, and others in operations, maintenance, and the Lakeland office. In December 2013, Sky King furloughed/laid off nearly half of staff across all departments and returned one airplane to the leasing company. As of December 31, 2013, Sky King had two airplanes in its fleet, one of which had been grounded for several months with a bad engine that needed to be replaced.  Also in December, the New Jersey Division of Gaming Enforcement revealed tha",-6.784351969293969,0.8868165068182412,-2.1451822380690526,0.1695827853076067,0.0327516235411167,0.0048768799751996,0.0011605937033891,0.0079385424032807,0.0038158493116497,0.0017158564878627,0.0050270734354853,0.0008190274238586,0.0049010920338332,0.0011125458404421,0.1263181269168853,0.0008012483012862,0.0380337201058864,0.0006279842345975,0.0105496132746338,0.0008422080427408,0.0168319437652826,0.0016495175659656,0.0811011865735054,0.00091873051133,0.1480130106210708,0.0016371998935937,0.0499859452247619,0.0009818072430789,0.0737065523862838,0.243896484375
What is the closest parent taxonomy of this animal?,Mammal,['Pecari'],"['Pig', 'Rodent', 'Mammal', 'Marro', 'Rodent', 'Animal', 'Mammal', 'Marsupial', 'Pig', 'Primate']",0,"In 1980, Flannery discovered an Allosaurid dinosaur fossil on the southern coast of Victoria, the first from the family known from Australia. In 1985, he had a role in the ground-breaking discovery of Cretaceous fossil monotreme Steropodon, the first Mesozoic mammal fossil discovered in Australia. This find extended the Australian mammal fossil record back 80 million years. During the 1980s, Flannery described most of the known Pleistocene megafaunal species in New Guinea as well as the fossil record of the phalangerids, a family of possums. As part of his doctoral studies, he reviewed the evolution of Macropodidae and described 29 new fossil species, including 11 new genera and three new subfamilies.",-5.72454830348383,0.97077254538,-1.2498252100951504,0.0954064230715772,0.4267036616802215,0.0591994524002075,0.039378572255373,0.0285871997475624,0.0758824720978736,0.0233536995947361,0.0340061746537685,0.0118905929848551,0.0025700856931507,0.015669098123908,0.1015931889414787,0.1139390394091606,0.0284346919506788,0.000583080924116,0.0275371763855218,0.0004915470490232,0.0199143234640359,0.0005432223551906,0.0131639633327722,0.0007949564605951,0.0012044768081977,0.001338081434369,0.0166507698595523,0.0007798062288202,0.021397303789854,0.323486328125
Who is the manufacturer of this aircraft?,Boeing,['Airbus'],"['Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Commercial aviation', 'Boeing', 'Air bus', 'Bombardier', 'Air France']",0,This is a list of defunct airlines of France.,-4.537589718079658,0.9880933030436831,-0.7932097789326994,0.0048912249785794,0.9444963932037354,0.0049107526428997,0.0421673618257045,0.01663389056921,0.0942651331424713,0.4934776723384857,0.1974695175886154,0.0752611607313156,0.0528072118759155,0.0823121890425682,0.2842725813388824,0.2610211074352264,0.3079008460044861,0.0305134635418653,0.1730695366859436,0.0261096507310867,0.4264501631259918,0.4525566399097442,0.1083385944366455,0.0268414095044136,0.0684479549527168,0.0545077882707119,0.0415700636804103,0.0033516974654048,0.4873635768890381,0.556640625
What is the closest parent taxonomy of this bird?,Crane,['Egretta'],"['Duck', 'Swan', 'Goose', 'Blue heron', 'Crane', 'Seagull', 'Stork', 'Duck', 'Pigeon', 'Stork']",0,"In La Florida, 90 species of birds have been registered, of which 13 endemic, uniquely in this wetland:",-8.221921916437786,0.951182978885406,-0.9856340059147138,0.3964152647764313,0.3245846033096313,0.0099673802033066,0.0014641833258792,0.0202769301831722,0.003738408209756,0.0561821497976779,0.0033002395648509,0.0112739484757184,0.0057507455348968,0.0231934171169996,0.0233565978705883,0.1012220457196235,0.0196305308490991,0.0005994718521833,0.0474896989762783,0.0018422057619318,0.0296416543424129,0.0006021816516295,0.0107898795977234,0.0017733451677486,0.0786205157637596,0.0024504179600626,0.0598276481032371,0.0008574270177632,0.0949467793107032,0.4404296875
Which city or region does this building locate in?,Nuremberg,['Nuremberg'],"['Germany', 'Germany', 'Nuremberg', 'Germany', 'Nuremberg', 'Nuremberg', 'Germany', 'Germany', 'Germany', 'Nuremberg']",1,"The main seat and commercial center of the family was the Haller House in Nuremberg, Karl Street 13–15 (today a toy museum). The only mansion still owned by the family is Grossgründlach Castle north of Nuremberg, a residence of the barons Haller since 1766 when they inherited it from the patrician family Pfinzing. However, over the centuries the family acquired about four dozen estates, mostly with castles or manor houses, around their home town. Between 1337 and 1500 they were the lords of Gräfenberg where alone they built four manor houses. From 1365 until 1540 they owned Malmsbach castle near Schwaig and between 1370 and 1647 Ziegelstein Castle (a neighborhood in the north-eastern outskirts of Nuremberg, with a castle destroyed in 1642). Some of the longest held properties were Kalchreuth (1395–1850) and Puckenhof (at Buckenhof, 1462–1848). In Mögeldorf, an eastern quarter of Nuremberg, they had two houses, the medieval tower house called Hallerschloss (1555–1652) and the Cnopfsches Schloss (1550–1571).",-0.0101515460999646,0.9817362245110234,-0.3212642325903289,0.4095983944763479,0.8247113823890686,0.0106790885329246,0.0514813661575317,0.0260574799031019,0.0937530472874641,0.6932171583175659,0.4221819341182709,0.0854938030242919,0.0006440448923967,0.0637812316417694,0.0233765225857496,0.2316665798425674,0.0172657389193773,0.8844568729400635,0.3329393863677978,0.7963515520095825,0.2171731889247894,0.8654844760894775,0.0419231206178665,0.0376403108239173,0.1030931398272514,0.0365572459995746,0.0107771530747413,0.0190987791866064,0.1830508261919021,0.1314697265625
