question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,30 days,['59.0-77.0'],"['30 days', '30 days', '30 days', '30 days', '30 days', '30 days', '30 days', '30 days', '30 days', '30 days']",0,"While this article breaks out mammal communities by habitats, one of the problems you'll encounter in the Dunes community is that the habitats are in flux.  Razed Residential areas are slowly returning to the habitat of the surrounding area, whether that is a wetland hummock, or a savanna.  At Mount Baldy forested areas are becoming open sand.  While the process may take years, an area that once hosted a community of plants and animals may change in your lifetime.",-3.8857805861880484e-16,0.9999898672617248,-0.2211309947015252,8.764248219443637e-08,0.41022390127182,0.0189425759017467,0.0019484773511067,0.02626976929605,0.0259539391845464,0.6164619326591492,0.036064475774765,0.0007524086395278,0.0006483272300101,0.0008776438771747,0.0006427960470318,0.0009360192343592,0.0006925330962985,0.0404546335339546,0.0168328918516635,0.0293287895619869,0.0091265849769115,0.0947231575846672,0.0027127850335091,0.0019610435701906,0.0012698245700448,0.0012396530946716,0.0016034326981753,0.0008427422726526,0.000809991674032,0.8159790635108948
What is the length of this vehicle in millimetre?,The length of the vehicle is not provided in the text.,['4020'],"['4120 mm', 'The vehicle is 4100 mm long.', '4180 mm', '4020 mm', 'The vehicle is a Volkswagen Golf Mk III, not Mk2. The length of the Golf Mk III', '4180 mm', '4220 mm', '4180 mm', '4200 mm', '4380 mm']",0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",-6.599604971866792,0.0086516952031206,-0.72029862995121,0.993308620464292,0.2627511322498321,0.0311386100947856,0.1448943465948104,0.0333006791770458,0.093399740755558,0.0097561087459325,0.0532293915748596,0.0006377280224114,0.0002288930845679,0.0006736182840541,0.0004049628041684,0.0006453192327171,0.0002639384474605,0.0211970414966344,0.0205637048929929,0.0256074164062738,0.0209553949534893,0.0544588640332222,0.0166072137653827,0.0007680967682972,0.0006665961700491,0.0006557060405611,0.0008430775487795,0.0007350753294304,0.0004891374264843,0.16524291038513184
What is the closest parent taxonomy of this bird?,Prothonotary warbler,['Protonotaria'],"['Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler']",0,"Rondeau has a variety of habitats, including sandy beach, dunes, prairie, oak savannah, carolinian forest, woodlands sloughs, a large marsh, and productive shallow bay. The park is recognised as one of Ontario's most important natural areas. Many of the plant species found here are typical of areas further south. Prominent among them is tuliptree, whose leaf forms the basis for the Friends of Rondeau Provincial Park logo. A variety of nationally and provincially threatened or endangered species are found in the park, such as eastern spiny softshell and nodding pogonia. The park is home to the largest population of breeding prothonotary warblers in Canada. Other endangered birds nesting in the park include king rail and Acadian flycatcher. The park is also an important stopover for migrating birds in spring and fall. During the first Atlas of Breeding Birds of Ontario, the Rondeau Area had the highest breeding bird diversity in the province. Overpopulation of white-tailed deer, and their effect on forest vegetation, has been an ongoing concern. Although controversial, culls to control deer numbers are held on a regular basis, in recent years involving members of the Delaware Nation at Moraviantown.",-2.220446049250313e-16,0.9999977350260636,-0.0073595946586319,3.535750085040998e-05,0.9840021133422852,0.523605465888977,0.3792470395565033,0.3441984057426452,0.8980780839920044,0.7274740934371948,0.4047114551067352,0.2480276972055435,0.0033520320430397,0.1421557664871215,0.1389407962560653,0.4383086562156677,0.0346050560474395,0.0011702318442985,0.126527339220047,0.0007897519390098,0.0952473655343055,0.0008730327826924,0.054255623370409,0.0073660388588905,0.0083446158096194,0.0019415211863815,0.0027882142458111,0.0010556047782301,0.0166385937482118,0.9898535013198853
What is the immediately prior item that this organization follows in a series?,2017 airshow,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow', '2017 airshow']",0,"On 14 December 2017, the organisers of the Scampton Airshow issued a statement with regard to the 2018 event. The statement read that following the 2017 airshow the organisers required time to reflect on certain issues and to look at how the airshow could be improved. In view of this, the statement continued that there were still areas of the event which required improvement and consequently there would be no running of the Scampton Airshow in 2018. The statement did however conclude that the organisers, following the review, intend to run an improved Scampton Airshow in 2019.",-6.106226635438361e-16,0.0007101743888425,-0.0411007968418815,0.0231531370016396,0.9735422730445862,0.9138535261154176,0.2031931281089782,0.5664702653884888,0.0846376419067382,0.8670110702514648,0.5054681897163391,0.2670643031597137,0.0030537941493093,0.1005585342645645,0.0208373051136732,0.5730214715003967,0.0249161347746849,0.0213612634688615,0.0226407665759325,0.0024286254774779,0.0068470588885247,0.0048063802532851,0.0132960136979818,0.0053461077623069,0.002201261697337,0.0038624552544206,0.0009667648700997,0.0085995402187109,0.0010054580634459,0.20419782400131226
What is the country of origin of this food?,United Kingdom,['United States of America'],"['United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom']",0,"Jam sandwiches are thought to have originated at around the 19th century in the United Kingdom.  The jam sandwich was an affordable food. One plausible reason for this was that the ingredients that the jam sandwiches were made from cost little to manufacture and due to taxes being lifted on sugar in 1880, it became widely available as a cheap foodstuff. Traditionally, jam sandwiches are just jam and bread, but with the invention of the toaster a variety of open jam sandwich became popular, now known as ""jam on toast"". Today, jam sandwiches are mainly consumed by children and the elderly; Newcastle United Manager Steve Bruce is known to feed the players jam sandwiches at half time when there's no corned beef in the away ground kitchen. One can say ""[a jam sandwich] is one of the greatest simplest pleasures of life"". Shops do not often sell individual jam sandwiches.",-5.551115123125784e-16,0.9047490593213152,-0.0001846834978399,0.9990887028372136,0.9933613538742064,0.0169138424098491,0.3076609969139099,0.0467096045613288,0.3711012303829193,0.8381877541542053,0.904133915901184,0.8045271039009094,0.050665445625782,0.6253188252449036,0.1956279575824737,0.8756400346755981,0.5609951615333557,0.5268042683601379,0.0137319965288043,0.2639651000499725,0.0413824506103992,0.6761813163757324,0.1196733266115188,0.2266256958246231,0.3860569298267364,0.4347511231899261,0.4738112390041351,0.3916310966014862,0.3233935534954071,0.0012985370121896267
What is the minimum height of this animal in centimetre?,22 cm,['36'],"['22 cm', '22 cm', '22 cm', '22 cm', '22 cm', '22 cm', '22 cm', '22 cm', '22 cm', '22 cm']",0,"Though it is a toy dog, Havanese are sturdy and not overly delicate. Most are 10 to 16 lb (4.5 to 7.3 kg) and 8+1⁄2 to 11+1⁄2 in (22 to 29 cm), with the ideal being 9 to 10+1⁄2 in (23 to 27 cm) at the withers. The body, measured from point of shoulder to point of buttocks, is slightly longer than the height at the withers, giving the dog the appearance of being slightly longer than tall. The length of the body results from the long ribcage, not the loins. A unique aspect of the breed is the topline, which rises just slightly from withers to croup, creating a topline that is straight but not level. Renowned for their flashy, lively gait, their strong rear drive and slightly shorter upper arm produce a springy motion rather than a far-reaching one. The angle of the topline does not change while moving at a natural gait. The muzzle is full and tapers slightly at the nose. It does not have the appearance of being short or snipy. Length of skull measured from stop to point of occiput is equal to the length of muzzle. The top of the skull is rather flat and the back skull is rounded. The length from foot to elbow is equal to the length from elbow to withers. The fore chest is pronounced. When in a standing position, the sternum lines up with the elbows, creating a deep chest. Ribs are well-sprung and the abdomen is moderately tucked up. The Havanese has dark brown eyes and almond-shaped lids surrounded by black pigment. The ears, when extended, reach half way to the nose. They arc slightly upward at the base and hang down on the sides of the head without touching the face. The tail is carried arched forward up over the back. While the tail's long plume of hair falls on the body, the tail itself never touches the back.",-3.8857805861880484e-16,0.9984981382022412,-0.0509556217175415,0.9819759354668612,0.9278154969215392,0.4137552380561828,0.0923265293240547,0.5084981322288513,0.7893171310424805,0.370078444480896,0.7318066358566284,0.0528169460594654,0.0166311524808406,0.0930010378360748,0.0976603329181671,0.3678603768348694,0.330308735370636,0.3090313374996185,0.2803735435009002,0.0595054700970649,0.3078449368476867,0.4707476496696472,0.1693651527166366,0.0227346904575824,0.0012818211689591,0.0199961755424737,0.0015933014219626,0.0205772202461957,0.0027178635355085,0.0026574088260531425
Who designed this building?,Not specified in the given text.,['Joseph Michaud | Victor Bourgeau'],"['Jean-Baptiste Lassalle', 'Not specified in the given text.', 'Jean-Baptiste Lully', ' Not specified in the text provided.', 'Not specified in the given text.', 'Jean-Baptiste Lassus', 'Jean-Baptiste Lassalle', 'Louis-Philippe Hébert', 'Jean-Baptiste Lassus', 'Jean-Baptiste Lassalle']",0,A small chapel is dedicated to baptism ceremonies. The marble baptismal font is mounted on a stucco crucifix sculpted by Louis-Philippe Hébert.,-6.060584207518058,0.9999997615814492,-0.4453890614875388,0.8177718649349759,0.2516821026802063,0.0026222851593047,0.1618873178958892,0.0180862676352262,0.0038292917888611,0.004862149246037,0.0139876427128911,0.0006043190369382,0.0002452034386806,0.0006873253150843,0.0004097004712093,0.0006068820948712,0.0002713917929213,0.002088124398142,0.096032977104187,0.0033280935604125,0.05241060256958,0.0028129045385867,0.1148206666111946,0.0007900714990682,0.0006802012212574,0.0007344836485572,0.0007946694386191,0.0007823480991646,0.0004992356407456,0.4607292115688324
Who is the owner of this building?,York Archaeological Trust for Excavation and Research Limited,['National Trust'],"['The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'York Archaeological Trust for Excavation and Research Limited', 'The York Archaeological Trust for Excavation and Research Limited (YAT)', 'The York Archaeological Trust for Excavation and Research Limited (YAT)']",0,"The York Archaeological Trust for Excavation and Research Limited (YAT) is an educational charity, established in 1972 in the city of York, England. It carries out archaeological investigations, fieldwork, excavation and research in York, Yorkshire and throughout Britain and beyond. Its staff include specialists in archaeological excavation, historic building analysis and recording, artefact curation, conservation and research, archaeological computing, and illustration and design.",-0.0036726691656392,5.3157852544244216e-08,-0.0454404847092529,0.0004307425405756,0.5889049172401428,0.0033911366481333,0.0022076177410781,0.0117125883698463,0.0045108781196177,0.3237157762050628,0.0228207968175411,0.0053487047553062,0.0011526149464771,0.0049733608029782,0.0117478435859084,0.0171072632074356,0.0036844133865088,0.098440483212471,0.0309064649045467,0.1828180998563766,0.0038687898777425,0.5751190185546875,0.0542573668062686,0.0130740702152252,0.002774991095066,0.0229248497635126,0.0007982524693943,0.0603947192430496,0.0005257652373984,0.8358767032623291
this organization is a division of which business group?,"The text provided is fictional and contains no factual information about a real airline or business group. The airline ""Sky King"" described in the passage does not exist in reality, and there is no real business group associated with it. Therefore, based on the given text, there is no valid answer to the question.

However,","['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['The text provided does not contain any information about which business group Sky King is a division of. Therefore', 'The text provided does not contain any information about Sky King being a division of any business group. The', 'The text provided is a fictional narrative about a fictional airline called ""Sky King,"" which does not exist', 'The text provided does not contain any information about which business group Sky King is a division of. Therefore', 'The text provided is a fictional or erroneous narrative about a company called ""Sky King,"" which does not', 'The text provided is a fictional or fabricated account of a company called ""Sky King,"" which does not', 'The text provided does not contain any information about Sky King being a division of any business group. It', 'The text provided does not contain any information about Sky King being a division of any business group. In', 'The text provided does not contain any information about which business group Sky King is a division of. Therefore', 'The text provided does not contain any information about which business group the organization ""Sky King"" is a']",0,"The airline began operations in July 1990 as a privately held company to fly for the NBA's Sacramento Kings. Initially, the company provided service for the Kansas City Kings in a single BAC One-Eleven under FAR-125.  In 2002, Sky King received its FAR-121 certificate and 98% of the company's flying was for hockey teams.  A series of events in 2005, including the NHL lockout, the devastation of Hurricane Katrina and the spike in jet fuel prices required Sky King to find an alternate way of running its business.  This resulted in the adoption of the ACMI (Aircraft Crew Maintenance and Insurance) model and a partnership with Gold Transportation was forged. In March 2010, Sky King filed for Chapter 11 bankruptcy protection. Sky King emerged from this Chapter 11 bankruptcy in June 2011.  Following a successful reorganization in June 2010, the airline moved its headquarters from Sacramento, California to Lakeland, Florida.  By moving to Lakeland, Sky King was able to reduce its maintenance costs (by eliminating cross-country ferry flights) and focus on expanding the east coast markets it served.  In October, 2010, Sky King was purchased by Aviation Capital Partners Group and shifted its focus away from private charters and towards providing scheduled services.  At the end of 2010, Sky King had over 270 employees. At the end of August 2012, Sky King returned three aircraft to its owner, AerSale, in Roswell, NM. At the same time, Sky King again filed for Chapter 11 bankruptcy protection and laid off over 20 pilots, 30 flight attendants, and others in operations, maintenance, and the Lakeland office. In December 2013, Sky King furloughed/laid off nearly half of staff across all departments and returned one airplane to the leasing company. As of December 31, 2013, Sky King had two airplanes in its fleet, one of which had been grounded for several months with a bad engine that needed to be replaced.  Also in December, the New Jersey Division of Gaming Enforcement revealed tha",-2.8211380816590537,1.4449802461092448e-07,-0.2548730922629937,5.829466373086881e-05,0.5614023804664612,0.0558804236352443,0.0054171411320567,0.1168709099292755,0.0438895784318447,0.0181156173348426,0.0062427707016468,0.000637546298094,0.0002298792242072,0.0006963348714634,0.0004032022261526,0.0006717216456308,0.0002692000125534,0.2058067619800567,0.0032502461690455,0.0457467399537563,0.0030428823083639,0.339164137840271,0.0026625634636729,0.0008549543563276,0.0006708062137477,0.0007149666780605,0.0009461071458645,0.0007567277643829,0.0005171361844986,0.5729378461837769
What is the closest parent taxonomy of this animal?,Marsupial,['Pecari'],"['Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial', 'Marsupial']",0,"In 1980, Flannery discovered an Allosaurid dinosaur fossil on the southern coast of Victoria, the first from the family known from Australia. In 1985, he had a role in the ground-breaking discovery of Cretaceous fossil monotreme Steropodon, the first Mesozoic mammal fossil discovered in Australia. This find extended the Australian mammal fossil record back 80 million years. During the 1980s, Flannery described most of the known Pleistocene megafaunal species in New Guinea as well as the fossil record of the phalangerids, a family of possums. As part of his doctoral studies, he reviewed the evolution of Macropodidae and described 29 new fossil species, including 11 new genera and three new subfamilies.",-6.106226635438361e-16,1.6052280551856114e-09,-0.1257599457530887,0.0002034683690106,0.7619277238845825,0.7246204614639282,0.2455310672521591,0.1148539632558822,0.0157024562358856,0.6206043362617493,0.1918948888778686,0.1890856027603149,0.0070870271883904,0.1484925895929336,0.1145439893007278,0.374892920255661,0.0312306694686412,0.0010539492359384,0.0627978667616844,0.0005288120009936,0.0066081047989428,0.0006506181089207,0.0098895067349076,0.0019026496447622,0.0100167198106646,0.0014932196354493,0.0044921678490936,0.0008895288920029,0.0155107965692877,0.4638773798942566
