question_text,prediction,ground_truths,generated_text,correctness,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,150,['59.0-77.0'],"['2 years', '78', '2', '70', '6', '77', '65', '125', '31', '1\n\nWhat happens if you have this animal on your farm? Answer with a single word']",0,-8.16933248609669,0.9120120732513324,-1.4633741009507018,0.0574165967766436,0.0287625938653945,0.0031900133471935,0.0012289686128497,0.0025279819965362,0.004001707304269,0.0030030978377908,0.0046643521636724,0.0007250412600114,0.0007303783786483,0.0008564247400499,0.0014039383968338,0.0008996482356451,0.0020784439984709,0.0045737666077911,0.0180970691144466,0.0103734470903873,0.0111268023028969,0.00517402542755,0.0018059080466628,0.0019365361658856,0.0016040618065744,0.002022742293775,0.0009442583541385,0.0018025434110313,0.0019160112133249,0.00466156005859375
What is the length of this vehicle in millimetre?,4500,['4020'],"['2000', '100', '5000', '4500', '5000mm', '3300', '4600', '4600', '70', '3000']",0,-7.589517251644127,0.9589357987820994,-0.8380742563945907,0.071316682697758,0.0520400367677211,0.0026195803657174,0.0014901614049449,0.0038342501502484,0.0039520687423646,0.0018528141081333,0.0079485792666673,0.0009583466453477,0.0007054432062432,0.0008416107739321,0.0025458787567913,0.0009581401827745,0.0067489864304661,0.0020957284141331,0.0711623281240463,0.0045227091759443,0.0106825483962893,0.0145877795293927,0.0066810846328735,0.0023208637721836,0.0013770348159596,0.0038010566495358,0.0009807363385334,0.0020981738343834,0.0039760558865964,0.2427978515625
What is the closest parent taxonomy of this bird?,Finch,['Protonotaria'],"['Parrot', 'Finch', 'Sparrow', 'Finch', 'Human', 'Spawn', 'Finch', 'Finch', 'Bird', 'Eagle']",0,-6.360344209357906,0.9597262631488778,-1.2848954900808167,0.189738328401266,0.6055145859718323,0.027140524238348,0.0255565084517002,0.0244175363332033,0.0841533169150352,0.0303804706782102,0.0354228913784027,0.0427694171667099,0.0313805229961872,0.058283157646656,0.0463266894221305,0.1652074009180069,0.0414793193340301,0.0005801538936793,0.010349677875638,0.0005060791736468,0.1504953801631927,0.000537889485713,0.0023625877220183,0.0011019816156476,0.074126660823822,0.0017460145754739,0.1411239057779312,0.0008684086496941,0.1016866862773895,0.418212890625
What is the immediately prior item that this organization follows in a series?,Aircraft,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal navy', 'Royal', 'Aircraft', 'Blue', 'Stunt', 'Aircraft', 'First', '70', 'Next item to be followed', 'Army']",0,-6.042804842850295,0.9796113523266656,-2.1000929443426988,0.1203696926464901,0.2387436628341674,0.0027442960999906,0.0011837899219244,0.0039934995584189,0.0026459542568773,0.000893936085049,0.0016884376527741,0.0048451037146151,0.0794204324483871,0.0072577917017042,0.0277554467320442,0.0042807278223335,0.0178992711007595,0.0005587291088886,0.0014165827305987,0.0005278764874674,0.0039191003888845,0.0006101275212131,0.0008821170195005,0.0007923424709588,0.0107286674901843,0.0011946936137974,0.0018392850179225,0.0008452852489426,0.0079285511747002,0.30517578125
What is the country of origin of this food?,Usa,['United States of America'],"['United states', 'American', 'Usa', 'America', 'France', 'Us', 'Usa', 'United state', 'England', 'France']",0,-3.674566623687299,0.9822306924896276,-1.2674808602236831,0.1171229255499793,0.6185972690582275,0.0043895784765481,0.0084765786305069,0.0109660234302282,0.0293168853968381,0.0596221685409545,0.072377897799015,0.2426899373531341,0.0274868663400411,0.1501459777355194,0.0224626809358596,0.5435872077941895,0.0269362907856702,0.0016166345449164,0.0040261708199977,0.002201662864536,0.0083027286455035,0.0009852532530203,0.0010348871583119,0.1529491245746612,0.1344406753778457,0.3806839287281036,0.1234109103679657,0.2341767400503158,0.3085623383522033,0.40966796875
What is the minimum height of this animal in centimetre?,20,['36'],"['20', '5', '15', '50', '6', '20', '25', '15', '20', '10']",0,-7.457465228938867,0.9602242971880875,-0.7311118550909063,0.1106733869639079,0.1278569251298904,0.0046694399788975,0.0018117496510967,0.0094718029722571,0.0199315529316663,0.0318616703152656,0.0124853244051337,0.001253223279491,0.0035075875930488,0.0014086691662669,0.0013033163268119,0.0020652157254517,0.0077684116549789,0.0279240887612104,0.1080231890082359,0.0243126042187213,0.0154170356690883,0.1034039184451103,0.028824295848608,0.009197543375194,0.0013120570220053,0.0224352218210697,0.0012652316363528,0.0667859017848968,0.0029368528630584,0.037017822265625
Who designed this building?,Architect,['Joseph Michaud | Victor Bourgeau'],"['Architect', 'Architect', 'God', 'Architect', 'Claude', 'Architect', 'Architect', 'Architect', 'Architect', 'Louisiane']",0,-3.1753245980699263,0.9847217961467074,-1.178652123004819,0.1106733869639079,0.7903375625610352,0.0026365497615188,0.0710801035165786,0.0148564521223306,0.0796336755156517,0.1177455186843872,0.1013278812170028,0.0808012410998344,0.0159881953150033,0.0717316642403602,0.1378736048936844,0.1127767264842987,0.0615961067378521,0.0005885178688913,0.1061818227171897,0.0005497448146343,0.0773506537079811,0.0006061040330678,0.0094691412523388,0.0560018233954906,0.2025966793298721,0.0475412532687187,0.205865740776062,0.002661827718839,0.5433910489082336,0.39794921875
Who is the owner of this building?,No one,['National Trust'],"['No one', 'Unknown', 'God', 'England', 'Queen elizabeth', 'English', 'No one', 'British', 'England', 'Rock climbers']",0,-4.950933100477928,0.9674010919528868,-1.634920718090919,0.0704858181776592,0.0656902119517326,0.0014565249439328,0.0010898198233917,0.0026121458504348,0.0020853986497968,0.0009474254329688,0.0017781723290681,0.0006648217095062,0.0005476640653796,0.0007375617278739,0.0014426570851355,0.0006054770201444,0.0003216765762772,0.0005824615946039,0.0048700184561312,0.0004973064060322,0.011560944840312,0.0008913071942515,0.0023274314589798,0.0008203134057112,0.00095429061912,0.0007341064047068,0.0009747958392836,0.0008346181712113,0.0025952872820198,0.0968017578125
this organization is a division of which business group?,Klm,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal', 'Klm', 'KLM', 'Klm', 'Klm', 'Klm', 'KLM', 'Klm', 'Airline', 'KLM']",0,-3.4198601370618538,0.9804188598451974,-0.7486122455758354,0.1278828555654906,0.89927738904953,0.0705308616161346,0.0826105326414108,0.1089143529534339,0.2367532700300216,0.695181667804718,0.5707640647888184,0.1700348258018493,0.0366026014089584,0.2469490468502044,0.0555745810270309,0.2935976386070251,0.0470498912036418,0.3816010653972626,0.0091243563219904,0.0230174995958805,0.0196762848645448,0.3677346408367157,0.1117635369300842,0.0138009311631321,0.1301255375146865,0.0495094507932662,0.2665311396121979,0.0119751207530498,0.308628648519516,0.4736328125
What is the closest parent taxonomy of this animal?,Pig,['Pecari'],"['Pig', 'Swine', 'Pig', 'Hose', 'Deer', 'Pig', 'Mammal', 'Pig', 'Pig', 'Swine']",0,-4.879458129894289,0.9867824649807416,-0.8894879377262743,0.2131203099044349,0.7685800790786743,0.0196056924760341,0.077644445002079,0.0379650592803955,0.0200380552560091,0.1021434962749481,0.0184110421687364,0.0353746488690376,0.0246100481599569,0.053309503942728,0.0291715320199728,0.2120955884456634,0.0148147698491811,0.0005860810051672,0.0157126225531101,0.0004900126368738,0.007933541201055,0.0005299680051393,0.001563437981531,0.0008879356319084,0.0072482111863791,0.0012211668072268,0.039188839495182,0.0008710527326911,0.1197857186198234,0.7041015625
Who is the manufacturer of this aircraft?,Boeing,['Airbus'],"['Boeing', 'Boeing', 'Boeing', 'Boeing', 'Boeing', 'Commercial aviation', 'Boeing', 'Air bus', 'Bombardier', 'Airplane']",0,-3.677682701070809,0.988319485536506,-0.777086434365871,0.1064335560910306,0.9444963932037354,0.0049597923643887,0.0503535196185112,0.0169817358255386,0.0852317288517952,0.4934776723384857,0.5661063194274902,0.1676481515169143,0.0401041992008686,0.119489386677742,0.1215166002511978,0.2575757205486297,0.1992800533771515,0.0305134635418653,0.0886376127600669,0.0261096507310867,0.361912339925766,0.4525566399097442,0.2273556888103485,0.1444513499736786,0.1330994218587875,0.0941426157951355,0.0116828856989741,0.0203798841685056,0.3992543518543243,0.435791015625
What is the closest parent taxonomy of this bird?,Crane,['Egretta'],"['Duck', 'Swan', 'Goose', 'Blue heron', 'Crane', 'Storke', 'Stork', 'Cranes', 'Crane', 'Stork']",0,-6.696041505049732,0.9721066144176344,-1.1366415084300874,0.2246606893183067,0.3245846033096313,0.0377420112490654,0.0042627174407243,0.0234941039234399,0.0031078099273145,0.0561821497976779,0.0036479188129305,0.0112739484757184,0.0072326678782701,0.0231934171169996,0.0103849424049258,0.1012220457196235,0.0270063634961843,0.0005994718521833,0.032230194658041,0.0018422057619318,0.0137818129733204,0.0006021816516295,0.0047301915474236,0.0017733451677486,0.1571542173624038,0.0024504179600626,0.1366724222898483,0.0008574270177632,0.1300094723701477,0.495849609375
Which city or region does this building locate in?,Germany,['Nuremberg'],"['Germany', 'London', 'Germany', 'Germany', 'Germany', 'Dublin', 'London', 'Germany', 'German', 'City']",0,-3.894094959790195,0.9855861508501118,-1.3948994932055938,0.0948490356271182,0.7171270847320557,0.0391256771981716,0.0063874465413391,0.0272469874471426,0.0055657378397881,0.2614822089672088,0.0159381739795207,0.0607990138232708,0.0835596248507499,0.1035214364528656,0.0628368034958839,0.1572268009185791,0.1063106656074523,0.0006519373273476,0.0390644781291484,0.0020750742405653,0.0085827624425292,0.0007139840745367,0.0348020270466804,0.001569312182255,0.0939944013953208,0.0065646660514175,0.0150983110070228,0.0018786392174661,0.0496145151555538,0.39599609375
Which city or region does this building locate in?,London,['Sümeg'],"['France', 'London', 'London', 'Spain', 'Spain', 'Dublin', 'London', 'Germany', 'France', 'City']",0,-5.9716299527378895,0.978237130289766,-1.6691603924089575,0.1327176619056201,0.561528205871582,0.0413907803595066,0.0804796814918518,0.0217415876686573,0.0078731039538979,0.0496095269918441,0.0930972918868064,0.0369481816887855,0.1021267622709274,0.0786972120404243,0.0459759421646595,0.087099514901638,0.2790845036506653,0.0006296748761087,0.0091498801484704,0.0010927930707111,0.032595157623291,0.0006512235268019,0.0025749746710062,0.0025713131763041,0.0090892110019922,0.0113608781248331,0.0072859348729252,0.0055929929949343,0.1391855925321579,0.14599609375
Which continent does this building belong to?,North america,['Europe'],"['Asia', 'Asia', 'North america', 'Asia', 'North america', 'North america', 'North america', 'Africa', 'Antarctica', 'North america']",0,-4.92764310080416,0.9600484909640776,-0.6571172988595209,0.0769612581234794,0.4080548882484436,0.0131781687960028,0.0233939457684755,0.0175393763929605,0.0912457630038261,0.2614770829677582,0.1656150668859481,0.0152949728071689,0.0029456680640578,0.0761299952864646,0.0057337437756359,0.071032702922821,0.0246109124273061,0.1651401817798614,0.0439418330788612,0.1064475029706955,0.0504940710961818,0.1999261975288391,0.0131494384258985,0.0097790863364934,0.0038961786776781,0.1049867048859596,0.0020499865058809,0.0559043884277343,0.0977967604994773,0.1766357421875
what has this bridge crossed over?,River,['Seine'],"['Water', 'River', 'River', 'Water', 'River', 'Water', 'Road', 'River', 'River', 'City']",0,-3.1698499190442675,0.9868125796512204,-0.7946399296517483,0.2895990750105559,0.7279546856880188,0.0156663917005062,0.0868510007858276,0.0200467575341463,0.0892443284392356,0.0077961375936865,0.1210086196660995,0.0228312872350215,0.0725355073809623,0.03816943988204,0.1429243981838226,0.0430405624210834,0.1555565446615219,0.0006407449254766,0.0248299334198236,0.0007685679593123,0.0285970550030469,0.0007444732473231,0.0073686358518898,0.0010475357994437,0.1263933032751083,0.0012855099048465,0.528103232383728,0.0012298082001507,0.587430477142334,0.1810302734375
