question_text,prediction,ground_truths,generated_text,correctness,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1990,['1993'],"['2002', 'Never', '20 years', '70', 'First album', 'Later', '1994', 'Never', '1991', '1990']",0,-5.807656493879278,0.9812420054541682,-1.3801012074470056,0.0693930368553165,0.0217830576002597,0.0026337073650211,0.0026222264859825,0.0037200008518993,0.0389751233160495,0.0200521722435951,0.0118481451645493,0.0008961550774984,0.0008419776568189,0.0009234243188984,0.1033541187644004,0.001036891946569,0.0086943199858069,0.0077560683712363,0.0916237086057663,0.0010996970813721,0.0151133574545383,0.0198492687195539,0.0056230933405458,0.001095390995033,0.0007425170624628,0.0014876612694934,0.0008991058566607,0.0011843910906463,0.0028774929232895,0.0751953125
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Men,['soldiers'],"['Men', 'Servants', 'Servants', 'Soldiers', 'Servants', 'Boats', 'Seamen', 'Servants', 'Men', 'Servants']",0,-2.403606335822674,0.9822906449230016,-1.015719486469364,0.112416239210117,0.6403947472572327,0.279254674911499,0.1547388583421707,0.1214970201253891,0.0225700847804546,0.1340740323066711,0.0343196578323841,0.0709645003080368,0.4010883867740631,0.1043164879083633,0.5337620973587036,0.1192410662770271,0.2695282399654388,0.0173853710293769,0.004454247187823,0.0371094159781932,0.0117145422846078,0.0209916438907384,0.0017413252498954,0.0041413381695747,0.0011093434877693,0.0153107456862926,0.04785942658782,0.0076766368001699,0.0113282920792698,0.02484130859375
How many webby awards has this museum won for best science website?,1,['four'],"['2', '2', '1', '2', '0', '6', '2', '2', '0', '25']",0,-5.692099788303083,0.975673101611027,-0.7164166484183322,0.1560744916699107,0.2592282891273498,0.0256125815212726,0.0017879725201055,0.012428137473762,0.0087991319596767,0.0070852823555469,0.0072379154153168,0.0018930041696876,0.0465941913425922,0.0033534134272485,0.0414684414863586,0.0141347423195838,0.0357513092458248,0.0185808315873146,0.1815305054187774,0.0268136356025934,0.1083630323410034,0.0593636445701122,0.0155197922140359,0.005474311299622,0.0064108520746231,0.0310324486345052,0.0017592466901987,0.0601071305572986,0.0311691779643297,0.004199981689453125
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],"['Passenger', 'Passenger', 'Passenger', 'Passenger', 'Passenger', 'Commercial', 'Passenger', 'Short', 'None', 'Passenger train']",0,-3.4651206193016737,0.9843762665524596,-0.9512176421354523,0.0756202442922678,0.9430511593818665,0.3871474266052246,0.1952801197767257,0.0982567816972732,0.6871205568313599,0.377065509557724,0.4389654099941253,0.03019430488348,0.0696628540754318,0.1499630361795425,0.1163114011287689,0.0147441355511546,0.1009945273399353,0.0009927456267178,0.1349411606788635,0.0123936329036951,0.1233300492167472,0.0087933363392949,0.198416605591774,0.0155188087373971,0.0622967258095741,0.0532537549734115,0.0199360959231853,0.0058921240270137,0.1285789757966995,0.04736328125
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Not preferred,['favoured'],"['No', 'Yes', 'Preferred', 'Not preferred', 'Yes', 'Not preferred', 'Not', 'No', 'Not preferred', 'Preferred']",0,-4.404641987109332,0.9063519009392074,-0.7426835217474339,0.2152117584606856,0.4614994823932647,0.0417535863816738,0.0317975617945194,0.0824078470468521,0.008236669935286,0.0087226647883653,0.0027438253164291,0.0012031282531097,0.0006265237461775,0.0026110466569662,0.0031054988503456,0.0019322313601151,0.0007129927980713,0.0065159737132489,0.05551528185606,0.0036323487292975,0.0903120562434196,0.03488514944911,0.0356900691986084,0.0010012014536187,0.0007096994668245,0.0008386129047721,0.0017387194093316,0.0008189841173589,0.0008729853434488,0.30322265625
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],"['Unknown', 'Unknown', 'Unknown', 'Known', 'Unknown', 'Unknown', 'Unknown', 'Known', 'Unknown', 'Known']",0,-2.8982753492378874,0.8965036364350066,-0.2182157087920738,0.2158431861505738,0.9685191512107848,0.0176711622625589,0.0896299108862876,0.042564757168293,0.0791334435343742,0.0053219343535602,0.0148219047114253,0.0061389007605612,0.1488606184720993,0.0073259612545371,0.136996328830719,0.0074899303726851,0.0143945347517728,0.0159673076122999,0.1610367894172668,0.0022928437683731,0.1588264554738998,0.0273768454790115,0.1225406900048255,0.0013065221719443,0.0020738423336297,0.0011375448666512,0.008238504640758,0.0014731901464983,0.0024499623104929,0.290283203125
What part of north africa is this plant native to?,Sahara,['western'],"['Sahara', 'Sahara', 'Western africa', 'Morroco', 'Algeria', 'North africa', 'Morocco', 'Sahara', 'Sahara', 'Morocco']",0,-3.906900445330804,0.979491778161135,-0.8532629083114444,0.0882365171509513,0.6380534768104553,0.0132162468507885,0.0437847077846527,0.0548938475549221,0.1380490362644195,0.1078252717852592,0.0681747645139694,0.0041986815631389,0.0150305740535259,0.0055417171679437,0.0207765065133571,0.0037327345926314,0.0439078323543071,0.0029528262093663,0.1463658064603805,0.0007198035600595,0.152916818857193,0.0420528203248977,0.0789914801716804,0.015336524695158,0.033402107656002,0.1100609749555587,0.0143232634291052,0.0319170542061328,0.533023476600647,0.17138671875
Are there periods of high or low nectar production for this bird?,Low,['low'],"['No', 'Low', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,-4.12299865064652,0.9529262424559686,-0.7411689687520265,0.1454774226792701,0.4081720411777496,0.4513735175132751,0.3977954685688019,0.2003682553768158,0.2002880871295929,0.2170422822237014,0.2521159052848816,0.0470143072307109,0.1693231761455536,0.2726064622402191,0.6508535742759705,0.5779046416282654,0.0778194293379783,0.0027398301754146,0.0512341819703578,0.0049066115170717,0.0778712406754493,0.0735533908009529,0.0075812297873198,0.0015823042485862,0.0012274460168555,0.0010043531656265,0.0027494607493281,0.0015612719580531,0.0448480360209941,0.59033203125
"Besides macau, what country is believed to have introduced this tomato to china?",Japan,['Philippines'],"['United states', 'Belgium', 'Spain', 'Spain', 'Japan', 'Portugal', 'Germany', 'Japan', 'Brazil', 'Portugal']",0,-7.589466384404111,0.9678144985974116,-1.3577232807991095,0.0771117199683167,0.6311290860176086,0.1631480157375335,0.5236120223999023,0.0719804316759109,0.2164033353328704,0.0877219587564468,0.5523014664649963,0.0971599742770195,0.1718590706586837,0.1477880775928497,0.3520860075950622,0.4755738973617553,0.114747479557991,0.0647020936012268,0.121642991900444,0.4046675860881805,0.018420860171318,0.4815624952316284,0.4316096901893616,0.0492376908659935,0.0960280150175094,0.194120168685913,0.1983027756214141,0.2147729247808456,0.6097339987754822,0.1468505859375
What are the common names of this plant?,Lavender,['vinegarweed and camphor weed'],"['Dandelion', 'Hedge', 'Lilac', 'Blue eyed grass', 'Wildflower', 'Lavender', 'Flowers', 'Lavender', 'Purple hawthorne', 'Purple flowering plant']",0,-7.347757732468833,0.9806732129110688,-1.3148958927876084,0.1453354242301501,0.4711159765720367,0.0018101817695423,0.0140413045883178,0.0068259593099355,0.0150388637557625,0.0159629713743925,0.009584248997271,0.0046395836398005,0.0216745752841234,0.0031133743468672,0.0287175644189119,0.0030722734518349,0.0194414164870977,0.0031361787114292,0.0371330827474594,0.0024957507848739,0.1592791676521301,0.0122897317633032,0.0229451078921556,0.0065773846581578,0.0324543118476867,0.0291349422186613,0.0948660746216774,0.0073927510529756,0.1650581061840057,0.220458984375
What is the maximum number of flowers on a this plant stem?,10,['75'],"['2', '2', '1', '2', '1', '6', '5', '2', '12', '5']",0,-5.976382062718698,0.9431186028407998,-0.8700278057639178,0.1283833749104458,0.0943117216229438,0.00361576420255,0.0010877412278205,0.0035480086226016,0.0153862331062555,0.0421923846006393,0.0041103488765656,0.0008424022817052,0.0049446248449385,0.0013711726060137,0.0042191040702164,0.0009023314341902,0.0055627510882914,0.0202765520662069,0.0535276532173156,0.0203668940812349,0.01597186550498,0.037205584347248,0.0036308302078396,0.0028260976541787,0.0019631315954029,0.010092306882143,0.0014680051244795,0.0418226830661296,0.003546594409272,0.0792236328125
What is the botanical term for the male cones of this tree?,Staminate,['stroboli'],"['Stamin', 'Stigma', 'Staminode', 'Stem', 'Stamens', 'Staminode', 'Strobilus', 'Stamens', 'Strobiles', 'Strobile']",0,-5.3202476369349805,0.91759557535331,-0.9094857399041454,0.1311714543101942,0.1379081010818481,0.0020587877370417,0.009847936220467,0.0071044089272618,0.0257249791175127,0.0530499517917633,0.0055710822343826,0.0007583025144413,0.0029002812225371,0.0012054570252075,0.0065225735306739,0.0007109356229193,0.0240258425474166,0.0030408489983528,0.0703484341502189,0.0031919870525598,0.065687209367752,0.1308053880929947,0.0055818860419094,0.0011660957243293,0.0114825740456581,0.0063990112394094,0.002092107431963,0.0011368970153853,0.0507338233292102,0.0374755859375
"Besides leioproctus, what is a pollinator of this plant?",Bee,['Melangyna novaezelandiae'],"['Butterfly', 'Bee', 'Bee', 'Bees', 'Bee', 'Bee', 'Bee', 'Bee', 'Bees', 'Bee']",0,-1.8968393076685264,0.9882063878189616,-0.2996645832967867,0.1630861708243959,0.6805828213691711,0.2516712248325348,0.0088730454444885,0.2547385096549988,0.1513503491878509,0.1773251593112945,0.0247699711471796,0.0541358590126037,0.0621488355100154,0.0438856594264507,0.1063258647918701,0.1828849762678146,0.0964550450444221,0.001604899065569,0.1263092011213302,0.0025420140009373,0.2795751094818115,0.0720186606049537,0.0679268166422844,0.0179471299052238,0.0679719671607017,0.0162375774234533,0.0140066416934132,0.0089286332949996,0.4809131324291229,0.2347412109375
Homeowners are doing what to gardens for this insect?,Planting,['establishing'],"['Plant Milkweeds', 'Mow', 'Cutting', 'Repellent', 'Cutting plants', 'Keep habitat', 'Removing flowers', 'Prune', 'Cutting', 'Mow']",0,-5.088995807604919,0.9587309698738729,-1.668909872745474,0.1304051188859107,0.0601769424974918,0.0233627874404191,0.0048502013087272,0.0174676720052957,0.0044086584821343,0.0194421242922544,0.0019652431365102,0.0010274016531184,0.027474645525217,0.0116310529410839,0.0546021796762943,0.0032958963420242,0.0098544051870703,0.0008469388703815,0.0013216144870966,0.0014152412768453,0.0047156405635178,0.0008851329330354,0.0010445202933624,0.0008169848006218,0.0012374746147543,0.0009747089934535,0.0008910927572287,0.0009008349152281,0.0006125826621428,0.1875
What is martin artquest at this museum?,Art,['a permanent interactive gallery space'],"['Painting', 'Paintings', 'Painting', 'Unknown', 'Paint', 'Helps people', 'Promote cultural diversity', 'Public art', 'Color', 'Helps']",0,-2.934904425702628,0.9653367060518508,-1.8474946875202785,0.2118752094062135,0.853222131729126,0.0050412146374583,0.0012913376558572,0.0193737614899873,0.0105956541374325,0.0041274204850196,0.0018473854288458,0.0060608419589698,0.0834395810961723,0.02564138174057,0.5146793723106384,0.0031205129344016,0.0848283991217613,0.001080397516489,0.0050173131749033,0.0009246978443115,0.0264414586126804,0.000879283179529,0.0020950073376297,0.0019614009652286,0.0546166785061359,0.0074712927453219,0.0363818071782588,0.0033503249287605,0.0489185750484466,0.054840087890625
In what us state is this plant considered a severe noxious weed?,California,['California'],"['California', 'California', 'California', 'None', 'Alabama', 'California', 'Texas', 'Oklahoma', 'Texas', 'North dakota']",1,-6.608837594752376,0.9832203757136404,-1.3246892532112544,0.112636016733947,0.7604942917823792,0.3180634081363678,0.2102099955081939,0.2885832488536834,0.1776278018951416,0.231489673256874,0.1816510260105133,0.2701073586940765,0.0504078827798366,0.3120462298393249,0.4258361756801605,0.4212336242198944,0.0793745294213295,0.6007535457611084,0.2954037189483642,0.4041592478752136,0.3434497714042663,0.592228889465332,0.4899803102016449,0.3252629935741424,0.1709236055612564,0.465299129486084,0.1935624182224273,0.4016401171684265,0.4008876383304596,0.1002197265625
In what century was this castle founded?,12th,['14th'],"['20th', '8th', 'Middle', '10', '6', '1700', '14th', '12th', '11', '13']",0,-8.67970898288452,0.9844363499452784,-1.1704427089728415,0.0835406553666116,0.1770317107439041,0.0101082781329751,0.0416436903178691,0.0070190401747822,0.1132889464497566,0.073044553399086,0.3920828700065613,0.0014938868116587,0.0006987682427279,0.0019174115732312,0.0012288257712498,0.0028710875194519,0.0117744570598006,0.0315438508987426,0.1645049899816513,0.0050226747989654,0.0202387105673551,0.0495356880128383,0.0393274016678333,0.0018977519357576,0.0023178227711468,0.0049416767433285,0.0010079410858452,0.0041874246671795,0.0058451294898986,0.01029205322265625
What are this bird considered?,Parrot,['specialized fruit-eaters'],"['Parrot', 'Exotic', 'Exotic', 'Parakeet', 'Parrot', 'Parrot', 'Parrot', 'Parrot', 'Colorful', 'Parrot']",0,-0.0672355299697491,0.9896852188533134,-0.6067779954484042,0.1763381954908459,0.3291859626770019,0.0033299475908279,0.001186259672977,0.0069457390345633,0.003946459852159,0.020667765289545,0.0040647173300385,0.003987040836364,0.0244936179369688,0.0084284134209156,0.0080338642001152,0.0331427045166492,0.0325548723340034,0.0017471752362325,0.0234624668955802,0.0023475349880754,0.0087092798203229,0.0059009119868278,0.0038246451877057,0.0015389154432341,0.112077884376049,0.0057839169166982,0.0362489037215709,0.0017791874706745,0.0876121595501899,0.341796875
What is this plant commonly known as?,Dandelion,['Texas yellow star'],"['Dandelion', 'Dandelion', 'Dandelion', 'Dandelion', 'Marigolds', 'Dandelion', 'Dandelion', 'Daisy', 'Plant', 'Dandelion']",0,-3.5120181810994526,0.9854959218734572,-0.6771904208412162,0.1515683273643404,0.5889322757720947,0.0025137532502412,0.0272933151572942,0.0102262990549206,0.0446715392172336,0.172071486711502,0.0670127272605896,0.0054301149211823,0.0108483666554093,0.0019631043542176,0.0231558587402105,0.0060194749385118,0.0071721710264682,0.7231736183166504,0.0816997662186622,0.0036300146020948,0.1302996128797531,0.7235138416290283,0.0134319560602307,0.0016624240670353,0.0070651737041771,0.0083722742274403,0.0141277657821774,0.0019596694037318,0.2920721471309662,0.736328125
"When did unprecedented levels of this seaweed wash up on the beaches of brittany, france?",2012,['August 2009'],"['2012', '1992', '2006', 'Recent', 'Recent', 'Unknown', '25 years ago', '2011', 'Recently', '2015']",0,-5.338972537615927,0.9847593610186276,-1.011775158531964,0.1003764034244754,0.0461649447679519,0.0171376541256904,0.0202397555112838,0.0061608962714672,0.0450469069182872,0.0093458145856857,0.0328617393970489,0.0015064707258716,0.0123115377500653,0.0018043082673102,0.0289792530238628,0.0059255892410874,0.0042703789658844,0.0685432031750679,0.121583841741085,0.0073495651595294,0.0331500470638275,0.087328553199768,0.0373331494629383,0.0025442603509873,0.0007335993577726,0.0038235352840274,0.0007692798390053,0.0096888747066259,0.0014996499521657,0.151611328125
What is the maximum wing span of this bird?,10 feet,['32 cm'],"['20 feet', '8 feet', '2 feet', '7 feet', '2 feet', '20 INCHES', '55 feet', '61 inches', '40 feet', '615 inches']",0,-8.267057425295238,0.9153580842044816,-1.2543293082711864,0.1135194319621385,0.1019275337457656,0.0022438180167227,0.0011920030228793,0.0030778383370488,0.016184989362955,0.0015994299901649,0.0059560500085353,0.0006421954021789,0.0007104546530172,0.0007395623833872,0.0006800392293371,0.0006868185009807,0.0040383096784353,0.0119975171983242,0.0342009291052818,0.0042932848446071,0.0085994955152273,0.0220484677702188,0.0041038640774786,0.0011208048090338,0.0008034452330321,0.0019040446495637,0.0008164384635165,0.001217407407239,0.0009133113198913,0.0948486328125
phortse is off the main trekking circuit and therefore more resembles this village?,Yes,['an authentic Sherpa village'],"['No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",0,-1.897366596101028,0.98874937492276,-0.1803482867195271,0.2152117584606856,0.9683401584625244,0.0022919145412743,0.0017534479266032,0.0060484940186142,0.0033845999278128,0.0013722915900871,0.0015495377592742,0.0028988253325223,0.0238142125308513,0.0036573118995875,0.0057657952420413,0.0037519938778132,0.0411240272223949,0.0716385021805763,0.332078754901886,0.0146865518763661,0.3604978024959564,0.4762516021728515,0.2085605263710022,0.1699076145887375,0.0905892923474311,0.1254294365644455,0.0287570245563983,0.0288531985133886,0.2478076517581939,0.3720703125
