question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,66 days,['59.0-77.0'],"['66 days', '66 days', '66 days', '66 days', '66 days', '66 days', '66 days', '66 days', '66 days', '66 days']",0,"Skunks mate in early spring and are polygynous (that is, successful males are uninhibited from mating with additional females.) Before giving birth (usually in May), the female excavates a den to house her litter of four to seven kits. Skunks are placental, with a gestation period of about 66 days. When born, skunk kits are blind and deaf, but already covered by a soft layer of fur. About three weeks after birth, they first open their eyes; the kits are weaned about two months after birth. They generally stay with their mother until they are ready to mate, roughly at one year of age. The mother is protective of her kits, spraying at any sign of danger. The male plays no part in raising the young.",-6.106226635438361e-16,1.0,-0.0121515085820647,0.9999998807907176,0.9691779017448424,0.0909678488969802,0.040547925978899,0.0730652511119842,0.2390100657939911,0.8445730805397034,0.7111817598342896,0.1468180567026138,0.0156373288482427,0.0180280189961195,0.0705036967992782,0.4049136042594909,0.2794737815856933,0.3406284153461456,0.2013493776321411,0.0670938491821289,0.2582234740257263,0.3410449028015136,0.3230974078178406,0.0067699267528951,0.0017603741725906,0.0027681984938681,0.0012731659226119,0.0070650526322424,0.0175227858126163,0.12979701161384583
What is the length of this vehicle in millimetre?,"The length of this vehicle is not provided in the text, but the Mk2 was 180 mm longer than the Mk1. Without the Mk1's length, we cannot determine the exact length of this vehicle.",['4020'],"['4120 mm', 'The vehicle is 4100 mm long.', '4180 mm', '4020 mm', 'The vehicle is a Volkswagen Golf Mk III, not Mk2. The length of the Golf Mk III', '4180 mm', '4220 mm', '4180 mm', '4200 mm', '4380 mm']",0,"The Volkswagen Golf Mk2 is a hatchback, the second generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk1. It was Volkswagen's highest volume seller from 1983 and ended in (German) production in late 1992, to be replaced by the Volkswagen Golf Mk3. The Mk2 was larger than the Mk1; its wheelbase grew slightly (+ 75 mm (3.0 in)), as did exterior dimensions (length + 180 mm (7.1 in), width + 55 mm (2.2 in), height + 5 mm (0.2 in)). Weight was up accordingly by about 120 kg (260 lb). Exterior design, developed in-house by VW design director Schäfer, kept the general lines of its Giugiaro-designed predecessor, but was slightly more rounded. All told, about 6.3 million second-generation Golfs were built.",-6.599604971866792,1.7603463121561691e-06,-0.72029862995121,0.993308620464292,0.5909497737884521,0.23320272564888,0.0084569500759243,0.1429551392793655,0.070489577949047,0.1176172345876693,0.0082099689170718,0.0005898631643503,0.0002373008755967,0.0011135652894154,0.0003884521720465,0.0006051441305316,0.0002665495267137,0.0706584602594375,0.0141867827624082,0.0517670735716819,0.0078970119357109,0.1548151820898056,0.0210897624492645,0.0008219801238738,0.000662385544274,0.0008686863584443,0.0009032048983499,0.0012668527197092,0.0005099204718135,0.16524291038513184
What is the closest parent taxonomy of this bird?,New World warbler,['Protonotaria'],"['New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler', 'New World warbler']",0,The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is the only member of the genus Protonotaria.,-4.440892098500626e-16,1.0,-0.079497931513697,0.9988333836632732,0.8953611254692078,0.4070852100849151,0.0396960191428661,0.1204087808728218,0.0395463705062866,0.4952501356601715,0.2327976524829864,0.0050862920470535,0.0033368624281138,0.0136105632409453,0.019467931240797,0.181912824511528,0.0359309166669845,0.0008150160429067,0.0884854346513748,0.0005759062478318,0.1116325110197067,0.0007079886854626,0.106828935444355,0.0009420297574251,0.1236897334456443,0.001018043141812,0.0011754429433494,0.000877964135725,0.0600720830261707,0.48070183396339417
What is the immediately prior item that this organization follows in a series?,Royal Flying Corps (RFC),['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)', 'Royal Flying Corps (RFC)']",0,"The Royal Air Force (RAF) is the United Kingdom's aerial warfare force. It was formed towards the end of the First World War on 1 April 1918, becoming the first independent air force in the world, by regrouping the Royal Flying Corps (RFC) and the Royal Naval Air Service (RNAS). Bruce Dickinson was honurerd with Honorary Group Capitan RAF title.",-4.996003610813204e-16,0.9997387273749432,-0.0347912686589779,0.0177521259216285,0.990171492099762,0.9715667963027954,0.1889335662126541,0.5821675062179565,0.3779333233833313,0.7399067878723145,0.4503006637096405,0.4703494906425476,0.0014927476877346,0.2198425531387329,0.0012213605223223,0.4743283987045288,0.0095559461042284,0.038139559328556,0.1324078142642974,0.0108721395954489,0.0212189517915248,0.1317734271287918,0.0814993381500244,0.0435164757072925,0.1189202964305877,0.019856534898281,0.00122834474314,0.0074970121495425,0.0011964889708906,0.02214127592742443
What is the country of origin of this food?,United States,['United States of America'],"['United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States']",0,"A grilled cheese sandwich is made by placing a cheese filling, often cheddar or American cheese, between two slices of bread, which is then heated until the bread browns and the cheese melts.  A layer of butter or mayonnaise may be added to the outside of the bread for additional flavor and texture. Alternatives may include additional ingredients, such as peppers, tomatoes, or onions. Methods for heating the sandwich include cooking on a griddle, fried in a pan, or using a panini grill or sandwich toaster, the latter method more common in the United Kingdom, where the sandwiches are normally called ""toasted sandwiches"" or ""toasties"", in Australia, where they are called ""jaffles"" or ""toasted sandwiches"", and South Africa, where they are called “snackwiches”. Other methods include baking in an oven or toaster oven — or in a toasting bag in an electric toaster. The sandwich is typically served as a snack or lunchtime meal, often with a side of salad, soup, french fries, or other accompaniment.",-3.3306690738754696e-16,1.0,-0.0019592043511996,0.029268307607136,0.9919859170913696,0.0275893751531839,0.262012779712677,0.0645584985613823,0.1458660215139389,0.8634868264198303,0.7109512686729431,0.6033188700675964,0.024063354358077,0.6042059659957886,0.0922074392437934,0.8309314846992493,0.2257502675056457,0.5204131603240967,0.106489822268486,0.3899782001972198,0.1043860763311386,0.6322295665740967,0.1506073325872421,0.0011206873459741,0.0011595985852181,0.0010532160522416,0.002259912667796,0.0009638182236813,0.0012191892601549,0.15742036700248718
What is the minimum height of this animal in centimetre?,25 cm,['36'],"['25 cm', '25 cm', '25 cm', '25 cm', '25 cm', '25 cm', '25 cm', '25 cm', '25 cm', '25 cm']",0,"Dogs stand about 25 cm at the withers, females slightly less. The coat may be black, brownish, dark grizzle, golden, honey, parti-colour, sandy, slate-coloured, smoke-coloured or white. It is thick and heavy, with a hard straight outer coat and a medium under-coat. The eyes are dark and the nose is black, and the ears are pendant. The tail is curved, sometimes with a kink at the tip, and should be carried over the back. It ranks 68th (out of 138) in Stanley Coren's The Intelligence of Dogs, having fair working-obedience intelligence. The Lhasa Apso is a long-lived breed, with many living in good health into their early 20s. A 2004 Kennel Club survey puts the median lifespan of the breed at 14 years 4 months. UK vet clinic data puts the median at 13.0 years.",-6.661338147750939e-16,0.9975311288597258,-6.56184420204653e-05,0.5008712234296745,0.9805988073349,0.6991080641746521,0.2752870619297027,0.5866657495498657,0.915299654006958,0.5024222731590271,0.6412297487258911,0.1415701359510421,0.1422528028488159,0.1251216828823089,0.1373437196016311,0.6517788767814636,0.4477117657661438,0.201520174741745,0.070806972682476,0.0494837164878845,0.0871104747056961,0.4362041056156158,0.0860887914896011,0.1016403213143348,0.0010777063434943,0.0246699471026659,0.0061478186398744,0.0593707226216793,0.0280239898711442,3.57204262400046e-05
Who designed this building?,Not specified in the list provided.,['Joseph Michaud | Victor Bourgeau'],"['Not specified in the provided text.', 'Not specified in the list provided.', 'Not specified in the list provided.', 'Not specified in the provided text.', 'Not specified in the given text.', 'Not specified in the provided text.', 'Not specified in the provided text.', 'Not specified in the list provided.', 'Not specified in the provided text.', 'Unknown']",0,"Kapelle der Versöhnung, Berlin, Germany. Mary, Queen of the World Cathedral, Montreal, Canada. Reformed Church, Dresden, designed by Harald Julius von Bosse (demolished 1963). Ringkirche, Wiesbaden, designed by Johannes Otzen. Sacred Heart Church (Kőszeg, Hungary), designed by Ludwig Schöne. St. Peter's Church, Jaffa. Colegio de Santa Maria de Jesús in Barcelona, Spain, designed by Antoni Gaudí. Columbus Hall (school and theater)  in Orange, NJ designed by Jeremiah O'Rourke. Antiguo Cuartel Militar Español de Ponce, Puerto Rico. Sisters of Charity Hospital, Zagreb, Croatia. Reichstag in Berlin, designed by Paul Wallot. Royal Museum of Fine Arts, Antwerp, designed by Jean-Jacques Winders and Frans Van Dijk. Guaranty Building, Buffalo, New York, designed by Louis Sullivan. Hôtel Tassel (town house), Brussels, designed by Victor Horta. Hurlbut Memorial Gate, Detroit, Michigan, USA. Lululaund, a house for Hubert von Herkomer at Bushey, England, based on a design by Henry Hobson Richardson (d. 1886) (demolished 1939). Rebuilt Köln Hauptbahnhof railway station in Cologne, Germany, designed by E. Grüttefie (engineer) and Georg Frentzen (architect). Negril Lighthouse, Jamaica. De Arend, Coevorden (smock mill), Netherlands.",-0.0200484934420072,0.9914309682153444,-0.3549422934273025,0.6792821161581865,0.2421692162752151,0.0028217483777552,0.0214776750653982,0.0153715619817376,0.0032748477533459,0.0029275878332555,0.007534900214523,0.0006074670818634,0.0002317805337952,0.0006659437785856,0.0004094275063835,0.000577263883315,0.0002763462252914,0.0012552643893286,0.0059782159514725,0.0016951822908595,0.0133943548426032,0.0025751071516424,0.0072431010194122,0.0007741510635241,0.0007398485904559,0.0006716918433085,0.0007920728530734,0.0007769257645122,0.0005088675534352,1.206503987312317
Who is the owner of this building?,"Sir Cecil Herbert Edward Chubb, 1st Baronet",['National Trust'],"['Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet', 'Sir Cecil Herbert Edward Chubb, 1st Baronet']",0,"Sir Cecil Herbert Edward Chubb, 1st Baronet (14 April 1876 – 22 September 1934), was the last private owner of Stonehenge prehistoric monument, Wiltshire, which he donated to the British government in 1918.",-1.054711873393899e-15,1.1861120151343832e-08,-0.002170853500047,1.013009359863071e-05,0.9873107671737672,0.0031049291137605,0.0602521710097789,0.0129256499931216,0.0050158496014773,0.8030955195426941,0.4474373757839203,0.5973364114761353,0.0032204447779804,0.1684458702802658,0.0028273842763155,0.0837825909256935,0.0159462764859199,0.6217985153198242,0.0528847239911556,0.6820384860038757,0.0045155547559261,0.824305534362793,0.0861022546887397,0.1160730272531509,0.0008781682699918,0.1339523792266845,0.0008248533704318,0.3545769453048706,0.000516589032486,0.0006157169700600207
this organization is a division of which business group?,Air France–KLM group,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group', 'Air France–KLM group']",0,"KLM Royal Dutch Airlines is the flag carrier airline of the Netherlands. KLM is headquartered in Amstelveen, with its hub at nearby Amsterdam Airport Schiphol. It is part of the Air France–KLM group and a member of the SkyTeam airline alliance.",-4.440892098500626e-16,1.0,-0.0002702267607901,0.9999647146728348,0.9929370284080504,0.6918573975563049,0.2109782844781875,0.7395877838134766,0.245444506406784,0.8600465655326843,0.9509108066558838,0.9187735319137572,0.0089392969384789,0.760159432888031,0.3057858347892761,0.4798956215381622,0.2615218460559845,0.5843617916107178,0.0149990171194076,0.2044204175472259,0.0109881088137626,0.6865481734275818,0.2357910424470901,0.0759188905358314,0.0312078576534986,0.2264193594455719,0.0043293475173413,0.1920836865901947,0.0128711909055709,2.0942447008565068e-05
What is the closest parent taxonomy of this animal?,Family: Tayassuidae,['Pecari'],"['Family Tayassuidae', 'Family: Tayassuidae', 'Family: Tayassuidae', 'Family Tayassuidae', 'Family Tayassuidae', 'Family: Tayassuidae', 'Family: Tayassuidae', 'Family Tayassuidae', 'Family Tayassuidae', 'Family Tayassuidae']",0,"The collared peccary (Dicotyles tajacu) is a species of artiodactyl (even-toed) mammal in the family Tayassuidae found in North, Central, and South America. It is the only member of the genus Dicotyles. They are commonly referred to as javelina, saíno, or báquiro, although these terms are also used to describe other species in the family. The species is also known as the musk hog. In Trinidad, it is colloquially known as quenk.",-0.0020903261749895,1.0,-0.1304023873435263,0.9959189945593696,0.9912283420562744,0.1892300993204116,0.4165449142456054,0.1384890526533126,0.0473209023475647,0.421351671218872,0.464837908744812,0.0440827533602714,0.0015108867082744,0.3690452575683594,0.0030299141071736,0.4449590742588043,0.0103197479620575,0.0014604658354073,0.0123945083469152,0.0007519714417867,0.0045206225477159,0.0198441110551357,0.0020784903317689,0.0008651104872114,0.0007729178178124,0.0009386225137859,0.0008269235258921,0.0008261773036792,0.0005404338589869,0.029025431722402573
