question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,60-70 days,['59.0-77.0'],"['60 days', '60-65 days', '60-70 days', '60 days', '60-70 days', '60-70 days', '60-70 days', '60-70 days', '60-65 days', '60-70 days']",0,"Short-faced skunk, Brachyprotoma obtusata (E) American hog-nosed skunk, Conepatus leuconotus  LC Striped hog-nosed skunk, Conepatus semistriatus LC Striped skunk, Mephitis mephitis  LC Hooded skunk, Mephitis macroura  LC Southern spotted skunk, Spilogale angustifrons LC Western spotted skunk, Spilogale gracilis  LC Eastern spotted skunk, Spilogale putorius  VU Pygmy spotted skunk, Spilogale pygmaea VU",-2.793581970925971,1.0,-0.3116440803091141,7.889324827200223e-06,0.2717127203941345,0.0089442580938339,0.0034927541855722,0.0123545369133353,0.0234372969716787,0.4020848870277405,0.0652854517102241,0.0006870047654956,0.0003791531780734,0.0007639501127414,0.0005955722299404,0.0019208969315513,0.0004925359971821,0.0396719686686992,0.0394805036485195,0.0248668473213911,0.0219196528196334,0.1389474868774414,0.0076962951570749,0.0011799240019172,0.0007103405660018,0.0012386463349685,0.0008327655959874,0.0008343147928826,0.0008521633571945,0.3698118031024933
What is the length of this vehicle in millimetre?,4190,['4020'],"['4120', '4150', '4150', '4150', '4040', '4195', '4180', '4160', '4160', '4160']",0,"The ""first-generation"" MQB platform underpins various vehicles from C-segment upwards. Audi A3 Mk3 (2013–2020) Audi Q2 (2016–present) Audi TT Mk3 (2014–present) SEAT León Mk3 (2012–2020) Škoda Octavia Mk3 (2012–2020) Škoda Superb Mk3 (B8) (2015–present) Volkswagen Arteon/CC (2017–present) Volkswagen Atlas/Teramont (2017–present) Atlas Cross Sport/Teramont X (2019–present) Volkswagen Golf Mk7 (2012–2020) Volkswagen Golf Sportsvan (2014–2020) Volkswagen Lamando (2014–2022) Volkswagen Passat/Magotan (B8) (2014–present) Volkswagen Passat (China only) (2018–present) Volkswagen Touran Mk2 (2015–present)",-5.757515413675986,7.889324827200223e-06,-0.8046741434931753,2.902320408650404e-06,0.0381539016962051,0.0036757418420165,0.0010864487849175,0.0057430998422205,0.0054568364284932,0.0049400031566619,0.0047789672389626,0.0007498689810745,0.0007022158824838,0.0007942760712467,0.0013077310286462,0.0008405656553804,0.0004370147653389,0.0045861206017434,0.003998439759016,0.0040008900687098,0.0040432219393551,0.0091297421604394,0.0016291234642267,0.0040928814560174,0.000837247876916,0.0044778995215892,0.0008442726102657,0.0041549964807927,0.0007142733084037,0.9757863879203796
What is the closest parent taxonomy of this bird?,Prothonotary warbler,['Protonotaria'],"['Prothonotary warbler is a species of warbler in the family Parulidae.', 'Prothonotary warbler is a member of the family Parulidae, which includes New', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler', 'Prothonotary warbler']",0,"The prothonotary warbler became known in the 1940s as the bird that, in front of the House Un-American Activities Committee, established a connection between Whittaker Chambers and Alger Hiss. Chambers had testified that Hiss enjoyed bird-watching, and once bragged about seeing a prothonotary warbler. Hiss later testified to the same incident, causing many members to become convinced of the pair's acquaintance. This bird is mentioned in A Sand County Almanac by Aldo Leopold as the ""[J]ewel of my disease-ridden woodlot"", ""as proof that dead trees are transmuted into living animals, and vice versa. When you doubt the wisdom of this arrangement, take a look at the prothonotary."" John James Audubon's painting of a prothonotary warbler is the third plate in his The Birds of America. Kurt Vonneguts' novel Jailbird describes the warbler as ""the only birds that are housebroken in captivity"".",-0.0091095353503294,0.7316156289466419,-0.1442969592546952,3.927863545481039e-07,0.8336817026138306,0.1339502334594726,0.0853813290596008,0.1184519529342651,0.1222832128405571,0.3803358376026153,0.4872405529022217,0.0033977760467678,0.0019876805599778,0.0216082111001014,0.0025635506026446,0.1403996646404266,0.0117642637342214,0.0007937499321997,0.1183121129870414,0.00057231989922,0.0861719399690628,0.0007025063969194,0.0271935500204563,0.0012444503372535,0.031284037977457,0.001420838641934,0.0076437690295279,0.0008142316364683,0.0542250424623489,0.08687412738800049
What is the immediately prior item that this organization follows in a series?,Royal New Zealand Air Force,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal Air Force', 'Royal Air Force', 'Royal New Zealand Air Force', 'Royal New Zealand Air Force', 'Royal New Zealand Air Force', 'Royal New Zealand Air Force', 'Royal New Zealand Air Force', 'Royal Air Force', 'Royal Air Force', 'Royal New Zealand Air Force']",0," Argentina Argentine Air Force Argentine Coast Guard Argentine Federal Police  Belgian Congo Force Publique  Biafra Biafran Air Force – One Riley-converted Riley 400 was abandoned at Port Harcourt by Bristow Helicopters at the outbreak of civil war in 1967 and seized by Biafran mercenaries.  Brazil  Ceylon Royal Ceylon Air Force – Six series 5 delivered between 1955 and 1958.  Egypt Egyptian Air Force – Six series 1 delivered between 1947 and 1948.  Ethiopia Imperial Ethiopian Air Force – 3, two former Ethiopian government series 1 transferred to air force in 1952 and one new series 7 in 1965.  India Indian Air Force – 20 Indian Naval Air Arm  Iraq Royal Iraqi Air Force – 7 – One Series 1 for the Royal Flight delivered in 1947 followed by six Series 1 in 1948. Royal Flight No. 3 Transport Squadron  Ireland Irish Air Corps – 4, one series 1B in 1953, one series 5 in 1959, one series 7 in 1962, and series 8 modified for radio and radar calibration in 1970.  Jordan Royal Jordanian Air Force – 6 – Two Series 1 transferred from Jordan National Airlines, two aircraft intended for Jordan National Airlines converted to Series 5 and transferred to air force, two new Series 7s delivered in 1965 Royal Flight  Katanga Force Aérienne Katangaise – 6  Kuwait Kuwait Air Force – Two series 5 transferred to the air force in 1962.  Kingdom of Laos Royal Lao Air Force  Lebanon Lebanese Air Force – One series 1 delivered in 1951, a further aircraft on order was not delivered.  Malaysia Royal Malaysian Air Force- 5 – Three series 8 delivered in 1061 followed by two former RNZAF Devon C.1s delivered in 1968  New Zealand Royal New Zealand Air Force – 30 No. 42 Squadron RNZAF  Pakistan Pakistan Air Force – Two, one former Government of Sind series 1 used until 1962, a new VIP series 2 delivered in 1949. No. 12 Squadron  Paraguay Paraguayan Air Force- One former Argentine Air Force series 1 delivered in 1963.  South Africa South African Air Force – Nine series 1 delivered in 1949. No. 28 Squ",-3.0983866769659327,1.0677040100347829e-06,-0.2043462751465199,0.2231301601484298,0.7524757981300354,0.6056411862373352,0.2532593011856079,0.4613185822963714,0.8064166307449341,0.6649471521377563,0.3557648062705993,0.1087042987346649,0.0017025693086907,0.1117971017956733,0.0043621440418064,0.2419239431619644,0.003280300181359,0.0249176863580942,0.1091466844081878,0.0018276656046509,0.2471992671489715,0.0254461579024791,0.1248734965920448,0.0041118250228464,0.03432472422719,0.0032515190541744,0.0011923533165827,0.0019667542073875,0.0068622077815234,0.6790887713432312
What is the country of origin of this food?,USA,['United States of America'],"['United States', 'USA', 'USA', 'United States', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA']",0,"The Guinness World Record for the most expensive, commercially available sandwich is held by a $214 grilled cheese sandwich, the ""Quintessential Grilled Cheese"", by Serendipity 3 in New York, USA.",-0.0031134181834646,1.0,-0.2311034918754539,0.0003354626279025,0.9028077721595764,0.0177048090845346,0.1069213077425956,0.0301663316786289,0.0281943324953317,0.8156806826591492,0.5469419956207275,0.3620214164257049,0.01733292452991,0.4077136218547821,0.0295646376907825,0.7085362672805786,0.0894789695739746,0.370392382144928,0.0520466119050979,0.4351733028888702,0.0604635067284107,0.5121247172355652,0.383452445268631,0.0727560594677925,0.0038595886435359,0.0020390576682984,0.0369497016072273,0.0041277888230979,0.0017969503533095,0.14947940409183502
What is the minimum height of this animal in centimetre?,25 cm,['36'],"['20 cm', '25 cm', '25 cm', '20 cm', '25 cm', '20 cm', '20 cm', '25 cm', '25 cm', '20 cm']",0,List of dog breeds Tibetan Kyi Apso Dog of Osu Himalayan Sheepdog Lhasa Apso Tibetan Spaniel Tibetan Terrier,-3.16227766016838,0.9239460814058078,-0.2375036662633647,3.535750085040998e-05,0.4932360649108886,0.0569430515170097,0.0042799129150807,0.0645222216844558,0.0262557081878185,0.246192455291748,0.091251827776432,0.0007438900065608,0.0013971560401841,0.0008436007192358,0.0078162802383303,0.0013041556812822,0.0237830840051174,0.049975249916315,0.0581515841186046,0.0379439927637577,0.091128259897232,0.2418626993894577,0.123038649559021,0.0089781489223241,0.0007420968613587,0.0030349539592862,0.0009812602074816,0.0024472752120345,0.0007251553470268,0.7625802159309387
Who designed this building?,Not specified in the provided text.,['Joseph Michaud | Victor Bourgeau'],"['Not specified in the image.', 'Unknown', 'Unknown', 'French architect Jean-Baptiste Léon Doyen', 'Not specified in the provided text.', 'French architect and engineer, Jean-Baptiste Lassalle.', 'Not specified in the provided text.', 'Not specified in the provided text.', 'Not specified in provided text.', 'Not specified in provided text.']",0,Cathedrals of the Roman Catholic Church in Senegal: Cathedral of Our Lady of Victories in Dakar Cathédrale Saint-Théophile in Kaolack Cathedral of Our Lady of Victory in Kolda Cathedral of St. Louis in Saint-Louis Cathedral of Mary Queen of the World in Tambacounda St. Anne Cathedral in Thiès Cathedral of St. Anthony of Padua in Ziguinchor,-3.172861990154024,0.9999963045188522,-0.559764654409021,1.670170079024566e-05,0.223013773560524,0.0031625784467905,0.0125478142872452,0.021467825397849,0.0036842334084212,0.0039235483855009,0.0026039504446089,0.0006123814964666,0.0002258282911498,0.0006900135776959,0.0004074047319591,0.0005906335427425,0.0002674203424248,0.0011404086835682,0.0332104191184043,0.0019158927025273,0.0126832444220781,0.001846314757131,0.0138594694435596,0.000792784965597,0.0007178700179792,0.0006922239554114,0.0007859650650061,0.0007963344687595,0.0004862484638579,0.3461126685142517
Who is the owner of this building?,Shared ownership,['National Trust'],"['Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership', 'Shared ownership']",0,"The Stonehenge area of the WHS is in south Wiltshire. It covers an area of 26 square km and is centred on the prehistoric monument of Stonehenge. Ownership is shared between English Heritage, the National Trust, the Ministry of Defence, the RSPB, Wiltshire Council, and private individuals and farmers.",-9.992007221626409e-16,0.0009118819655545,-0.0496709404202799,0.004086771438464,0.9528043866157532,0.0025397781282663,0.4674459397792816,0.0160459280014038,0.1296981871128082,0.8833805918693542,0.586329996585846,0.0046762619167566,0.027519229799509,0.037256509065628,0.0051989136263728,0.0067890509963035,0.0225053392350673,0.0050887325778603,0.014014434069395,0.0117600625380873,0.0514476373791694,0.1703376919031143,0.0502937361598014,0.0085237054154276,0.0021997813601046,0.0055293035693466,0.0008433069451712,0.0120627591386437,0.0129491109400987,0.31294143199920654
this organization is a division of which business group?,Royal Dutch Shell,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell', 'Royal Dutch Shell']",0,This is a list of airports served by KLM Cityhopper. This list does not include cities which are served solely by its parent company KLM.,-4.440892098500626e-16,2.1724399350790168e-10,-0.0440367076953407,4.539992976248485e-05,0.9821546077728271,0.2871423363685608,0.0220273230224847,0.4694570004940033,0.1254880577325821,0.923253059387207,0.1256970465183258,0.2323806285858154,0.0027801317628473,0.1364174783229828,0.0272972472012043,0.501528263092041,0.0093349870294332,0.2086676061153412,0.1480797082185745,0.0960190445184707,0.1390945166349411,0.4877926409244537,0.3366335332393646,0.0177417993545532,0.1592635810375213,0.1086387187242508,0.1424487233161926,0.0142873665317893,0.1073835641145706,0.6626714468002319
What is the closest parent taxonomy of this animal?,Tayassuidae,['Pecari'],"['Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae', 'Tayassuidae']",0,"Collared peccary, Dicotyles tajacu Giant peccary, Pecari maximus White-lipped peccary, Tayassu pecari",-4.996003610813204e-16,1.0,-0.0704347071968906,0.0759162135601666,0.9872128367424012,0.1633693575859069,0.0112337451428174,0.1434779316186905,0.0080931596457958,0.4387827515602112,0.0226428043097257,0.189035102725029,0.0042262803763151,0.2566814124584198,0.0820265561342239,0.3239642083644867,0.0246974155306816,0.0012600859627127,0.1339650005102157,0.0236347429454326,0.0903892368078231,0.0277098249644041,0.0360403880476951,0.0011902500409632,0.0020206710323691,0.001281538628973,0.0010098981438204,0.0008050538599491,0.0397243499755859,0.19410717487335205
