question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_infoseek_bm25_base_no_context,llava_infoseek_bm25_base_with_context,llava_infoseek_bm25_no_p_prime,llava_infoseek_bm25_no_p_q_i,llava_infoseek_bm25_no_p_q_c,llava_infoseek_bm25_no_p_q
How many days does the gestation of this animal take?,18,['59.0-77.0'],[],0,"Short-faced skunk, Brachyprotoma obtusata (E) American hog-nosed skunk, Conepatus leuconotus  LC Striped hog-nosed skunk, Conepatus semistriatus LC Striped skunk, Mephitis mephitis  LC Hooded skunk, Mephitis macroura  LC Southern spotted skunk, Spilogale angustifrons LC Western spotted skunk, Spilogale gracilis  LC Eastern spotted skunk, Spilogale putorius  VU Pygmy spotted skunk, Spilogale pygmaea VU",0.05588257312774658,0.038973044604063034,0.039657410234212875,0.004072142764925957,0.002474803477525711,0.003086926182731986,0.014825782738626003
What is the length of this vehicle in millimetre?,4500,['4020'],[],0,"The ""first-generation"" MQB platform underpins various vehicles from C-segment upwards. Audi A3 Mk3 (2013–2020) Audi Q2 (2016–present) Audi TT Mk3 (2014–present) SEAT León Mk3 (2012–2020) Škoda Octavia Mk3 (2012–2020) Škoda Superb Mk3 (B8) (2015–present) Volkswagen Arteon/CC (2017–present) Volkswagen Atlas/Teramont (2017–present) Atlas Cross Sport/Teramont X (2019–present) Volkswagen Golf Mk7 (2012–2020) Volkswagen Golf Sportsvan (2014–2020) Volkswagen Lamando (2014–2022) Volkswagen Passat/Magotan (B8) (2014–present) Volkswagen Passat (China only) (2018–present) Volkswagen Touran Mk2 (2015–present)",0.0586588978767395,0.0009799611289054155,0.1215745359659195,0.014308677054941654,0.006953370291739702,0.014377739280462265,0.029167400673031807
What is the closest parent taxonomy of this bird?,Sparrow,['Protonotaria'],[],0,"The prothonotary warbler became known in the 1940s as the bird that, in front of the House Un-American Activities Committee, established a connection between Whittaker Chambers and Alger Hiss. Chambers had testified that Hiss enjoyed bird-watching, and once bragged about seeing a prothonotary warbler. Hiss later testified to the same incident, causing many members to become convinced of the pair's acquaintance. This bird is mentioned in A Sand County Almanac by Aldo Leopold as the ""[J]ewel of my disease-ridden woodlot"", ""as proof that dead trees are transmuted into living animals, and vice versa. When you doubt the wisdom of this arrangement, take a look at the prothonotary."" John James Audubon's painting of a prothonotary warbler is the third plate in his The Birds of America. Kurt Vonneguts' novel Jailbird describes the warbler as ""the only birds that are housebroken in captivity"".",0.31103578209877014,0.0005914819776080549,0.11881393939256668,0.00573359988629818,0.021372728049755096,0.013469587080180645,0.012382151558995247
What is the immediately prior item that this organization follows in a series?,No,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],[],0," Argentina Argentine Air Force Argentine Coast Guard Argentine Federal Police  Belgian Congo Force Publique  Biafra Biafran Air Force – One Riley-converted Riley 400 was abandoned at Port Harcourt by Bristow Helicopters at the outbreak of civil war in 1967 and seized by Biafran mercenaries.  Brazil  Ceylon Royal Ceylon Air Force – Six series 5 delivered between 1955 and 1958.  Egypt Egyptian Air Force – Six series 1 delivered between 1947 and 1948.  Ethiopia Imperial Ethiopian Air Force – 3, two former Ethiopian government series 1 transferred to air force in 1952 and one new series 7 in 1965.  India Indian Air Force – 20 Indian Naval Air Arm  Iraq Royal Iraqi Air Force – 7 – One Series 1 for the Royal Flight delivered in 1947 followed by six Series 1 in 1948. Royal Flight No. 3 Transport Squadron  Ireland Irish Air Corps – 4, one series 1B in 1953, one series 5 in 1959, one series 7 in 1962, and series 8 modified for radio and radar calibration in 1970.  Jordan Royal Jordanian Air Force – 6 – Two Series 1 transferred from Jordan National Airlines, two aircraft intended for Jordan National Airlines converted to Series 5 and transferred to air force, two new Series 7s delivered in 1965 Royal Flight  Katanga Force Aérienne Katangaise – 6  Kuwait Kuwait Air Force – Two series 5 transferred to the air force in 1962.  Kingdom of Laos Royal Lao Air Force  Lebanon Lebanese Air Force – One series 1 delivered in 1951, a further aircraft on order was not delivered.  Malaysia Royal Malaysian Air Force- 5 – Three series 8 delivered in 1061 followed by two former RNZAF Devon C.1s delivered in 1968  New Zealand Royal New Zealand Air Force – 30 No. 42 Squadron RNZAF  Pakistan Pakistan Air Force – Two, one former Government of Sind series 1 used until 1962, a new VIP series 2 delivered in 1949. No. 12 Squadron  Paraguay Paraguayan Air Force- One former Argentine Air Force series 1 delivered in 1963.  South Africa South African Air Force – Nine series 1 delivered in 1949. No. 28 Squ",0.5015517473220825,0.0005408814176917076,0.0014415907207876444,0.003260333789512515,0.0039018827956169844,0.0007755964179523289,0.0024115866981446743
What is the country of origin of this food?,Usa,['United States of America'],[],0,"The Guinness World Record for the most expensive, commercially available sandwich is held by a $214 grilled cheese sandwich, the ""Quintessential Grilled Cheese"", by Serendipity 3 in New York, USA.",0.8137719631195068,0.0031233683694154024,0.012163213454186916,0.008143987506628036,0.0015664950478821993,0.0008466782746836543,0.005761256441473961
What is the minimum height of this animal in centimetre?,20,['36'],[],0,List of dog breeds Tibetan Kyi Apso Dog of Osu Himalayan Sheepdog Lhasa Apso Tibetan Spaniel Tibetan Terrier,0.12786658108234406,0.02791258506476879,0.19154921174049377,0.007638937793672085,0.00921598169952631,0.015697341412305832,0.06647440791130066
Who designed this building?,Architect,['Joseph Michaud | Victor Bourgeau'],[],0,Cathedrals of the Roman Catholic Church in Senegal: Cathedral of Our Lady of Victories in Dakar Cathédrale Saint-Théophile in Kaolack Cathedral of Our Lady of Victory in Kolda Cathedral of St. Louis in Saint-Louis Cathedral of Mary Queen of the World in Tambacounda St. Anne Cathedral in Thiès Cathedral of St. Anthony of Padua in Ziguinchor,0.7571830153465271,0.0005883928388357162,0.1323346197605133,0.002033549826592207,0.003859244054183364,0.0010101271327584982,0.026598408818244934
Who is the owner of this building?,English heritage,['National Trust'],[],0,"The Stonehenge area of the WHS is in south Wiltshire. It covers an area of 26 square km and is centred on the prehistoric monument of Stonehenge. Ownership is shared between English Heritage, the National Trust, the Ministry of Defence, the RSPB, Wiltshire Council, and private individuals and farmers.",0.8060964941978455,0.0010541585506871343,0.02524280734360218,0.005858422257006168,0.02946954034268856,0.007904041558504105,0.01650938391685486
this organization is a division of which business group?,Klm,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']",[],0,This is a list of airports served by KLM Cityhopper. This list does not include cities which are served solely by its parent company KLM.,0.8927401900291443,0.3506387174129486,0.15078601241111755,0.10543950647115707,0.00942221935838461,0.4213019609451294,0.18525822460651398
What is the closest parent taxonomy of this animal?,Pecari,['Pecari'],[],1,"Collared peccary, Dicotyles tajacu Giant peccary, Pecari maximus White-lipped peccary, Tayassu pecari",0.26837047934532166,0.0005894963978789747,0.041339028626680374,0.032684326171875,0.025234512984752655,0.01316828653216362,0.09745649248361588
