question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,llava_evqa_eva_clip_base_no_context,llava_evqa_eva_clip_base_with_context,llava_evqa_eva_clip_no_p_prime,llava_evqa_eva_clip_no_p_q_i,llava_evqa_eva_clip_no_p_q_c,llava_evqa_eva_clip_no_p_q
When did Mudhoney name a song after this pass?,1990,['1993'],[],0,"Haro Strait and other waters flanking the Gulf Islands and San Juans were the home of Straits Salish peoples including the Lummi, Saanich, and Klallam, but the route's natural importance as a regional waterway made it also an important sea-route for raiding and also for regular trade for all marine peoples of the Northwest Coast. Haro Strait was named in 1790 by Manuel Quimper, commander of Princesa Real, in honor of his pilot, Gonzalo López de Haro.  In 1791 Francisco de Eliza sent José María Narváez far into the Strait of Georgia via Haro and Rosario Straits. In 1792 Haro Strait was explored and mapped by George Vancouver. An alternate theory about the naming was proposed by Edmond S. Meany, who suggested that Haro Strait was named for Alonso Núñez de Haro y Peralta, Archbishop of Mexico from 1772 to 1800, and, for several months during 1787, Viceroy of New Spain. Haro Strait's status as the location of the international boundary was not established until the resolution of the San Juan Islands dispute in 1870, when it was selected by an arbitrator, German Kaiser Wilhelm I, over Rosario Strait, on the eastern side of the San Juans, which was preferred by the British and would have made the San Juans part of British Columbia, as they were originally viewed to be by the British after the Oregon Treaty of 1846. Haro Strait is also an important location for the regional commercial fishery, as the bulk of the Fraser River salmon run uses the Haro Strait to enter that river. D'Arcy Island on the Canadian side of the strait was a leper colony for Chinese immigrants in the 19th century. Older USGS maps, such as the 1976 edition of the Victoria quadrangle (1:250,000 scale), show Haro Strait as encompassing Boundary Pass, passing south of Saturna Island.",0.061013113707304,0.002151565393432975,0.014870164915919304,0.08997128158807755,0.017138144001364708,0.1780083328485489,0.07701635360717773
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Servants,['soldiers'],[],0,"A well-known haiku describes the islands as so striking that the poet is at a loss for words: 松島やああ松島や松島や Matsushima ya / aa Matsushima ya / Matsushima ya     Matsushima ah! / A-ah, Matsushima, ah! / Matsushima, ah! While often attributed to Matsuo Bashō, the earliest known publication is in the Matsushima Zushi (松島図誌),  published in 1820 over a century after Bashō's death, which attributes it to the kyōka poet Tawara-bō (田原坊).  While Bashō did visit Matsushima in Oku no Hosomichi, its only haiku about Matsushima was written by his travel comparison Kawai Sora.",0.3521988093852997,0.183027982711792,0.43360161781311035,0.07631561160087585,0.09069576114416122,0.31416746973991394,0.0933331549167633
How many webby awards has this museum won for best science website?,1,['four'],[],0,"Grant Olney Passmore (born October 18, 1983) is a singer-songwriter who has recorded on the Asian Man Records label. He is considered part of the New Weird America movement along with David Dondero, Devendra Banhart, Bright Eyes, and CocoRosie.  His latest full-length album, Hypnosis for Happiness, was released in July 2013 on the Friendly Police UK label. His previous full-length album, Brokedown Gospel, was released on the Asian Man Records label in July 2004.  He also releases music under the pseudonym Scout You Devil and as part of the songwriting duo Olney Clark. Alongside his music, Passmore is also a mathematician and theoretical computer scientist, formerly a student at the University of Texas at Austin, the Mathematical Research Institute in the Netherlands, and the University of Edinburgh, where he earned his PhD.  He is a Life Member of Clare Hall, University of Cambridge and is cofounder of the artificial intelligence company Imandra Inc. (formerly known as Aesthetic Integration) which produces technology for the formal verification of algorithms. He was paired with artist Hito Steyerl in the 2016 Rhizome Seven on Seven. As a young child and early teenager, Passmore was involved in the development of the online Bulletin Board system scene, and under the name skaboy he was the author of many applications of importance to the Bulletin Board System community, including the Infusion Bulletin Board System, Empathy Image Editor, Avenger Packer Pro, and Impulse Tracker Tosser.  Passmore was head programmer for ACiD Productions while working on many of these applications.",0.25922828912734985,0.0033539854921400547,0.01063275896012783,0.009252499788999557,0.01683126576244831,0.0249814223498106,0.04286647588014603
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],[],0,"In the middle of the platform's base there is an arched portal - where people, carts, horsemen, and palanquins could pass through. Many images of people and animals were carved inside the arched gate tunnel and around the portal.",0.9430511593818665,0.08390182256698608,0.2215632051229477,0.19635465741157532,0.1574164628982544,0.31933897733688354,0.34977465867996216
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Not preferred,['favoured'],[],0,"The birds breed in the Altai from May, with scattered pairs nesting some distance from one another. A nest recorded in early May in a birch tree was built 5 m above the ground of thin twigs and dry grass lined with thin rootlets and hair. Fledglings and independent juvenile birds have been recorded from mid-July to early August. Dispersal from the breeding range begins in August and September, with birds appearing in southeastern Kazakhstan from the end of October to early November, and remaining there until mid-May.",0.3129175007343292,0.020193489268422127,0.002616054378449917,0.00573006784543395,0.024210335686802864,0.09322493523359299,0.041764453053474426
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],[],0,"Euphorbia micromera is a species of flowering plant in the family Euphorbiaceae. It is known by the common name Sonoran sandmat. It is native to the southwestern United States from California to Texas, and northern Mexico, where it grows in sandy soils in desert and other dry habitat. It is an annual herb forming a small mat of slender stems. The hairy to hairless leaves are oblong in shape and just a few millimeters long. The tiny inflorescence is a cyathium less than a millimeter wide. It lacks the appendages that many similar species have in their cyathia. It has only a central female flower and 2 to 5 male flowers surrounded by round red nectar glands. The fruit is a minute round capsule.",0.9530632495880127,0.004992634057998657,0.01119963452219963,0.02974924072623253,0.034632522612810135,0.10287249833345413,0.13740070164203644
What part of north africa is this plant native to?,None,['western'],[],0,"Garrya flavescens is a species of flowering shrub, known by the common name ashy silktassel. The plant is native to the southwestern United States, and Baja California, Sonora, and Chihuahua in Mexico. It grows in many habitats, including dry forest, desert, and chaparral.",0.6119500994682312,0.0009530471870675683,0.001225750078447163,0.0014470464084297419,0.0023217638954520226,0.0013058037729933858,0.0031658599618822336
Are there periods of high or low nectar production for this bird?,Low,['low'],[],1,"It is found in subtropical or tropical moist montane forests, including Juniper and Podocarpus forest, and in subtropical or tropical moist shrubland and gardens.",0.384590208530426,0.23323757946491241,0.31756868958473206,0.4228349030017853,0.3126004636287689,0.3601541519165039,0.3837958872318268
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],[],1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",0.630157470703125,0.2952819764614105,0.7484832406044006,0.9596779346466064,0.8705452680587769,0.8845112919807434,0.48498988151550293
What are the common names of this plant?,North park phacelia,['vinegarweed and camphor weed'],[],0,"Phacelia formosula is a rare species of flowering plant in the borage family known by the common name North Park phacelia. It is endemic to the state of Colorado in the United States, where it is known only from the North Park region in Jackson County. It is threatened by a number of human activities, such as motorcycle and off-road vehicle use in its habitat. It is a federally listed endangered species of the United States. This plant was first collected on August 6, 1918, near Walden, Colorado. It was placed on the US Endangered Species List on September 1, 1982. There are eight to eleven occurrences of the plant for a total of fewer than 5000 individuals. All but two of the occurrences are small. This biennial herb grows to a maximum height around 22 centimeters. The leaves have blades deeply cut into lobes. The inflorescence is a scorpioid cyme, an array of branches curved into a curl that resembles the tail of a scorpion. Blooming occurs in July and August. The flowers are pollinated by insects, including the pollen wasp Pseudomasaris zonalis. The plant only grows in North Park, a large basin in northern Colorado. There it is limited to ravines and bare slopes of eroding rock originating from the Coalmont Formation. The substrate is sandy and rust-colored and it contains coal. Few other plants grow on the slopes.  The decomposing rock slopes are popular with off-road vehicle users. The vehicles erode the substrate, disturbing the plants. Other threats include trampling and grazing by livestock, coal extraction, and petroleum exploration.",0.7182196378707886,0.061520256102085114,0.10866262763738632,0.11315232515335083,0.09145167469978333,0.16939009726047516,0.30685195326805115
