question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1991,['1993'],"['1994', '1994', '1994', '1994', '1994', '2002', '2001', '1994', '2003', '1994']",0,"Haro Strait and other waters flanking the Gulf Islands and San Juans were the home of Straits Salish peoples including the Lummi, Saanich, and Klallam, but the route's natural importance as a regional waterway made it also an important sea-route for raiding and also for regular trade for all marine peoples of the Northwest Coast. Haro Strait was named in 1790 by Manuel Quimper, commander of Princesa Real, in honor of his pilot, Gonzalo López de Haro.  In 1791 Francisco de Eliza sent José María Narváez far into the Strait of Georgia via Haro and Rosario Straits. In 1792 Haro Strait was explored and mapped by George Vancouver. An alternate theory about the naming was proposed by Edmond S. Meany, who suggested that Haro Strait was named for Alonso Núñez de Haro y Peralta, Archbishop of Mexico from 1772 to 1800, and, for several months during 1787, Viceroy of New Spain. Haro Strait's status as the location of the international boundary was not established until the resolution of the San Juan Islands dispute in 1870, when it was selected by an arbitrator, German Kaiser Wilhelm I, over Rosario Strait, on the eastern side of the San Juans, which was preferred by the British and would have made the San Juans part of British Columbia, as they were originally viewed to be by the British after the Oregon Treaty of 1846. Haro Strait is also an important location for the regional commercial fishery, as the bulk of the Fraser River salmon run uses the Haro Strait to enter that river. D'Arcy Island on the Canadian side of the strait was a leper colony for Chinese immigrants in the 19th century. Older USGS maps, such as the 1976 edition of the Victoria quadrangle (1:250,000 scale), show Haro Strait as encompassing Boundary Pass, passing south of Saturna Island.",-4.295187568770486,4.5990553786523166e-10,-0.435601172302886,1.3709590863840845e-06,0.4005253612995147,0.0373654179275035,0.0229227263480424,0.0264057628810405,0.0985524728894233,0.098328873515129,0.1036741808056831,0.0057415594346821,0.0104908877983689,0.0040400954894721,0.3708554804325104,0.0101184025406837,0.0473266839981079,0.0701609551906585,0.1185992136597633,0.003476639278233,0.0867683142423629,0.0679598972201347,0.0183311570435762,0.0028173178434371,0.0144081525504589,0.0038168844766914,0.082720823585987,0.0287002455443143,0.3038302361965179,0.8455345630645752
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",servants,['soldiers'],"['servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants', 'servants']",0,"A well-known haiku describes the islands as so striking that the poet is at a loss for words: 松島やああ松島や松島や Matsushima ya / aa Matsushima ya / Matsushima ya     Matsushima ah! / A-ah, Matsushima, ah! / Matsushima, ah! While often attributed to Matsuo Bashō, the earliest known publication is in the Matsushima Zushi (松島図誌),  published in 1820 over a century after Bashō's death, which attributes it to the kyōka poet Tawara-bō (田原坊).  While Bashō did visit Matsushima in Oku no Hosomichi, its only haiku about Matsushima was written by his travel comparison Kawai Sora.",-1.6653345369377348e-16,0.9999982118622556,-0.0188209407885248,3.466327412661965e-07,0.9513136744499208,0.988060176372528,0.7277679443359375,0.8460630774497986,0.9565762281417848,0.6956236958503723,0.7424127459526062,0.2841279208660126,0.6521905660629272,0.2590086162090301,0.7338557243347168,0.2342832684516906,0.6578085422515869,0.2924679815769195,0.1896313279867172,0.2779888808727264,0.3856957852840423,0.3080480098724365,0.1587836295366287,0.0111733833327889,0.0853200703859329,0.0052401013672351,0.1296606957912445,0.015204356983304,0.0111635522916913,0.055335480719804764
How many webby awards has this museum won for best science website?,None.,['four'],"['0', '0', '0', '0', 'None.', '0', 'None.', 'None.', 'None.', '0']",0,"Grant Olney Passmore (born October 18, 1983) is a singer-songwriter who has recorded on the Asian Man Records label. He is considered part of the New Weird America movement along with David Dondero, Devendra Banhart, Bright Eyes, and CocoRosie.  His latest full-length album, Hypnosis for Happiness, was released in July 2013 on the Friendly Police UK label. His previous full-length album, Brokedown Gospel, was released on the Asian Man Records label in July 2004.  He also releases music under the pseudonym Scout You Devil and as part of the songwriting duo Olney Clark. Alongside his music, Passmore is also a mathematician and theoretical computer scientist, formerly a student at the University of Texas at Austin, the Mathematical Research Institute in the Netherlands, and the University of Edinburgh, where he earned his PhD.  He is a Life Member of Clare Hall, University of Cambridge and is cofounder of the artificial intelligence company Imandra Inc. (formerly known as Aesthetic Integration) which produces technology for the formal verification of algorithms. He was paired with artist Hito Steyerl in the 2016 Rhizome Seven on Seven. As a young child and early teenager, Passmore was involved in the development of the online Bulletin Board system scene, and under the name skaboy he was the author of many applications of importance to the Bulletin Board System community, including the Infusion Bulletin Board System, Empathy Image Editor, Avenger Packer Pro, and Impulse Tracker Tosser.  Passmore was head programmer for ACiD Productions while working on many of these applications.",-0.0022075571026489,0.6221280277674447,-0.3492266101093264,3.2241867372567335e-08,0.1968586146831512,0.0025785274337977,0.0120170731097459,0.0076060816645622,0.0084505965933203,0.0013039861805737,0.0311913546174764,0.0006288943113759,0.000264187954599,0.0007777531282044,0.0005949997575953,0.0006137195741757,0.0002951846981886,0.005924027878791,0.1217778399586677,0.0101786470040678,0.1425407975912094,0.010239714756608,0.0534377358853817,0.0007901064818724,0.0009640459902584,0.0007206752779893,0.0009249459253624,0.0008850185549817,0.0005845047417096,0.27222388982772827
What kind of trains stop at this railway station?,None.,['CRH high-speed trains'],"['No trains stop here.', ""No trains stop here — it's a historical station with no modern rail service."", 'No trains stop here.', 'No trains stop here.', 'No trains stop here.', 'None.', 'None, as the station is located in the mountains and is not a railway station.', 'No trains stop here — it’s a station for pedestrians and carts, not for trains.', 'No trains stop here — it’s a station for people and carts, not trains.', ""No trains stop here — it's a historical site, not a modern railway station.""]",0,"In the middle of the platform's base there is an arched portal - where people, carts, horsemen, and palanquins could pass through. Many images of people and animals were carved inside the arched gate tunnel and around the portal.",-0.0703359456066161,0.9999898672617248,-0.4018794284425145,8.315287191035679e-07,0.2740059792995453,0.002422631252557,0.002640463411808,0.007331577129662,0.0029984002467244,0.0009868771303445,0.0014548536855727,0.000620812177658,0.0002748327679,0.0007271409849636,0.0004650554328691,0.0006024775793775,0.0002717770694289,0.0031840207520872,0.0028032173868268,0.0056034647859632,0.0141486814245581,0.0046299840323626,0.0027527983766049,0.000824904476758,0.0006926978239789,0.0007984541007317,0.000793577521108,0.0008912311750464,0.0005229493253864,1.0507866144180298
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred', 'Preferred']",0,"The birds breed in the Altai from May, with scattered pairs nesting some distance from one another. A nest recorded in early May in a birch tree was built 5 m above the ground of thin twigs and dry grass lined with thin rootlets and hair. Fledglings and independent juvenile birds have been recorded from mid-July to early August. Dispersal from the breeding range begins in August and September, with birds appearing in southeastern Kazakhstan from the end of October to early November, and remaining there until mid-May.",-3.3306690738754696e-16,1.0,-0.0330552300438284,9.61116520613947e-05,0.9631268978118896,0.9769697189331056,0.8990272879600525,0.8643636107444763,0.8464943170547485,0.9376661777496338,0.8588911890983582,0.9561757445335388,0.944257915019989,0.9521724581718444,0.9747641682624816,0.9377008676528932,0.9629589319229126,0.0514018833637237,0.1236259490251541,0.0136629315093159,0.21005280315876,0.2667456865310669,0.2025824785232544,0.0176673475652933,0.1612333953380584,0.0151371313259005,0.2902784943580627,0.0168411713093519,0.4712763726711273,0.8541354537010193
Is the common name red-gland spurge known or unknown for this plant?,Unknown,['known'],"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",0,"Euphorbia micromera is a species of flowering plant in the family Euphorbiaceae. It is known by the common name Sonoran sandmat. It is native to the southwestern United States from California to Texas, and northern Mexico, where it grows in sandy soils in desert and other dry habitat. It is an annual herb forming a small mat of slender stems. The hairy to hairless leaves are oblong in shape and just a few millimeters long. The tiny inflorescence is a cyathium less than a millimeter wide. It lacks the appendages that many similar species have in their cyathia. It has only a central female flower and 2 to 5 male flowers surrounded by round red nectar glands. The fruit is a minute round capsule.",-6.106226635438361e-16,0.9239460814058078,-0.0467804023064672,4.006529739295107e-05,0.9831284284591676,0.9575557708740234,0.7898205518722534,0.8141027688980103,0.7924455404281616,0.0453746765851974,0.6154263019561768,0.0171525906771421,0.0191271360963583,0.0079003376886248,0.8620748519897461,0.0024059365969151,0.025840314105153,0.2055418342351913,0.2330242097377777,0.0103922905400395,0.54964679479599,0.5027834177017212,0.2664137482643127,0.0015711248852312,0.0011693225242197,0.0016403930494561,0.040928766131401,0.0026799619663506,0.0182457771152257,0.23734937608242035
What part of north africa is this plant native to?,Not native to North Africa.,['western'],"['Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.', 'Not native to North Africa.']",0,"Garrya flavescens is a species of flowering shrub, known by the common name ashy silktassel. The plant is native to the southwestern United States, and Baja California, Sonora, and Chihuahua in Mexico. It grows in many habitats, including dry forest, desert, and chaparral.",-8.881784197001252e-16,0.880774957955678,-0.0051976410899539,0.0009118819655545,0.9518242478370668,0.0111036989837884,0.304828941822052,0.1481449156999588,0.2195210456848144,0.0775118619203567,0.2958644330501556,0.0008950722403824,0.0002486742450855,0.0010422450723126,0.0004473499429877,0.0013447680976241,0.0003101811162196,0.3472441732883453,0.0290771685540676,0.0361636392772197,0.0419334210455417,0.3800161778926849,0.1750989109277725,0.0012428486952558,0.0007433751598,0.0017772177234292,0.0008020855020731,0.0011429775040596,0.0007101720548234,0.631920337677002
Are there periods of high or low nectar production for this bird?,No specific mention of nectar production periods.,['low'],"['No specific information provided about nectar production periods.', 'No specific information provided about nectar production periods.', 'No specific mention of nectar production periods.', 'No specific information provided about nectar production periods.', 'No specific mention of nectar production periods in the given text.', 'No specific mention of nectar production periods.', 'No specific information provided about nectar production periods.', 'No specific mention of nectar production periods in the text.', 'No specific information provided about nectar production periods.', 'No specific mention of nectar production periods in the text.']",0,"It is found in subtropical or tropical moist montane forests, including Juniper and Podocarpus forest, and in subtropical or tropical moist shrubland and gardens.",-0.001305280060273,1.0,-0.1881332822025208,1.5535001679540347e-06,0.4147856831550598,0.3061906993389129,0.1532680392265319,0.2055476754903793,0.0723995342850685,0.0402750484645366,0.1571182906627655,0.0006050947704352,0.0002329440903849,0.0007064850069582,0.0004089988069608,0.0006433670059777,0.0002698725147638,0.0424270592629909,0.0289680790156126,0.0275205969810485,0.0227629300206899,0.112202413380146,0.0374397113919258,0.0008401632658205,0.0006701675010845,0.0007434569997712,0.0007933113374747,0.0008003337425179,0.0004892453434877,0.29383325576782227
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-7.771561172376097e-16,0.0067379469990854,-0.004934075570721,0.9398718726030456,0.9927486777305604,0.9687745571136476,0.8499255776405334,0.7856969237327576,0.9415683150291444,0.9132927060127258,0.8704627752304077,0.6362178921699524,0.1038355678319931,0.598665177822113,0.4882877171039581,0.9566069841384888,0.6245105862617493,0.7337596416473389,0.1652286499738693,0.2159316837787628,0.2120770215988159,0.696330726146698,0.1804092824459076,0.3667695820331573,0.3720419704914093,0.3556460440158844,0.6527938842773438,0.196754902601242,0.7033253908157349,0.009510070085525513
What are the common names of this plant?,North Park phacelia,['vinegarweed and camphor weed'],"['North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia', 'North Park phacelia']",0,"Phacelia formosula is a rare species of flowering plant in the borage family known by the common name North Park phacelia. It is endemic to the state of Colorado in the United States, where it is known only from the North Park region in Jackson County. It is threatened by a number of human activities, such as motorcycle and off-road vehicle use in its habitat. It is a federally listed endangered species of the United States. This plant was first collected on August 6, 1918, near Walden, Colorado. It was placed on the US Endangered Species List on September 1, 1982. There are eight to eleven occurrences of the plant for a total of fewer than 5000 individuals. All but two of the occurrences are small. This biennial herb grows to a maximum height around 22 centimeters. The leaves have blades deeply cut into lobes. The inflorescence is a scorpioid cyme, an array of branches curved into a curl that resembles the tail of a scorpion. Blooming occurs in July and August. The flowers are pollinated by insects, including the pollen wasp Pseudomasaris zonalis. The plant only grows in North Park, a large basin in northern Colorado. There it is limited to ravines and bare slopes of eroding rock originating from the Coalmont Formation. The substrate is sandy and rust-colored and it contains coal. Few other plants grow on the slopes.  The decomposing rock slopes are popular with off-road vehicle users. The vehicles erode the substrate, disturbing the plants. Other threats include trampling and grazing by livestock, coal extraction, and petroleum exploration.",-7.2164496600635185e-16,0.999795934520482,-8.344631273378885e-07,0.993308620464292,0.993164837360382,0.0120767811313271,0.0257480964064598,0.0237220041453838,0.9275649785995485,0.2441534847021103,0.5032581090927124,0.7620805501937866,0.0138582773506641,0.2354398816823959,0.2816823422908783,0.6007139086723328,0.1994706690311432,0.8400949239730835,0.4323780536651611,0.3167418539524078,0.1203727275133133,0.8050904870033264,0.4777692854404449,0.1383944749832153,0.33883798122406,0.4048300385475158,0.0098157888278365,0.4480715692043304,0.3138492405414581,4.1236628021579236e-05
