question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
How many days does the gestation of this animal take?,59-77,['59.0-77.0'],"['20 days', '59', '59', '59', '59', '60', '59-77 days', '59 to 77 days', '76', 'Seven weeks']",0,"The striped skunk is polygamous, and normally breeds once a year, though yearling females who have failed to mate may enter a second estrous cycle a month after the first. The mating season usually occurs between mid-February to mid-April, though it is delayed at higher latitudes. Prior to copulating, the males' testicles swell during the January–February period, with maximum size being attained in March. Males during this period will cover much ground in their search for females, sometimes covering 4 km (2.5 mi) per night. When a male locates a female, he will approach her from the rear and lick her genitals, then bite her on the nape before copulating. A single male may have a harem of several females, which he mates with and defends against other males for a period of about 35 days. Once the mating period has finished, the impregnated females confine themselves to their dens, while the males attempt to rebuild their fat reserves. The gestation period lasts around 59–77 days, with kits being born at about mid-May to early June. Litters generally consist of 2–12 kits, with the average being five or six, though a litter of 18 is known from Pennsylvania. Kits are born blind and sparsely furred, weighing 25–40 grams. The eyes open after around three weeks, and are weaned after 42–56 days. Although their musk is still undeveloped, kits of this age will instinctively assume the defensive stand position when threatened. At this point, the kits may accompany their mother outside the den, becoming independent after 2½ months.",-3.685871007471095,0.912401810097926,-1.05280447884618,0.6761384461744746,0.3101566135883331,0.0039029037579894,0.0065561351366341,0.0053078955970704,0.0421933494508266,0.0799295455217361,0.629734992980957,0.001965882955119,0.000475303037092,0.0016951638972386,0.0011029184097424,0.022878335788846,0.0004514896136242,0.072722427546978,0.0192184913903474,0.0468823462724685,0.0047127874568104,0.460395872592926,0.0124925170093774,0.004919187631458,0.0028450395911931,0.0064173121936619,0.0008668648079037,0.0032158205285668,0.000896162353456,0.000469207763671875
What is the length of this vehicle in millimetre?,4200,['4020'],"['It is 4278mm', '4500', '4200', '2000', '4500', '4110', '3800', '5000', '4.1', '365']",0,"A 16-valve version of the third-generation Golf GTI was introduced in 1993. The engine was enlarged to 2.0L, with power now reaching 150 PS (110kW/148hp). While less powered than the VR6, it was still relatively popular with driving enthusiasts in Europe, because it offered similar power without the thirst or tax burden of a 6 cylinder. As with previous versions the Golf Driver acted as the official GTI-look-alike in the United Kingdom. Similar to the continental market Golf GT, it looked sporting but was fitted with a single-point injected 1.8L engine. The Golf Mk3 was also the predecessor of the ""diesel craze"" that swept through Europe in the late 1990s and early 2000s, when Volkswagen introduced the direct-injection system with the 90 PS (66 kW; 89 hp) Golf TDI in 1993. From its launch, all versions of the Golf came with fuel injection, to meet EEC requirements that all new cars sold in member countries from January 1993 must come with fuel injection or a catalytic converter. Non-catalyzed models were also built for those markets where there was no interest in them; power outputs were the same as for the catalyzed models. An all-new 1.4 petrol engine was the entry-level model in the MK2 Golf range. Also offered was a naturally aspirated version of the 1.9 L diesel engine, the SDI, offering 47 kW (64 PS; 63 hp). Airbags were first offered on the Golf in 1992, and from 1996 anti-lock brakes were standard across the range. The Golf Mk3 was also available in ""Ecomatic"" form. It was powered with a diesel engine and a clutch-less manual transmission. The vehicle would freewheel by opening of the clutch as soon as the accelerator is released, and the engine was switched off after a further 1.5 seconds of inactivity, whether by stopping or coasting. Restarting the engine simply required depressing the accelerator pedal. VW had previously pioneered similar technology in the VW Polo ""Formel E"" in the 1980s. There was also a limited production run of around 250 ""CitySTROMer",-8.85437744847146,0.9631885388665842,-1.0271597292491546,0.2611204621061427,0.0328373052179813,0.0032854254823178,0.0028292236384004,0.0041768061928451,0.0058832932263612,0.0034483545459806,0.0300932861864566,0.0010193731868639,0.0025728410109877,0.0010335762053728,0.0017525519942864,0.0011105282464995,0.0007892959984019,0.0011432421160861,0.1373770087957382,0.0043467241339385,0.0365366451442241,0.0098357563838362,0.0112969381734728,0.0018846868770197,0.0036379846278578,0.003471058094874,0.0034146492835134,0.0017934298375621,0.0075508491136133,0.059326171875
What is the closest parent taxonomy of this bird?,Sparrow,['Protonotaria'],"['Passeridae', 'Sparrow', 'Warbler', 'Warbler', 'Sparrow', 'Sparrow', 'Bird', 'Sparrow', 'Spatulate', 'Parrot']",0,The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is the only member of the genus Protonotaria.,-5.001528431230722,0.9736356321341704,-0.9462686344566464,0.4981882089432348,0.2707851231098175,0.0364986211061477,0.017312778159976,0.0307725761085748,0.0393368937075138,0.0650300234556198,0.0193149615079164,0.0092216031625866,0.0088666472584009,0.0105998134240508,0.0341742597520351,0.0239377189427614,0.0155814243480563,0.0005869636661373,0.0325011201202869,0.0004901635111309,0.0237480960786342,0.0005603790050372,0.0049794386141002,0.0010153831681236,0.033690471202135,0.0016062839422374,0.0136345131322741,0.0007905915263108,0.1575643420219421,0.1488037109375
What is the immediately prior item that this organization follows in a series?,British aerospace act 1980,['Hawker Siddeley | Siemens Plessey | British Aircraft Corporation'],"['Royal navy', 'Royal navy', 'Plane', 'Merger', 'British air force', 'Statutory corporation', 'None', 'Scottish aviation', 'Red hawk', 'Royal navy']",0,"The company has its origins in the Aircraft and Shipbuilding Industries Act 1977, which called for the nationalisation and merger of the British Aircraft Corporation, Hawker Siddeley Aviation, Hawker Siddeley Dynamics and Scottish Aviation. On 29 April 1977, the new entity was formed in the United Kingdom as a statutory corporation. Under the provisions of the British Aerospace Act 1980 on 1 January the statutory corporation was transferred to a limited company, which then re-registered as a public limited company (plc), under the name ""British Aerospace Public Limited Company"", on 2 January 1981. BAe was privatised in two main phases, the first in February 1981, involving 51.6% shares of the company, during which the public sale was 3.5 times subscribed and at the end of the first day's trading, share prices were 14% above the original offer price. The second phase occurred in May 1985, in which 48.4% shares were sold; this sale was 5.4 times subscribed and the first day closing price was 11% above the initial offer price. Despite this privatisation, the British Government maintained a £1 golden share, which allowed it to veto foreign control of the board or company.",-7.483710100425715,0.889852803953929,-1.4508319496975977,0.2467414966896094,0.0439221560955047,0.0291623920202255,0.003137884195894,0.0415237918496131,0.0025385934859514,0.1270907074213028,0.0032916525378823,0.000833156867884,0.0003180504718329,0.0007737523992545,0.0011178154963999,0.0007019659969955,0.0002994572860188,0.01318084821105,0.0138752302154898,0.0011947236489504,0.0104652335867285,0.0346620418131351,0.0032333943527191,0.0008016002830117,0.0009115822031162,0.0010847196681424,0.0007995180785655,0.0007668220787309,0.0006105198990553,0.308349609375
What is the country of origin of this food?,Italy,['United States of America'],"['United states', 'American', 'Usa', 'United states', 'Italy', 'Italy', 'Usa', 'Italy', 'Italy', 'United states']",0,"The Italian sandwich originated in several different Italian American communities in the Northeastern United States from the late 19th to mid-20th centuries. The popularity of this Italian-American cuisine has grown from its origins in Connecticut, Pennsylvania, Delaware, Maryland, New York, New Jersey, Massachusetts, and Rhode Island to most parts of the United States and Canada, and with the advent of chain restaurants, is now available in many parts of the world. Edwin Eames and Howard Robboy identified thirteen different terms for the submarine sandwich in the United States.",-3.0977959967868887,0.9545270405812318,-0.7466618888545782,0.4935877188373625,0.7366091012954712,0.0093814954161643,0.0234053470194339,0.0272711310535669,0.0578861162066459,0.1110966056585311,0.4272193312644958,0.1558984965085983,0.0322369746863842,0.1458309739828109,0.459587812423706,0.1685550063848495,0.1307234168052673,0.2577350735664367,0.1651028394699096,0.2190412580966949,0.0611194036900997,0.2470471858978271,0.0370426699519157,0.1989224851131439,0.3474348187446594,0.2906609773635864,0.3904248774051666,0.2098641842603683,0.2639108300209045,0.198974609375
What is the minimum height of this animal in centimetre?,35,['36'],"['20', '58', '22', '35', '35', '40', '35', '55', '18', '46']",0,"The Tibetan Terrier is a powerful, medium-sized dog of square proportions, with a shaggy coat. They vary widely in height and weight, ranging from 14–16 in (35–41 cm) and is 18–30 lb (8–14 kg), with 20–24 lb (9.5–11 kg) preferred for either sex. All weights are acceptable if in proportion to the size. Fully grown, the Tibetan Terrier resembles a miniaturized Bearded Collie. The head is moderate, with a strong muzzle of medium length, and a skull neither rounded nor flat. The eyes are large, dark, and set fairly far apart. The V-shaped drop ears are well-feathered, and should be set high on the sides of the skull. Although the preferred colour for the nose is black, in showdogs, they are also sometimes brown. The body is well-muscled and compact. The length of the back should be equal to the height at the withers, giving the breed its typical square look. The tail is set high, well-feathered, and carried in a curl over the back. One of the more unusual features of the Tibetan Terrier is their broad, flat feet with hair between the toes, which are ideal for climbing mountains, acting as natural snowshoes. The hair of the Tibetan Terrier has a long growth cycle. As a result, their coat grows quite long and pet animals will require occasional trimming. They do not shed like dogs with shorter hair growth cycles, but rather slough hair at a rate similar to that of most humans. The exception is at approximately nine months when puppies slough their entire coat in advance of acquiring their adult coat. The double coat is profuse, with a warm undercoat and a topcoat which has the texture of human hair. It should not be silky or curled, but wavy is acceptable. Long and thick, it is shown natural, but should not be so long as to touch the floor, as is typical in breeds such as the Lhasa Apso or Maltese. A fall of hair covers the face and eyes, but long eyelashes generally prevent hair from getting in the Tibetan Terrier's eyes, and the breed has very good eyesight. All colors ",-8.089920760972541,0.9570354982835514,-0.9308752118144183,0.4209528802332969,0.1733625680208206,0.0057094036601483,0.0059763519093394,0.008468410000205,0.0484175197780132,0.0325944721698761,0.0908604487776756,0.0015789300668984,0.0076222023926675,0.0019236827502027,0.0352497920393943,0.0177087802439928,0.0243296138942241,0.0586100295186042,0.2520974576473236,0.0220131985843181,0.177040159702301,0.0578764230012893,0.3395774066448211,0.0311867166310548,0.0162884816527366,0.0324216522276401,0.016274644061923,0.0463238582015037,0.0778727084398269,0.003429412841796875
Who designed this building?,Joseph-Eustache-Aimé Bouy,['Joseph Michaud | Victor Bourgeau'],"['Victor Bourgeau', 'Joseph-Roch Carrier', 'Jean-Bigorge', 'Architect', 'Paul de Lalanne', 'Roman', 'Victor bourgeois', 'Joseph Michaud', 'Joseph-Arthur Bernier', 'Victor Bourgeau']",0,"The construction of the cathedral was ordered by Mgr. Ignace Bourget, second bishop of Montreal, to replace the former Saint-Jacques Cathedral which had burned in 1852. His choice to create a scale model of Saint Peter's Basilica in Rome was in response to a rivalry with the Sulpician order who had been the feudal seigneurs of Montreal, and with the Anglican Church, both of which favoured the Neo-Gothic style instead. The site also sparked controversy due to its location in the western part of downtown, in a then predominantly English neighbourhood far from the homes of the French-Canadian church-goers. The first architect, Victor Bourgeau, refused the project after studying St. Peter's, saying that it could not be reproduced on a smaller scale. At the time, the Holy See and the Papal States were threatened by the nationalist troops of Victor Emmanuel II, king of Piedmont, who was attempting to assert control over all Italy. The undeterred bishop Bourget reacted to these events by sending a total of 507 Canadian Zouaves to defend the Papal territories in Italy, whose names are engraved in gold letters on the marble slabs in the cathedral. Their motto is: ""Love God and go your way."" A painting depicting Colonel Athanase de Charette, commander of the Papal Zouaves, was made in 1885 by Lionel Royer. Fr. Joseph Michaud, the chaplain of the Papal Zouave volunteers of Montreal, was sent to Rome to secretly produce a scale model to work from. Work began in 1875 and the new church was consecrated in 1894 as Saint James Cathedral, after Saint James the Great, the patron of the parish the church served. At the time it was the largest church in Quebec. It was made a minor basilica in 1919 by Pope Benedict XV. It was rededicated in 1955 to Mary, Queen of the World, by Pope Pius XII at the request of cardinal Paul-Émile Léger. (The pope had proclaimed this title for Mary in his 1954 encyclical Ad caeli reginam.) Between 1955 and 1960, several restoration works were executed. On ",-7.280056804291177,0.9373511888548224,-1.4651578649556145,0.2967563788559157,0.0099761923775076,0.0014821211807429,0.0016474913572892,0.0022753106895834,0.0033506208565086,0.0009560251492075,0.0017096055671572,0.000633573567029,0.0006384486332535,0.0007454651058651,0.0005765546229667,0.0007437662570737,0.0003417142143007,0.0006511401152238,0.0031282058916985,0.0007920212228782,0.0062122666276991,0.0018761365208774,0.0012325593270361,0.0008690062095411,0.0024501183070242,0.0010667014867067,0.0008096733945421,0.0009397871908731,0.0005032434710301,0.2314453125
Who is the owner of this building?,Cecil chubb,['National Trust'],"['No one', 'Cecil Chubb', 'Cecil chubb', 'Cecil Chubb', 'Cecil Chubb', 'Cecil chubb', 'National trust', 'National trust', 'Cecil Chubb', 'National trust']",0,"Stonehenge has changed ownership several times since King Henry VIII acquired Amesbury Abbey and its surrounding lands. In 1540 Henry gave the estate to the Earl of Hertford. It subsequently passed to Lord Carleton and then the Marquess of Queensberry. The Antrobus family of Cheshire bought the estate in 1824. During the First World War an aerodrome (Royal Flying Corps ""No. 1 School of Aerial Navigation and Bomb Dropping"") was built on the downs just to the west of the circle and, in the dry valley at Stonehenge Bottom, a main road junction was built, along with several cottages and a cafe. Stonehenge was one of several lots put up for auction in 1915 by Sir Cosmo Gordon Antrobus, soon after he had inherited the estate from his brother. The auction by Knight Frank & Rutley estate agents in Salisbury was held on 21 September 1915 and included ""Lot 15. Stonehenge with about 30 acres, 2 rods, 37 perches [12.44 ha] of adjoining downland."" In 1915, Cecil Chubb bought the site for £6,600 (£562,700 in 2022) and gave it to the nation three years later, with certain conditions attached. Although it has been speculated that he purchased it at the suggestion of – or even as a present for – his wife, in fact he bought it on a whim, as he believed a local man should be the new owner. In the late 1920s a nationwide appeal was launched to save Stonehenge from the encroachment of the modern buildings that had begun to rise around it. By 1928 the land around the monument had been purchased with the appeal donations and given to the National Trust to preserve. The buildings were removed (although the roads were not), and the land returned to agriculture. More recently the land has been part of a grassland reversion scheme, returning the surrounding fields to native chalk grassland.",-3.9531239886285583,0.9869556368871232,-0.4653970771779617,0.4034451065594598,0.026132283732295,0.0016056724125519,0.0029130659531801,0.0029818108305335,0.0035327121149748,0.1233337596058845,0.0408384576439857,0.0008751744753681,0.0008698583696968,0.0007069282000884,0.027128230780363,0.00067968579242,0.0003910200321115,0.0084759332239627,0.0401265956461429,0.1984775066375732,0.0706023126840591,0.3220393061637878,0.0435864031314849,0.0013892753049731,0.1676956862211227,0.0038133724592626,0.0077789123170077,0.0007995013147592,0.2647101879119873,0.283203125
this organization is a division of which business group?,Boeing,"['Boeing Commercial Airplanes | Boeing Capital | Boeing Defense, Space & Security']","['BDS', 'Boeing', 'Boeing', 'Capital', 'Boeing', 'Boeing', 'Boeing', 'Defense', 'Boeing commercial airplanes', 'Boeing']",0,"The corporation's four main divisions are Boeing Commercial Airplanes (BCA), Boeing Defense, Space & Security (BDS), Boeing Global Services, and Boeing Capital. Boeing Commercial Airplanes (BCA) builds commercial aircraft including the 737, 747, 767, 777, 787, along with freighter and business jet variants of most. The division employs nearly 35,000 people, many working at the company's manufacturing facilities in Everett and Renton, Washington (outside of Seattle), and South Carolina. Boeing Defense, Space & Security (BDS) builds military aircraft, satellites, spacecraft, and space launch vehicles. Boeing Global Services provides aftermarket support, such as maintenance and upgrades, to customers who purchase equipment from BCA, BDS, or from other manufacturers. Boeing Capital provides customers financing for the products and services from the company's other divisions.",-4.322336849203241,0.9927631295798643,-0.7564608915110251,0.5008712234296745,0.8405592441558838,0.069861315190792,0.013531606644392,0.0976463705301284,0.0098213898018002,0.5127822756767273,0.1344537436962127,0.0474027730524539,0.0046124630607664,0.0594577603042125,0.1477615535259246,0.1227849051356315,0.0565782003104686,0.0016371173551306,0.0224227663129568,0.0125757316127419,0.0967799052596092,0.1815267652273178,0.0059936470352113,0.0097426213324069,0.1002886965870857,0.0463600382208824,0.0061166994273662,0.0052427891641855,0.1845245212316513,0.100341796875
What is the closest parent taxonomy of this animal?,Pecari,['Pecari'],"['Pig', 'Peccary', 'Peccary', 'Peccary', 'Suidae', 'Peccary', 'Peccary', 'Peccaries', 'Suidae', 'Pecari']",1,"Although somewhat related to true Old World pigs and frequently referred to as a pig, this species and the other peccaries are no longer classified in the pig family, Suidae. Although formerly classified in the genus Pecari, studies in 2020 placed in the genus Dicotyles, based on an unequivocal type-species selection; these studies have been accepted by the American Society of Mammalogists. However, the IUCN still places it in the genus Pecari.",-3.809953903376557,0.970994763012284,-0.539591874787584,0.2000125828826258,0.285387247800827,0.0143217099830508,0.0012637856416404,0.0176693927496671,0.0083424299955368,0.0728894099593162,0.1044743806123733,0.0039022790733724,0.0010241088457405,0.0103285135701298,0.0015317637007683,0.012707270681858,0.0024666942190378,0.0006453557871282,0.1798544228076934,0.0008834991022013,0.0198667086660861,0.0005903659621253,0.5524120330810547,0.0011504039866849,0.3617480397224426,0.0031469664536416,0.0303263813257217,0.0008507480379194,0.3833391368389129,0.07763671875
