question_text,prediction,ground_truths,generated_text,correctness,context,EccentricityUncertainty,PTrue_VLM,Entropy,PRelevant_VLM,LARS_BASE,llava_evqa_bm25,llava_evqa_bm25_with_context,llava_evqa_rerank,llava_evqa_rerank_with_context,llava_evqa_eva_clip,llava_evqa_eva_clip_with_context,qwen_evqa_bm25,qwen_evqa_bm25_with_context,qwen_evqa_rerank,qwen_evqa_rerank_with_context,qwen_evqa_eva_clip,qwen_evqa_eva_clip_with_context,llava_infoseek_bm25,llava_infoseek_bm25_with_context,llava_infoseek_rerank,llava_infoseek_rerank_with_context,llava_infoseek_eva_clip,llava_infoseek_eva_clip_with_context,qwen_infoseek_bm25,qwen_infoseek_bm25_with_context,qwen_infoseek_rerank,qwen_infoseek_rerank_with_context,qwen_infoseek_eva_clip,qwen_infoseek_eva_clip_with_context,Image_Perturbation
When did Mudhoney name a song after this pass?,1992,['1993'],"['2 years ago', 'Grunge era', '1992', '1992', '2000', '1992', '1992', '1992', '1992', '1992']",0,"Seattle Grunge band Mudhoney recorded a song named after Ritzville on their 1992 album, Piece of Cake.",-2.3976874379049704,0.9874075327463052,-0.503391280217135,0.8585882397326023,0.7317687273025513,0.1594500541687011,0.2271818220615387,0.3141998946666717,0.8149980902671814,0.7523231506347656,0.7246149778366089,0.0257719326764345,0.0180495996028184,0.0092484792694449,0.2190168052911758,0.1231014132499694,0.0242274533957242,0.3605367839336395,0.3875395357608795,0.008111055009067,0.1661578118801117,0.4785164594650268,0.3408458530902862,0.0088414018973708,0.0030982294119894,0.0249575842171907,0.0009688606951385,0.0510816574096679,0.0133380619809031,0.019561767578125
"The 1881 census for this island shows that the barracks were occupied by the master gunner, thomas barrett, his family and five what?",Soldiers,['soldiers'],"['Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers', 'Men', 'Soldiers', 'Soldiers', 'Soldiers', 'Soldiers']",1,"ieff pit and one open-backed pit Well Battery: one gun in an open-backed Moncrieff pit.  The gun was removed by Army Apprentices in 1964. Lighthouse Battery: three guns in two full Moncrieff pits and one open-backed pit These four emplacements run from the northern to the southern point of the island, along the western coast. Nine Rifled muzzle loaders (RMLs) on disappearing Moncrieff carriages were built at the Royal Gun Foundry, Woolwich. They were mounted in four separate batteries, all in Moncrieff pits, 2 m (7 ft) in diameter and 3 m (10 ft) deep, constructed of limestone blocks and bricks. These pits had the advantage of being almost invisible to shipping and also offered protection to the gun crews. The RML 7-inch 7 ton guns were too heavy for mobile land service. They consisted of a steel rifle tube surrounded by wrought iron coils, and cascabel, with an overall length of each gun is 361 centimetres (142 in). They used a 52.3 kg (115 lb) Palliser shell and were mounted on the Moncrieff disappearing carriage. The guns were never needed and were fired only for test purposes. In 1869, stone barracks were built to sleep up to 50 men. However, the 1881 Census for Flat Holm shows that the barracks were occupied only by the Master Gunner, Thomas Barrett, his family, and five soldiers. Barrett's son, Albert, was born on the island on 31 December 1881. The men were stationed on the island to keep the guns in good working order but the garrison would have been reinforced by regular artillery and volunteer troops if ever an invasion had been imminent. The barracks for the battery were located near the southernmost battery emplacement. Other fortifications included a large drainage basin, underground storage tank, an administrative building and a secure store. A ""ditch-and-bank"" system served to protect the Lighthouse Battery from cross-island attack. The barracks were vacated in 1901 and the buildings have now been restored by the Flat Holm Project for educational use.",-0.0193932384788616,0.9882591651431324,-0.2493173635331914,0.3664452151507752,0.9379621148109436,0.9904746413230896,0.8218085169792175,0.8888589143753052,0.9636857509613036,0.656470775604248,0.8488496541976929,0.2477716654539108,0.3244123458862304,0.1378495991230011,0.7913233637809753,0.15972501039505,0.0906208008527755,0.3213165402412414,0.1887326091527938,0.3321004509925842,0.0606196261942386,0.3273516893386841,0.1117883697152137,0.016368594020605,0.0877007246017456,0.0160804279148578,0.1294832378625869,0.021347826346755,0.082706443965435,0.016326904296875
How many webby awards has this museum won for best science website?,2,['four'],"['2', '2', '1', '2', '1', '6', '2', '2', '3', '25']",0,"GreatSchools received Outstanding Achievement awards in 2011 and Best In Class awards in 2009 from the Interactive Media Awards. In 2021, GreatSchools received two nominations in the 25th Annual Webby Awards in the Science & Education category for its parenting podcast, Like a Sponge: Best Limited Series Podcast and Best Individual Episode for its season 2, episode 4 title, “Liar, Liar: How to Raise an Honest Child in a Post-truth Society.” In 2021, GreatSchools.org won two ""Awards of Distinction"" in the 27th Annual Communicator Awards for Best Family & Parenting and Best Education website. In 2022, an episode of GreatSchools.org's podcast Like a Sponge, ""Banishing Bias from School,"" was nominated in the 26th Annual Webby Awards for Best Science & Education podcast episode. The podcast series Like a Sponge was also recognized as a Webby Honoree for Best Podcast - Limited-Series & Specials in the Health, Science & Education category.",-4.732403480334375,0.965631348391856,-0.6415604347848178,0.3883684481763649,0.1900633126497268,0.0147240394726395,0.0032036951743066,0.011956438422203,0.0070921895094215,0.0070664542727172,0.0228452291339635,0.0021196845918893,0.0249188970774412,0.001918438472785,0.1501460522413253,0.0043909042142331,0.1651146709918975,0.0112121878191828,0.165705144405365,0.0265194177627563,0.0874606892466545,0.0700206831097602,0.1082737445831298,0.008326917886734,0.0550910234451293,0.0201195534318685,0.0272117685526609,0.0233468990772962,0.2079370468854904,0.002124786376953125
What kind of trains stop at this railway station?,Passenger,['CRH high-speed trains'],"['Passenger', 'Passenger', 'AC', 'Passenger', 'Passanger', 'Passenger', 'Duronto and AC trains', 'Passenger', 'Duronto', 'Passenger']",0,"Delhi Sarai Rohilla railway station (station code: DEE) is situated about 4 kilometres (2+1⁄2 mi) from old Delhi railway junction in India. It is managed by Delhi Division of Northern Railway zone. Many trains from Delhi to Haryana, Punjab, Rajasthan and Gujarat stop at this station. More than twenty trains including Duronto and AC trains originate at this station.",-3.4945554476147738,0.9815714571736224,-0.7778184924895565,0.7017008910535346,0.9430511593818665,0.1832835972309112,0.3288783133029938,0.0806845054030418,0.477828174829483,0.377065509557724,0.5450302362442017,0.0178761519491672,0.0368522815406322,0.0291145984083414,0.0664815530180931,0.0077635766938328,0.0507814399898052,0.0009927456267178,0.1224302574992179,0.0123936329036951,0.2080274522304535,0.0087933363392949,0.0928783491253852,0.0050740321166813,0.0297813173383474,0.0363622680306434,0.0010542350355535,0.0025035762228071,0.0029838460031896,0.087646484375
Is mixed woodland with some conifers preferred or not preferred for breeding by this bird?,Preferred,['favoured'],"['PREFERRED', 'Preferred', 'Preferred', 'Preferred', 'Yes', 'Yes', 'Favored', 'Preferred', 'Yes', 'Yes']",0,"This bird breeds across Europe and temperate Asia. It is mainly resident, but many northern birds migrate further south in the winter.  Mixed woodland with some conifers is favoured for breeding, including parkland and gardens.",-0.0156629435417543,0.9911435771928612,-0.5446776275181522,0.8747745679037346,0.7930585145950317,0.7917624711990356,0.8239707350730896,0.8954881429672241,0.56159508228302,0.9516106843948364,0.3328578770160675,0.4890749752521515,0.3377811908721924,0.9161421656608582,0.8782379031181335,0.7193537354469299,0.235410064458847,0.0039985417388379,0.0413715429604053,0.0087433634325861,0.1026250943541526,0.0411922968924045,0.0167918428778648,0.0060240300372242,0.003089927136898,0.0032077194191515,0.0021040476858615,0.0065961829386651,0.0686994045972824,0.1231689453125
Is the common name red-gland spurge known or unknown for this plant?,Known,['known'],"['Known', 'Known', 'Known', 'Known', 'Unknown', 'Known', 'Known', 'Known', 'Known', 'Known']",1,"Euphorbia melanadenia is a species of Euphorbia known by the common name red-gland spurge. It is native to the deserts and mountains of Baja California and southern California and Arizona, where it grows in dry, rocky habitat. It is a perennial herb forming a small clump or mat of very slender, tangling red stems. The stems are lined with pairs of slightly woolly oval-shaped leaves 2 to 9 millimeters wide. The tiny inflorescence is a cyathium less than 2 millimeters wide. The cyathium is a bell-shaped array of white, scalloped petal-like appendages surrounding the actual flowers. Each appendage has at its base a shiny red nectar gland. At the center of the appendages is a ring of male staminate flowers around a single female flower. The female flower develops into an oval-shaped fruit which bears wrinkled white seeds.",-1.897366596101028,0.9808378294684992,-0.1339466027044788,0.678287802430767,0.9640643000602722,0.9259845614433287,0.916841983795166,0.7922403216362,0.9255110025405884,0.9849069118499756,0.9001951217651367,0.5842928290367126,0.7458122968673706,0.5945547223091125,0.96197909116745,0.6765344738960266,0.3949666023254394,0.0669426470994949,0.4577684700489044,0.0017544558504596,0.2148694843053817,0.4118649363517761,0.256593257188797,0.0035062478855252,0.4216930270195007,0.0037507105153054,0.1022911146283149,0.0082369307056069,0.3941514492034912,0.05718994140625
What part of north africa is this plant native to?,South africa,['western'],"['Sahara', 'Mozambique', 'Mozambique', 'Tunisia', 'Central', 'Mozambique', 'North', 'South africa', 'Southern africa', 'South']",0,"Hypoxis hemerocallidea, the African star grass or African potato, is a medicinal plant in the Hypoxidaceae family. It is native to southern Africa from South Africa as far north as Mozambique and Zimbabwe. This plant is the best known member of this genus.",-6.713234488116623,0.9423993348635642,-1.138585322065046,0.626242515391588,0.7075899839401245,0.0402788519859313,0.0041840095072984,0.0610340647399425,0.0082834148779511,0.0719542726874351,0.0792378932237625,0.0007158570806495,0.0006662011728622,0.0032002725638449,0.0006774098728783,0.0011205890914425,0.0006725813145749,0.0187204722315073,0.0136437388136982,0.000555740785785,0.0125299086794257,0.0228837933391332,0.0270389020442962,0.0013488810509443,0.0018740559462457,0.0016194382915273,0.0010011179838329,0.0011520370608195,0.0426994338631629,0.024169921875
Are there periods of high or low nectar production for this bird?,Low,['low'],"['High', 'High', 'Yes', 'High', 'High', 'Yes', 'Low', 'Yes', 'Yes', 'Low']",1,"The eastern spinebill feeds on nectar from many plants, including the blooms of gum trees, mistletoes Amyema spp., Epacris longiflora, Epacris impressa (common heath), Correa reflexa, and various members of the Proteaceae such as Banksia ericifolia, Banksia integrifolia, Lambertia formosa and Grevillea speciosa, as well as small insects and other invertebrates. A 1982 study in the New England National Park in north-eastern New South Wales found that there was a large influx of birds coinciding with the start of flowering of Banksia spinulosa there. They have been known to feed from exotic plants such as fuchsias. During periods of abundant flowering there may be periods of low nectar production, and it appears that the eastern spinebill responds to these periodic shortages by storing fat during periods of high nectar production, increasing the amount of time spent feeding, or dropping its day-time metabolic rate to night-time levels.",-2.472118961779476,0.8697700895110193,-0.6143539030104875,0.5711755955482561,0.384590208530426,0.1686150878667831,0.5559725165367126,0.1494030356407165,0.2894666194915771,0.2332375794649124,0.655699610710144,0.0106606902554631,0.2457428127527237,0.0740362554788589,0.6695572733879089,0.0260232184082269,0.1109206303954124,0.0019757966510951,0.0441116169095039,0.0052183680236339,0.0849059075117111,0.035969752818346,0.0079255290329456,0.0011539683910086,0.1143513098359108,0.0011532930657267,0.0798191279172897,0.0015877971891313,0.0930961072444915,0.11181640625
"Besides macau, what country is believed to have introduced this tomato to china?",Philippines,['Philippines'],"['Philippines', 'Philippines', 'Philippines', 'Spain', 'Philippine', 'Macau', 'Philippines', 'Philippines', 'Philippines', 'Philippines']",1,"The tomato was introduced to China, likely via the Philippines or Macau, in the 1500s. It was given the name fānqié (barbarian eggplant), as the Chinese named many foodstuffs introduced from abroad, but referring specifically to early introductions.",-3.162331618098458,0.978237130289766,-0.604451488587074,0.6412499647294284,0.630157470703125,0.3147264122962951,0.4653920531272888,0.2910752892494201,0.4718561768531799,0.2952819764614105,0.7484832406044006,0.1805034279823303,0.0338956676423549,0.2989354133605957,0.5034245848655701,0.8068752884864807,0.0381928607821464,0.7769441604614258,0.0636907741427421,0.4098870754241943,0.0252501685172319,0.6092983484268188,0.6516106724739075,0.4447695314884186,0.3002772033214569,0.5950912237167358,0.0603659451007843,0.0863593220710754,0.267076164484024,0.00390625
What are the common names of this plant?,Burning love,['vinegarweed and camphor weed'],"['Dusky salmon', 'Silene chalcedonica', 'Scarlet lighting', '10', 'Flowers', 'Jerusalem cross', 'Rose', 'Burning love', 'Silene chalcedonica', 'Burning love']",0,"This plant was first formally named as Lychnis chalcedonica by Carl Linnaeus in 1753. For purposes of taxonomic stability, the genus name Lychnis was formally rejected in 1994 and the name Silene was conserved. The plant is now known as Silene chalcedonica, a name published by Ernst Hans Ludwig Krause in 1901. The specific epithet chalcedonica refers to the ancient town of Chalcedon in what is now Turkey. Numerous common names are attached to this plant, including: Burning love Common rose campion (also used for Silene coronaria) Constantinople campion Dusky salmon Fireball Flower of Bristol Flower of Constantinople Gardener's delight Gardener's eye Great candlestick Jerusalem cross Knight's cross Maltese cross Meadow campion Nonesuch Red robin Scarlet lightning Scarlet lychnis Tears of Christ",-6.718010558413317,0.9219744263398404,-1.1775009551222737,0.5368318765730994,0.5639729499816895,0.002015475416556,0.0027681326027959,0.0034499263856559,0.0106185730546712,0.0096868705004453,0.0793656632304191,0.001479867263697,0.001638704794459,0.001818659948185,0.0169323179870843,0.0035014196764677,0.008362359367311,0.0055473805405199,0.0377822294831275,0.0045899096876382,0.034512922167778,0.0287600085139274,0.0157944019883871,0.0008862611721269,0.0062617077492177,0.0022445716895163,0.0037232737522572,0.003583968617022,0.1061037853360176,0.220458984375
